summary_date,site,no_davg,name,obs_count,units 
2014-11-01,3658,0.000,Lancaster-43301 Division Street,22,Parts Per Million ( ppm ) 
2014-11-01,2923,0.001,Barstow,23,Parts Per Million ( ppm ) 
2014-11-01,3500,0.001,Victorville-14306 Park Avenue,22,Parts Per Million ( ppm ) 
2014-11-01,3489,0.000,Salinas-High School,24,Parts Per Million ( ppm ) 
2014-11-01,2484,0.001,Azusa,22,Parts Per Million ( ppm ) 
2014-11-01,3743,0.002,Compton-700 North Bullis Road,21,Parts Per Million ( ppm ) 
2014-11-01,2849,0.000,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2014-11-01,3774,0.002,Long Beach-2425 Webster Street          ,23,Parts Per Million ( ppm ) 
2014-11-01,2899,0.003,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2014-11-01,3683,0.000,Los Angeles-Westchester Parkway,23,Parts Per Million ( ppm ) 
2014-11-01,2160,0.000,Pasadena-S Wilson Avenue,21,Parts Per Million ( ppm ) 
2014-11-01,3693,0.001,Pico Rivera-4144 San Gabriel,21,Parts Per Million ( ppm ) 
2014-11-01,2898,0.006,Pomona,23,Parts Per Million ( ppm ) 
2014-11-01,2420,0.002,Reseda,22,Parts Per Million ( ppm ) 
2014-11-01,3502,0.003,Santa Clarita,22,Parts Per Million ( ppm ) 
2014-11-01,2494,0.000,West Los Angeles-VA Hospital,23,Parts Per Million ( ppm ) 
2014-11-01,3809,0.018,Anaheim-812 W Vermont Street            ,24,Parts Per Million ( ppm ) 
2014-11-01,3674,0.002,Anaheim-Pampas Lane,22,Parts Per Million ( ppm ) 
2014-11-01,2937,0.000,Costa Mesa-Mesa Verde Drive,22,Parts Per Million ( ppm ) 
2014-11-01,3168,0.000,Banning Airport,21,Parts Per Million ( ppm ) 
2014-11-01,2943,-0.001,Lake Elsinore-W Flint Street,23,Parts Per Million ( ppm ) 
2014-11-01,3702,0.003,Mira Loma Van Buren,22,Parts Per Million ( ppm ) 
2014-11-01,2333,0.001,Riverside-Magnolia,23,Parts Per Million ( ppm ) 
2014-11-01,2596,0.001,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2014-11-01,2266,-0.003,Fontana-Arrow Highway,23,Parts Per Million ( ppm ) 
2014-11-01,2221,0.001,San Bernardino-4th Street,22,Parts Per Million ( ppm ) 
2014-11-01,2485,0.001,Upland,21,Parts Per Million ( ppm ) 
2014-11-01,2965,0.000,Atascadero-Lewis Avenue,23,Parts Per Million ( ppm ) 
2014-11-01,2321,0.000,Morro Bay,23,Parts Per Million ( ppm ) 
2014-11-01,3251,0.000,Nipomo-Regional Park,22,Parts Per Million ( ppm ) 
2014-11-01,3003,0.001,Carpinteria-Gobernador Road,22,Parts Per Million ( ppm ) 
2014-11-01,2008,0.000,El Capitan Beach,23,Parts Per Million ( ppm ) 
2014-11-01,2954,0.000,Gaviota-GTC Site B,23,Parts Per Million ( ppm ) 
2014-11-01,3153,0.000,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2014-11-01,3101,0.002,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2014-11-01,2992,0.000,Lompoc-HSandP,23,Parts Per Million ( ppm ) 
2014-11-01,2360,0.004,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2014-11-01,2957,0.000,Paradise Road-Los Padres National Forest,22,Parts Per Million ( ppm ) 
2014-11-01,3665,0.001,Santa Barbara-700 East Canon Perdido,23,Parts Per Million ( ppm ) 
2014-11-01,3486,0.002,Santa Maria-906 S Broadway,23,Parts Per Million ( ppm ) 
2014-11-01,3023,0.000,Vandenberg Air Force Base-STS Power,23,Parts Per Million ( ppm ) 
2014-11-01,2991,0.000,El Rio-Rio Mesa School #2,23,Parts Per Million ( ppm ) 
2014-11-01,2880,0.000,Simi Valley-Cochran Street,23,Parts Per Million ( ppm ) 
2014-11-01,2460,0.000,Alpine-Victoria Drive,22,Parts Per Million ( ppm ) 
2014-11-01,3198,0.000,Camp Pendleton,22,Parts Per Million ( ppm ) 
2014-11-01,2589,0.000,Chula Vista,22,Parts Per Million ( ppm ) 
2014-11-01,3806,0.000,El Cajon-Floyd Smith Drive,21,Parts Per Million ( ppm ) 
2014-11-01,2263,0.000,Escondido-E Valley Parkway,22,Parts Per Million ( ppm ) 
2014-11-01,3739,0.000,Otay Mesa-Donovan,22,Parts Per Million ( ppm ) 
2014-11-01,3690,0.001,San Diego-1110 Beardsley Street,22,Parts Per Million ( ppm ) 
2014-11-01,3773,0.000,Livermore-13224 Patterson Pass Road,23,Parts Per Million ( ppm ) 
2014-11-01,3490,0.001,Livermore-793 Rincon Avenue,23,Parts Per Million ( ppm ) 
2014-11-01,3247,0.006,Oakland-9925 International Blvd,23,Parts Per Million ( ppm ) 
2014-11-01,3803,0.007,Oakland-Laney College                   ,23,Parts Per Million ( ppm ) 
2014-11-01,3742,0.003,Oakland-West,23,Parts Per Million ( ppm ) 
2014-11-01,2804,0.001,Bethel Island Road,23,Parts Per Million ( ppm ) 
2014-11-01,2831,0.000,Concord-2956-A Treat Blvd,23,Parts Per Million ( ppm ) 
2014-11-01,3668,0.002,San Pablo-Rumrill Blvd,23,Parts Per Million ( ppm ) 
2014-11-01,3782,0.002,San Ramon-9885 Alcosta Bl               ,23,Parts Per Million ( ppm ) 
2014-11-01,2622,0.003,San Rafael,23,Parts Per Million ( ppm ) 
2014-11-01,2655,0.004,Napa-Jefferson Avenue,23,Parts Per Million ( ppm ) 
2014-11-01,2373,0.001,San Francisco-Arkansas Street,23,Parts Per Million ( ppm ) 
2014-11-01,2125,0.000,Redwood City,23,Parts Per Million ( ppm ) 
2014-11-01,3661,0.003,San Jose-Jackson Street,22,Parts Per Million ( ppm ) 
2014-11-01,3810,0.010,San Jose-Knox Avenue                    ,23,Parts Per Million ( ppm ) 
2014-11-01,2410,0.005,Vallejo-304 Tuolumne Street,23,Parts Per Million ( ppm ) 
2014-11-01,3804,0.003,Sebastopol-103 Morris Street            ,23,Parts Per Million ( ppm ) 
2014-11-01,3026,0.002,Clovis-N Villa Avenue,22,Parts Per Million ( ppm ) 
2014-11-01,2013,0.003,Fresno-Drummond Street,22,Parts Per Million ( ppm ) 
2014-11-01,3781,0.007,Fresno-Garland                          ,23,Parts Per Million ( ppm ) 
2014-11-01,2844,0.001,Fresno-Sierra Skypark #2,22,Parts Per Million ( ppm ) 
2014-11-01,2114,0.003,Parlier,22,Parts Per Million ( ppm ) 
2014-11-01,3787,0.002,Bakersfield-Municipal Airport,22,Parts Per Million ( ppm ) 
2014-11-01,2312,0.001,Edison,23,Parts Per Million ( ppm ) 
2014-11-01,2981,0.001,Shafter-Walker Street,21,Parts Per Million ( ppm ) 
2014-11-01,3129,0.002,Hanford-S Irwin Street,22,Parts Per Million ( ppm ) 
2014-11-01,3211,0.002,Madera-Pump Yard,23,Parts Per Million ( ppm ) 
2014-11-01,3022,0.003,Merced-S Coffee Avenue,22,Parts Per Million ( ppm ) 
2014-11-01,2094,0.007,Stockton-Hazelton Street,23,Parts Per Million ( ppm ) 
2014-11-01,3696,0.000,Tracy-Airport,22,Parts Per Million ( ppm ) 
2014-11-01,2996,0.003,Turlock-S Minaret Street,22,Parts Per Million ( ppm ) 
2014-11-01,2032,0.001,Visalia-N Church Street,23,Parts Per Million ( ppm ) 
2014-11-01,3135,0.000,Calexico-Ethel Street,23,Parts Per Million ( ppm ) 
2014-11-01,2551,0.000,El Centro-9th Street,23,Parts Per Million ( ppm ) 
2014-11-01,2199,0.001,Palm Springs-Fire Station,23,Parts Per Million ( ppm ) 
2014-11-01,3783,0.001,Chico-East Avenue                       ,23,Parts Per Million ( ppm ) 
2014-11-01,2956,0.000,Roseville-N Sunrise Blvd,23,Parts Per Million ( ppm ) 
2014-11-01,2977,0.000,Elk Grove-Bruceville Road,24,Parts Per Million ( ppm ) 
2014-11-01,3187,0.000,Folsom-Natoma Street,24,Parts Per Million ( ppm ) 
2014-11-01,2123,0.000,North Highlands-Blackfoot Way,23,Parts Per Million ( ppm ) 
2014-11-01,3738,0.000,Sacramento-Goldenland Court,23,Parts Per Million ( ppm ) 
2014-11-01,3011,0.002,Sacramento-T Street,23,Parts Per Million ( ppm ) 
2014-11-01,2958,0.001,Yuba City-Almond Street,23,Parts Per Million ( ppm ) 
2014-11-01,2143,0.002,Davis-UCD Campus,23,Parts Per Million ( ppm ) 
2014-11-02,3658,0.000,Lancaster-43301 Division Street,22,Parts Per Million ( ppm ) 
2014-11-02,2923,0.004,Barstow,23,Parts Per Million ( ppm ) 
2014-11-02,3500,0.000,Victorville-14306 Park Avenue,22,Parts Per Million ( ppm ) 
2014-11-02,3489,0.001,Salinas-High School,24,Parts Per Million ( ppm ) 
2014-11-02,2484,0.001,Azusa,22,Parts Per Million ( ppm ) 
2014-11-02,3743,0.011,Compton-700 North Bullis Road,20,Parts Per Million ( ppm ) 
2014-11-02,2849,0.000,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2014-11-02,3774,0.015,Long Beach-2425 Webster Street          ,23,Parts Per Million ( ppm ) 
2014-11-02,2899,0.010,Los Angeles-North Main Street,24,Parts Per Million ( ppm ) 
2014-11-02,3683,0.002,Los Angeles-Westchester Parkway,22,Parts Per Million ( ppm ) 
2014-11-02,2160,0.002,Pasadena-S Wilson Avenue,21,Parts Per Million ( ppm ) 
2014-11-02,3693,0.007,Pico Rivera-4144 San Gabriel,21,Parts Per Million ( ppm ) 
2014-11-02,2898,0.010,Pomona,23,Parts Per Million ( ppm ) 
2014-11-02,2420,0.003,Reseda,22,Parts Per Million ( ppm ) 
2014-11-02,2494,0.000,West Los Angeles-VA Hospital,22,Parts Per Million ( ppm ) 
2014-11-02,3809,0.013,Anaheim-812 W Vermont Street            ,24,Parts Per Million ( ppm ) 
2014-11-02,3674,0.003,Anaheim-Pampas Lane,22,Parts Per Million ( ppm ) 
2014-11-02,2937,0.002,Costa Mesa-Mesa Verde Drive,22,Parts Per Million ( ppm ) 
2014-11-02,3168,0.001,Banning Airport,21,Parts Per Million ( ppm ) 
2014-11-02,2943,0.000,Lake Elsinore-W Flint Street,22,Parts Per Million ( ppm ) 
2014-11-02,3702,0.010,Mira Loma Van Buren,21,Parts Per Million ( ppm ) 
2014-11-02,2333,0.006,Riverside-Magnolia,22,Parts Per Million ( ppm ) 
2014-11-02,2596,0.006,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2014-11-02,2266,0.000,Fontana-Arrow Highway,22,Parts Per Million ( ppm ) 
2014-11-02,2221,0.003,San Bernardino-4th Street,22,Parts Per Million ( ppm ) 
2014-11-02,2485,0.002,Upland,21,Parts Per Million ( ppm ) 
2014-11-02,2965,0.003,Atascadero-Lewis Avenue,23,Parts Per Million ( ppm ) 
2014-11-02,2321,0.000,Morro Bay,23,Parts Per Million ( ppm ) 
2014-11-02,3251,0.000,Nipomo-Regional Park,22,Parts Per Million ( ppm ) 
2014-11-02,3003,0.001,Carpinteria-Gobernador Road,22,Parts Per Million ( ppm ) 
2014-11-02,2008,0.001,El Capitan Beach,23,Parts Per Million ( ppm ) 
2014-11-02,2954,0.000,Gaviota-GTC Site B,23,Parts Per Million ( ppm ) 
2014-11-02,3153,0.000,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2014-11-02,3101,0.003,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2014-11-02,2992,0.000,Lompoc-HSandP,23,Parts Per Million ( ppm ) 
2014-11-02,2360,0.004,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2014-11-02,2957,0.000,Paradise Road-Los Padres National Forest,22,Parts Per Million ( ppm ) 
2014-11-02,3665,0.001,Santa Barbara-700 East Canon Perdido,23,Parts Per Million ( ppm ) 
