summary_date,site,co_davg,name,obs_count,units 
2002-12-15,2948,0.257,South Lake Tahoe-Sandy Way,23,Parts Per Million ( ppm ) 
2002-12-15,2993,0.200,Jackson-Clinton Road,20,Parts Per Million ( ppm ) 
2002-12-15,3144,0.204,San Andreas-Gold Strike Road,23,Parts Per Million ( ppm ) 
2002-12-15,3487,0.120,Echo Summit,20,Parts Per Million ( ppm ) 
2002-12-15,3017,0.165,Placerville-Gold Nugget Way,23,Parts Per Million ( ppm ) 
2002-12-15,3658,0.077,Lancaster-43301 Division Street,22,Parts Per Million ( ppm ) 
2002-12-15,2923,0.082,Barstow,22,Parts Per Million ( ppm ) 
2002-12-15,3500,0.270,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2002-12-15,3203,1.852,Mexicali-Cobach,23,Parts Per Million ( ppm ) 
2002-12-15,3185,1.674,Mexicali-ITM,23,Parts Per Million ( ppm ) 
2002-12-15,3201,2.030,Mexicali-UABC,23,Parts Per Million ( ppm ) 
2002-12-15,3183,0.917,Rosarito,23,Parts Per Million ( ppm ) 
2002-12-15,3255,0.891,Tecate-Paseo Morelos,23,Parts Per Million ( ppm ) 
2002-12-15,3138,1.191,Tijuana-ITT,23,Parts Per Million ( ppm ) 
2002-12-15,3141,1.700,Tijuana-La Mesa,23,Parts Per Million ( ppm ) 
2002-12-15,3178,0.761,Tijuana-Las Playas,23,Parts Per Million ( ppm ) 
2002-12-15,3010,0.262,Ukiah-E Gobbi Street,23,Parts Per Million ( ppm ) 
2002-12-15,3116,0.431,Willits-899 S Main Street,22,Parts Per Million ( ppm ) 
2002-12-15,3489,0.413,Salinas-High School,23,Parts Per Million ( ppm ) 
2002-12-15,2329,0.400,Davenport,22,Parts Per Million ( ppm ) 
2002-12-15,3483,1.238,Stateline-Harveys Hotel,24,Parts Per Million ( ppm ) 
2002-12-15,2484,0.848,Azusa,23,Parts Per Million ( ppm ) 
2002-12-15,2492,0.896,Burbank-W Palm Avenue,23,Parts Per Million ( ppm ) 
2002-12-15,2045,0.761,Hawthorne,23,Parts Per Million ( ppm ) 
2002-12-15,2899,1.000,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2002-12-15,2583,1.291,Lynwood,23,Parts Per Million ( ppm ) 
2002-12-15,2429,1.130,North Long Beach,23,Parts Per Million ( ppm ) 
2002-12-15,2160,1.383,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2002-12-15,2166,1.187,Pico Rivera,23,Parts Per Million ( ppm ) 
2002-12-15,2898,1.239,Pomona,23,Parts Per Million ( ppm ) 
2002-12-15,2420,0.865,Reseda,23,Parts Per Million ( ppm ) 
2002-12-15,3502,0.391,Santa Clarita,23,Parts Per Million ( ppm ) 
2002-12-15,2494,0.613,West Los Angeles-VA Hospital,23,Parts Per Million ( ppm ) 
2002-12-15,3674,0.775,Anaheim-Pampas Lane,24,Parts Per Million ( ppm ) 
2002-12-15,2937,0.604,Costa Mesa-Mesa Verde Drive,23,Parts Per Million ( ppm ) 
2002-12-15,2249,0.996,La Habra,23,Parts Per Million ( ppm ) 
2002-12-15,3265,0.483,Mission Viejo-26081 Via Pera,23,Parts Per Million ( ppm ) 
2002-12-15,2943,0.730,Lake Elsinore-W Flint Street,23,Parts Per Million ( ppm ) 
2002-12-15,2333,1.271,Riverside-Magnolia,24,Parts Per Million ( ppm ) 
2002-12-15,2596,0.961,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2002-12-15,2221,1.091,San Bernardino-4th Street,23,Parts Per Million ( ppm ) 
2002-12-15,2485,0.374,Upland,23,Parts Per Million ( ppm ) 
2002-12-15,2965,0.096,Atascadero-Lewis Avenue,23,Parts Per Million ( ppm ) 
2002-12-15,2709,0.395,San Luis Obispo-Marsh Street,22,Parts Per Million ( ppm ) 
2002-12-15,3153,0.348,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2002-12-15,3101,0.222,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2002-12-15,2360,0.239,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2002-12-15,3486,0.378,Santa Maria-906 S Broadway,23,Parts Per Million ( ppm ) 
2002-12-15,3023,0.100,Vandenberg Air Force Base-STS Power,22,Parts Per Million ( ppm ) 
2002-12-15,2991,0.170,El Rio-Rio Mesa School #2,23,Parts Per Million ( ppm ) 
2002-12-15,2589,1.004,Chula Vista,23,Parts Per Million ( ppm ) 
2002-12-15,2263,1.483,Escondido-E Valley Parkway,24,Parts Per Million ( ppm ) 
