summary_date,site,co_davg,name,obs_count,units 
2017-09-01,2116,0.155,Bishop-White Mountain Research Center,23,Parts Per Million ( ppm ) 
2017-09-01,3658,0.119,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ) 
2017-09-01,2923,0.160,Barstow,23,Parts Per Million ( ppm ) 
2017-09-01,3500,0.273,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2017-09-01,3779,0.504,Eureka-Humboldt Hill                    ,24,Parts Per Million ( ppm ) 
2017-09-01,3716,0.321,Eureka-Jacobs,24,Parts Per Million ( ppm ) 
2017-09-01,3489,0.258,Salinas-High School,24,Parts Per Million ( ppm ) 
2017-09-01,2484,0.499,Azusa,24,Parts Per Million ( ppm ) 
2017-09-01,3743,0.435,Compton-700 North Bullis Road,24,Parts Per Million ( ppm ) 
2017-09-01,2849,0.273,Glendora-Laurel,24,Parts Per Million ( ppm ) 
2017-09-01,3774,0.341,Long Beach-2425 Webster Street          ,24,Parts Per Million ( ppm ) 
2017-09-01,2899,0.497,Los Angeles-North Main Street,24,Parts Per Million ( ppm ) 
2017-09-01,3683,0.050,Los Angeles-Westchester Parkway,23,Parts Per Million ( ppm ) 
2017-09-01,2160,0.323,Pasadena-S Wilson Avenue,20,Parts Per Million ( ppm ) 
2017-09-01,3693,0.460,Pico Rivera-4144 San Gabriel,24,Parts Per Million ( ppm ) 
2017-09-01,2898,0.479,Pomona,24,Parts Per Million ( ppm ) 
2017-09-01,2420,0.552,Reseda,23,Parts Per Million ( ppm ) 
2017-09-01,3502,0.212,Santa Clarita,24,Parts Per Million ( ppm ) 
2017-09-01,3809,1.052,Anaheim-812 W Vermont Street            ,18,Parts Per Million ( ppm ) 
2017-09-01,3674,0.333,Anaheim-Pampas Lane,24,Parts Per Million ( ppm ) 
2017-09-01,2249,0.271,La Habra,24,Parts Per Million ( ppm ) 
2017-09-01,3265,0.242,Mission Viejo-26081 Via Pera,24,Parts Per Million ( ppm ) 
2017-09-01,2943,0.213,Lake Elsinore-W Flint Street,24,Parts Per Million ( ppm ) 
2017-09-01,3702,0.242,Mira Loma Van Buren,24,Parts Per Million ( ppm ) 
2017-09-01,2596,0.316,Riverside-Rubidoux,22,Parts Per Million ( ppm ) 
2017-09-01,2266,0.282,Fontana-Arrow Highway,24,Parts Per Million ( ppm ) 
2017-09-01,3820,0.540,Ontario-NW Corner I-10 and Etiwanda Ave ,24,Parts Per Million ( ppm ) 
2017-09-01,2221,0.353,San Bernardino-4th Street,24,Parts Per Million ( ppm ) 
2017-09-01,3832,0.281,San Bernardino - KVCR Tower,23,Parts Per Million ( ppm ) 
2017-09-01,2485,0.427,Upland,24,Parts Per Million ( ppm ) 
2017-09-01,3153,0.239,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2017-09-01,3101,0.000,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2017-09-01,2360,0.327,Lompoc-S H Street,22,Parts Per Million ( ppm ) 
2017-09-01,3486,0.247,Santa Maria-906 S Broadway,23,Parts Per Million ( ppm ) 
