summary_date,site,monitor,pm25_davg,name,obs_count 
2014-10-15,3154,G,10.0,Keeler-Cerro Gordo Road,24 
2014-10-15,3802,A,7.8,Tahoe City-221 Fairway Drive,19 
2014-10-15,3144,B,7.2,San Andreas-Gold Strike Road,24 
2014-10-15,2353,A,9.9,Yosemite Village-Visitor Center,23 
2014-10-15,3126,C,,Grass Valley-Litton Building,17 
2014-10-15,2208,D,12.3,Truckee-Fire Station,24 
2014-10-15,3002,A,7.3,Colfax-City Hall,24 
2014-10-15,3128,C,12.8,Chester-222 1st Avenue,24 
2014-10-15,3801,C,15.0,Portola-Gulling Street                  ,24 
2014-10-15,5273,-,22.8,Kernville-Forest Service,24 
2014-10-15,3121,B,15.5,Mojave-923 Poole Street,24 
2014-10-15,3779,C,5.0,Eureka-Humboldt Hill                    ,24 
2014-10-15,2271,C,1.6,Ukiah-County Library,23 
2014-10-15,3765,A,7.0,Willits-125 E Commercial Street,24 
2014-10-15,2016,A,5.7,Carmel Valley-Ford Road,24 
2014-10-15,3726,A,1.9,King City-415 Pearl Street,24 
2014-10-15,3489,C,3.4,Salinas-High School,24 
2014-10-15,2628,B,3.3,Hollister-Fairview Road,24 
2014-10-15,3200,C,3.7,Santa Cruz AMS,24 
2014-10-15,2849,A,10.7,Glendora-Laurel,24 
2014-10-15,2899,J,6.4,Los Angeles-North Main Street,24 
2014-10-15,2899,I,10.1,Los Angeles-North Main Street,24 
2014-10-15,2429,G,6.8,North Long Beach,24 
2014-10-15,2420,C,15.9,Reseda,24 
2014-10-15,3502,A,4.0,Santa Clarita,24 
2014-10-15,3679,D,6.9,South Long Beach,24 
2014-10-15,3679,C,6.4,South Long Beach,24 
2014-10-15,3674,E,6.3,Anaheim-Pampas Lane,24 
2014-10-15,3674,D,11.8,Anaheim-Pampas Lane,24 
2014-10-15,3168,A,18.2,Banning Airport,24 
2014-10-15,2943,A,11.5,Lake Elsinore-W Flint Street,24 
2014-10-15,3702,E,9.6,Mira Loma Van Buren,24 
2014-10-15,2333,C,15.0,Riverside-Magnolia,24 
2014-10-15,2596,Z,15.9,Riverside-Rubidoux,24 
2014-10-15,2596,I,15.9,Riverside-Rubidoux,24 
2014-10-15,2596,F,14.0,Riverside-Rubidoux,24 
2014-10-15,2596,L,7.3,Riverside-Rubidoux,24 
2014-10-15,3777,A,15.7,Winchester-33700 Borel Road             ,22 
2014-10-15,2499,A,12.6,Crestline,24 
2014-10-15,2485,A,19.0,Upland,24 
2014-10-15,3762,A,7.8,Arroyo Grande-2391 Willow Road,24 
2014-10-15,2965,E,5.4,Atascadero-Lewis Avenue,23 
2014-10-15,2979,A,7.3,Nipomo-Guadalupe Road,24 
2014-10-15,3688,B,6.0,San Luis Obispo-3220 South Higuera St,24 
2014-10-15,3153,A,5.6,Goleta-Fairview,24 
2014-10-15,2360,B,5.1,Lompoc-S H Street,24 
2014-10-15,3665,D,7.3,Santa Barbara-700 East Canon Perdido,24 
2014-10-15,3486,D,7.8,Santa Maria-906 S Broadway,24 
2014-10-15,2991,D,5.8,El Rio-Rio Mesa School #2,24 
2014-10-15,3505,C,9.5,Piru-3301 Pacific Avenue,24 
2014-10-15,2880,E,5.3,Simi Valley-Cochran Street,24 
2014-10-15,2880,D,5.0,Simi Valley-Cochran Street,24 
2014-10-15,2984,F,6.0,Thousand Oaks-Moorpark Road,24 
2014-10-15,2460,B,8.3,Alpine-Victoria Drive,24 
2014-10-15,3198,C,5.8,Camp Pendleton,24 
2014-10-15,2263,G,12.2,Escondido-E Valley Parkway,24 
2014-10-15,3690,A,5.7,San Diego-1110 Beardsley Street,24 
2014-10-15,3690,D,4.5,San Diego-1110 Beardsley Street,24 
2014-10-15,3490,D,6.3,Livermore-793 Rincon Avenue,23 
2014-10-15,3247,B,5.7,Oakland-9925 International Blvd,23 
2014-10-15,3803,A,6.1,Oakland-Laney College                   ,23 
2014-10-15,3742,C,7.0,Oakland-West,24 
2014-10-15,2831,C,5.7,Concord-2956-A Treat Blvd,24 
2014-10-15,3668,A,4.8,San Pablo-Rumrill Blvd,24 
2014-10-15,2622,A,8.8,San Rafael,24 
2014-10-15,2655,B,7.7,Napa-Jefferson Avenue,24 
2014-10-15,2373,D,5.1,San Francisco-Arkansas Street,23 
2014-10-15,2125,D,4.3,Redwood City,24 
2014-10-15,2320,B,5.8,Gilroy-9th Street,24 
2014-10-15,3661,D,5.1,San Jose-Jackson Street,24 
2014-10-15,3810,A,1.9,San Jose-Knox Avenue                    ,24 
2014-10-15,2410,D,7.5,Vallejo-304 Tuolumne Street,24 
2014-10-15,2410,E,6.9,Vallejo-304 Tuolumne Street,24 
2014-10-15,3804,A,3.4,Sebastopol-103 Morris Street            ,24 
2014-10-15,3026,D,12.6,Clovis-N Villa Avenue,24 
2014-10-15,3781,E,9.1,Fresno-Garland                          ,24 
2014-10-15,3781,A,11.0,Fresno-Garland                          ,24 
2014-10-15,3768,A,10.7,Huron-16875 4th Street,24 
2014-10-15,5274,-,13.0,Pinehurst-Forest Service,24 
2014-10-15,3759,A,6.7,Tranquility-32650 West Adams Avenue,24 
2014-10-15,3146,H,19.3,Bakersfield-5558 California Avenue,24 
2014-10-15,3146,G,18.6,Bakersfield-5558 California Avenue,24 
2014-10-15,3146,A,23.5,Bakersfield-5558 California Avenue,24 
2014-10-15,3769,A,22.0,Lebec-Beartrap Road,24 
2014-10-15,3129,A,9.3,Hanford-S Irwin Street,24 
2014-10-15,3771,A,10.5,Madera-28261 Avenue 14,24 
2014-10-15,3022,A,7.4,Merced-S Coffee Avenue,24 
2014-10-15,3772,A,5.6,Manteca-530 Fishback Rd,24 
2014-10-15,2094,F,6.6,Stockton-Hazelton Street,23 
2014-10-15,2094,G,6.2,Stockton-Hazelton Street,24 
2014-10-15,3696,A,6.5,Tracy-Airport,24 
2014-10-15,2833,I,4.7,Modesto-14th Street,24 
2014-10-15,2996,A,6.3,Turlock-S Minaret Street,24 
2014-10-15,3763,A,18.5,Porterville-1839 Newcomb Street,24 
2014-10-15,3484,B,10.1,Sequoia and Kings Canyon Natl Park,24 
2014-10-15,3484,A,10.1,Sequoia and Kings Canyon Natl Park,24 
2014-10-15,5275,-,19.6,Springville-Forest Service,24 
2014-10-15,2032,B,8.3,Visalia-N Church Street,24 
2014-10-15,2032,A,10.5,Visalia-N Church Street,24 
2014-10-15,5407,t,5.1,Bombay Beach,24 
2014-10-15,3135,A,12.0,Calexico-Ethel Street,24 
2014-10-15,3135,J,14.5,Calexico-Ethel Street,24 
2014-10-15,3135,I,14.1,Calexico-Ethel Street,24 
2014-10-15,5409,t,5.9,Naval Test Base,23 
2014-10-15,5410,t,6.1,Salton City,24 
2014-10-15,5406,t,5.5,Salton Sea Park,20 
2014-10-15,5405,t,,Torres-Martinez,12 
2014-10-15,3783,A,4.0,Chico-East Avenue                       ,24 
2014-10-15,3783,Y,3.7,Chico-East Avenue                       ,22 
2014-10-15,3783,C,3.7,Chico-East Avenue                       ,22 
2014-10-15,2630,A,6.0,Gridley-Cowee Avenue,24 
2014-10-15,3786,A,5.9,Paradise-Theater                        ,24 
2014-10-15,2744,B,5.8,Colusa-Sunrise Blvd,24 
2014-10-15,3714,A,5.5,Willows-720 N Colusa Street,24 
2014-10-15,3789,A,5.3,Auburn-11645 Atwood Road                ,24 
2014-10-15,3796,A,7.5,Lincoln-1445 1st Street,24 
2014-10-15,2956,B,10.6,Roseville-N Sunrise Blvd,24 
2014-10-15,2977,A,9.5,Elk Grove-Bruceville Road,24 
2014-10-15,3187,E,6.4,Folsom-Natoma Street,24 
2014-10-15,2731,D,3.5,Sacramento-Del Paso Manor,24 
2014-10-15,2731,A,5.5,Sacramento-Del Paso Manor,24 
2014-10-15,3011,H,9.4,Sacramento-T Street,22 
2014-10-15,3209,A,3.7,Sloughhouse,24 
2014-10-15,3032,-,10.4,Anderson-North Street,23 
2014-10-15,5422,-,3.8,Rio Vista-St Francis Way,24 
2014-10-15,3678,-,,Vacaville-Ulatis Drive,16 
2014-10-15,2958,D,8.2,Yuba City-Almond Street,24 
2014-10-15,2958,C,7.0,Yuba City-Almond Street,24 
2014-10-15,2143,A,7.4,Davis-UCD Campus,24 
2014-10-15,3249,-,6.7,Woodland-Gibson Road,22 
2014-10-16,3154,G,10.3,Keeler-Cerro Gordo Road,24 
2014-10-16,3802,A,4.1,Tahoe City-221 Fairway Drive,24 
2014-10-16,3144,B,6.2,San Andreas-Gold Strike Road,24 
2014-10-16,2353,A,8.0,Yosemite Village-Visitor Center,23 
2014-10-16,3126,C,,Grass Valley-Litton Building,12 
2014-10-16,2208,D,13.6,Truckee-Fire Station,24 
2014-10-16,3002,A,9.3,Colfax-City Hall,24 
2014-10-16,3128,C,13.5,Chester-222 1st Avenue,24 
2014-10-16,3801,C,20.7,Portola-Gulling Street                  ,24 
2014-10-16,3020,C,,Quincy-N Church Street,11 
2014-10-16,5273,-,10.3,Kernville-Forest Service,24 
2014-10-16,3121,B,11.0,Mojave-923 Poole Street,24 
2014-10-16,3779,C,3.5,Eureka-Humboldt Hill                    ,24 
2014-10-16,2271,C,1.8,Ukiah-County Library,24 
2014-10-16,3765,A,7.1,Willits-125 E Commercial Street,24 
2014-10-16,2016,A,4.6,Carmel Valley-Ford Road,24 
2014-10-16,3726,A,-0.3,King City-415 Pearl Street,24 
2014-10-16,3489,C,1.5,Salinas-High School,23 
2014-10-16,2628,B,1.5,Hollister-Fairview Road,24 
2014-10-16,3200,C,3.8,Santa Cruz AMS,23 
2014-10-16,2849,A,12.9,Glendora-Laurel,24 
2014-10-16,2899,J,8.9,Los Angeles-North Main Street,24 
2014-10-16,2899,I,,Los Angeles-North Main Street,11 
2014-10-16,2429,G,9.4,North Long Beach,24 
2014-10-16,2420,C,18.3,Reseda,24 
2014-10-16,3502,A,8.7,Santa Clarita,24 
2014-10-16,3679,C,9.8,South Long Beach,24 
2014-10-16,3679,D,7.9,South Long Beach,24 
2014-10-16,3674,D,12.2,Anaheim-Pampas Lane,24 
2014-10-16,3674,E,6.8,Anaheim-Pampas Lane,24 
2014-10-16,3168,A,17.5,Banning Airport,24 
2014-10-16,2943,A,10.0,Lake Elsinore-W Flint Street,21 
2014-10-16,3702,E,9.5,Mira Loma Van Buren,24 
2014-10-16,2333,C,15.4,Riverside-Magnolia,22 
2014-10-16,2596,I,15.3,Riverside-Rubidoux,24 
2014-10-16,2596,Z,15.3,Riverside-Rubidoux,24 
2014-10-16,2596,F,12.8,Riverside-Rubidoux,24 
2014-10-16,2596,L,8.8,Riverside-Rubidoux,24 
2014-10-16,3777,A,14.3,Winchester-33700 Borel Road             ,24 
2014-10-16,2499,A,14.2,Crestline,24 
2014-10-16,2485,A,17.8,Upland,24 
2014-10-16,3762,A,7.5,Arroyo Grande-2391 Willow Road,24 
2014-10-16,2965,E,4.2,Atascadero-Lewis Avenue,24 
2014-10-16,2979,A,6.0,Nipomo-Guadalupe Road,24 
2014-10-16,3688,B,4.3,San Luis Obispo-3220 South Higuera St,24 
2014-10-16,3153,A,5.7,Goleta-Fairview,23 
2014-10-16,2360,B,4.7,Lompoc-S H Street,24 
2014-10-16,3665,D,8.1,Santa Barbara-700 East Canon Perdido,23 
2014-10-16,3486,D,8.3,Santa Maria-906 S Broadway,23 
2014-10-16,2991,D,6.5,El Rio-Rio Mesa School #2,24 
2014-10-16,3505,C,10.7,Piru-3301 Pacific Avenue,24 
2014-10-16,2880,D,6.8,Simi Valley-Cochran Street,24 
2014-10-16,2880,E,7.3,Simi Valley-Cochran Street,24 
2014-10-16,2984,F,7.6,Thousand Oaks-Moorpark Road,24 
2014-10-16,2460,B,6.4,Alpine-Victoria Drive,24 
2014-10-16,3198,C,5.9,Camp Pendleton,24 
2014-10-16,2263,G,11.2,Escondido-E Valley Parkway,24 
2014-10-16,3690,D,5.7,San Diego-1110 Beardsley Street,24 
2014-10-16,3690,A,6.8,San Diego-1110 Beardsley Street,24 
