summary_date,site,no_davg,name,obs_count,units 
2003-03-01,2948,0.004,South Lake Tahoe-Sandy Way,23,Parts Per Million ( ppm ) 
2003-03-01,3669,0.003,Tahoe City-Lake Forest Road,23,Parts Per Million ( ppm ) 
2003-03-01,3487,0.002,Echo Summit,23,Parts Per Million ( ppm ) 
2003-03-01,3121,0.002,Mojave-923 Poole Street,23,Parts Per Million ( ppm ) 
2003-03-01,3658,0.001,Lancaster-43301 Division Street,22,Parts Per Million ( ppm ) 
2003-03-01,2923,0.001,Barstow,23,Parts Per Million ( ppm ) 
2003-03-01,3215,0.001,Trona-Athol and Telegraph,21,Parts Per Million ( ppm ) 
2003-03-01,3500,0.001,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2003-03-01,3203,0.053,Mexicali-Cobach,23,Parts Per Million ( ppm ) 
2003-03-01,3185,0.023,Mexicali-ITM,23,Parts Per Million ( ppm ) 
2003-03-01,3201,0.045,Mexicali-UABC,23,Parts Per Million ( ppm ) 
2003-03-01,3183,0.002,Rosarito,23,Parts Per Million ( ppm ) 
2003-03-01,3141,0.023,Tijuana-La Mesa,23,Parts Per Million ( ppm ) 
2003-03-01,3178,0.004,Tijuana-Las Playas,23,Parts Per Million ( ppm ) 
2003-03-01,3489,0.002,Salinas-High School,23,Parts Per Million ( ppm ) 
2003-03-01,2329,0.002,Davenport,22,Parts Per Million ( ppm ) 
2003-03-01,2484,0.003,Azusa,23,Parts Per Million ( ppm ) 
2003-03-01,2492,0.039,Burbank-W Palm Avenue,23,Parts Per Million ( ppm ) 
2003-03-01,2849,0.000,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2003-03-01,2045,0.048,Hawthorne,23,Parts Per Million ( ppm ) 
2003-03-01,2899,0.035,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2003-03-01,2583,0.050,Lynwood,23,Parts Per Million ( ppm ) 
2003-03-01,2429,0.009,North Long Beach,23,Parts Per Million ( ppm ) 
2003-03-01,2160,0.010,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2003-03-01,2166,0.025,Pico Rivera,23,Parts Per Million ( ppm ) 
2003-03-01,2898,0.025,Pomona,23,Parts Per Million ( ppm ) 
2003-03-01,2420,0.035,Reseda,23,Parts Per Million ( ppm ) 
2003-03-01,3502,0.009,Santa Clarita,23,Parts Per Million ( ppm ) 
2003-03-01,2494,0.019,West Los Angeles-VA Hospital,23,Parts Per Million ( ppm ) 
2003-03-01,3674,0.012,Anaheim-Pampas Lane,24,Parts Per Million ( ppm ) 
2003-03-01,2937,0.004,Costa Mesa-Mesa Verde Drive,23,Parts Per Million ( ppm ) 
2003-03-01,2249,0.012,La Habra,24,Parts Per Million ( ppm ) 
2003-03-01,3168,0.001,Banning Airport,23,Parts Per Million ( ppm ) 
2003-03-01,2943,0.003,Lake Elsinore-W Flint Street,22,Parts Per Million ( ppm ) 
2003-03-01,2596,0.010,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2003-03-01,2266,0.013,Fontana-Arrow Highway,23,Parts Per Million ( ppm ) 
2003-03-01,2221,0.005,San Bernardino-4th Street,23,Parts Per Million ( ppm ) 
2003-03-01,2485,0.007,Upland,23,Parts Per Million ( ppm ) 
