summary_date,site,co_davg,name,obs_count,units 
2013-07-01,3658,0.166,Lancaster-43301 Division Street,22,Parts Per Million ( ppm ) 
2013-07-01,2923,0.095,Barstow,22,Parts Per Million ( ppm ) 
2013-07-01,3500,0.338,Victorville-14306 Park Avenue,22,Parts Per Million ( ppm ) 
2013-07-01,3138,0.729,Tijuana-ITT,22,Parts Per Million ( ppm ) 
2013-07-01,3779,0.197,Eureka-Humboldt Hill                    ,24,Parts Per Million ( ppm ) 
2013-07-01,3716,0.100,Eureka-Jacobs,24,Parts Per Million ( ppm ) 
2013-07-01,3489,0.308,Salinas-High School,24,Parts Per Million ( ppm ) 
2013-07-01,2484,0.543,Azusa,22,Parts Per Million ( ppm ) 
2013-07-01,2492,0.292,Burbank-W Palm Avenue,24,Parts Per Million ( ppm ) 
2013-07-01,3743,0.365,Compton-700 North Bullis Road,22,Parts Per Million ( ppm ) 
2013-07-01,2849,0.257,Glendora-Laurel,22,Parts Per Million ( ppm ) 
2013-07-01,3774,0.325,Long Beach-2425 Webster Street          ,22,Parts Per Million ( ppm ) 
2013-07-01,2899,0.395,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2013-07-01,3683,0.377,Los Angeles-Westchester Parkway,22,Parts Per Million ( ppm ) 
2013-07-01,2429,0.213,North Long Beach,22,Parts Per Million ( ppm ) 
2013-07-01,2160,0.304,Pasadena-S Wilson Avenue,22,Parts Per Million ( ppm ) 
2013-07-01,3693,0.190,Pico Rivera-4144 San Gabriel,22,Parts Per Million ( ppm ) 
2013-07-01,2898,0.253,Pomona,22,Parts Per Million ( ppm ) 
2013-07-01,2420,0.211,Reseda,22,Parts Per Million ( ppm ) 
2013-07-01,3502,0.178,Santa Clarita,22,Parts Per Million ( ppm ) 
2013-07-01,2494,0.261,West Los Angeles-VA Hospital,22,Parts Per Million ( ppm ) 
2013-07-01,3674,0.408,Anaheim-Pampas Lane,22,Parts Per Million ( ppm ) 
2013-07-01,2937,0.101,Costa Mesa-Mesa Verde Drive,22,Parts Per Million ( ppm ) 
2013-07-01,2249,0.196,La Habra,22,Parts Per Million ( ppm ) 
2013-07-01,3265,0.004,Mission Viejo-26081 Via Pera,22,Parts Per Million ( ppm ) 
2013-07-01,2943,0.043,Lake Elsinore-W Flint Street,22,Parts Per Million ( ppm ) 
2013-07-01,3702,0.100,Mira Loma Van Buren,22,Parts Per Million ( ppm ) 
2013-07-01,2333,0.338,Riverside-Magnolia,22,Parts Per Million ( ppm ) 
2013-07-01,2596,0.262,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2013-07-01,2266,0.306,Fontana-Arrow Highway,22,Parts Per Million ( ppm ) 
2013-07-01,2221,0.411,San Bernardino-4th Street,22,Parts Per Million ( ppm ) 
2013-07-01,2485,0.401,Upland,22,Parts Per Million ( ppm ) 
2013-07-01,3153,0.143,Goleta-Fairview,21,Parts Per Million ( ppm ) 
2013-07-01,3101,0.000,Las Flores Canyon #1,21,Parts Per Million ( ppm ) 
2013-07-01,2360,0.195,Lompoc-S H Street,21,Parts Per Million ( ppm ) 
2013-07-01,3665,0.165,Santa Barbara-700 East Canon Perdido,23,Parts Per Million ( ppm ) 
2013-07-01,3486,0.202,Santa Maria-906 S Broadway,23,Parts Per Million ( ppm ) 
2013-07-01,3023,0.162,Vandenberg Air Force Base-STS Power,21,Parts Per Million ( ppm ) 
2013-07-01,2327,0.301,El Cajon-Redwood Avenue,18,Parts Per Million ( ppm ) 
2013-07-01,2263,0.252,Escondido-E Valley Parkway,21,Parts Per Million ( ppm ) 
2013-07-01,3690,0.386,San Diego-1110 Beardsley Street,22,Parts Per Million ( ppm ) 
2013-07-01,3247,0.142,Oakland-9925 International Blvd,23,Parts Per Million ( ppm ) 
2013-07-01,3742,0.297,Oakland-West,23,Parts Per Million ( ppm ) 
2013-07-01,2831,0.278,Concord-2956-A Treat Blvd,23,Parts Per Million ( ppm ) 
2013-07-01,3668,0.306,San Pablo-Rumrill Blvd,23,Parts Per Million ( ppm ) 
2013-07-01,2622,0.263,San Rafael,23,Parts Per Million ( ppm ) 
2013-07-01,2655,0.394,Napa-Jefferson Avenue,21,Parts Per Million ( ppm ) 
2013-07-01,2373,0.343,San Francisco-Arkansas Street,23,Parts Per Million ( ppm ) 
2013-07-01,2125,0.455,Redwood City,23,Parts Per Million ( ppm ) 
2013-07-01,3770,0.378,Cupertino-22601 Voss Ave,23,Parts Per Million ( ppm ) 
