summary_date,site,monitor,pm25_davg,name,obs_count 
2002-09-15,2484,A,20.4,Azusa,24 
2002-09-15,2899,A,19.3,Los Angeles-North Main Street,24 
2002-09-15,2429,A,22.4,North Long Beach,24 
2002-09-15,3674,A,20.8,Anaheim-Pampas Lane,24 
2002-09-15,2596,A,33.8,Riverside-Rubidoux,24 
2002-09-15,2263,A,18.8,Escondido-E Valley Parkway,24 
2002-09-15,2964,A,16.2,San Diego-12th Avenue,24 
2002-09-15,3506,A,2.5,Point Reyes,24 
2002-09-15,3009,A,10.0,Fresno-1st Street,24 
2002-09-15,3009,D,13.6,Fresno-1st Street,24 
2002-09-15,3146,G,20.3,Bakersfield-5558 California Avenue,24 
2002-09-15,3146,A,12.8,Bakersfield-5558 California Avenue,24 
2002-09-15,3146,H,23.7,Bakersfield-5558 California Avenue,24 
2002-09-15,2833,E,8.8,Modesto-14th Street,24 
2002-09-15,2115,D,9.0,Chico-Manzanita Avenue,24 
2002-09-15,2115,C,10.0,Chico-Manzanita Avenue,24 
2002-09-15,2630,A,8.8,Gridley-Cowee Avenue,24 
2002-09-15,3011,A,4.0,Sacramento-T Street,24 
2002-09-16,2484,A,13.7,Azusa,24 
2002-09-16,2899,A,13.1,Los Angeles-North Main Street,24 
2002-09-16,2429,A,10.2,North Long Beach,24 
2002-09-16,3674,A,10.2,Anaheim-Pampas Lane,24 
2002-09-16,2596,A,16.4,Riverside-Rubidoux,24 
2002-09-16,2327,A,11.7,El Cajon-Redwood Avenue,24 
2002-09-16,2263,A,10.0,Escondido-E Valley Parkway,24 
2002-09-16,2964,A,9.3,San Diego-12th Avenue,24 
2002-09-16,3659,A,,Oakland-6701 International Blvd,15 
2002-09-16,3506,A,3.1,Point Reyes,24 
2002-09-16,3009,D,10.4,Fresno-1st Street,24 
2002-09-16,3009,A,8.0,Fresno-1st Street,24 
2002-09-16,3146,H,12.8,Bakersfield-5558 California Avenue,24 
2002-09-16,3146,G,9.4,Bakersfield-5558 California Avenue,24 
2002-09-16,3146,A,6.6,Bakersfield-5558 California Avenue,24 
2002-09-16,2833,E,10.9,Modesto-14th Street,24 
2002-09-16,2115,D,20.9,Chico-Manzanita Avenue,24 
2002-09-16,2115,C,20.7,Chico-Manzanita Avenue,24 
2002-09-16,2630,A,14.0,Gridley-Cowee Avenue,24 
2002-09-16,3011,A,6.0,Sacramento-T Street,24 
2002-09-17,3154,B,5.0,Keeler-Cerro Gordo Road,24 
2002-09-17,2914,A,3.1,Lakeport-Lakeport Blvd,24 
