summary_date,site,co_davg,name,obs_count,units 
2001-11-01,2915,0.800,Mammoth Lakes-Gateway HC,24,Parts Per Million ( ppm ) 
2001-11-01,2948,0.800,South Lake Tahoe-Sandy Way,23,Parts Per Million ( ppm ) 
2001-11-01,2993,0.222,Jackson-Clinton Road,23,Parts Per Million ( ppm ) 
2001-11-01,3144,0.317,San Andreas-Gold Strike Road,23,Parts Per Million ( ppm ) 
2001-11-01,3487,0.361,Echo Summit,23,Parts Per Million ( ppm ) 
2001-11-01,3017,0.387,Placerville-Gold Nugget Way,23,Parts Per Million ( ppm ) 
2001-11-01,2968,0.552,Sonora-Barretta Street,23,Parts Per Million ( ppm ) 
2001-11-01,3658,0.615,Lancaster-43301 Division Street,20,Parts Per Million ( ppm ) 
2001-11-01,2923,0.283,Barstow,23,Parts Per Million ( ppm ) 
2001-11-01,3500,0.541,Victorville-14306 Park Avenue,22,Parts Per Million ( ppm ) 
2001-11-01,3202,3.670,Mexicali-CBTIS,23,Parts Per Million ( ppm ) 
2001-11-01,3203,3.578,Mexicali-Cobach,23,Parts Per Million ( ppm ) 
2001-11-01,3201,3.748,Mexicali-UABC,23,Parts Per Million ( ppm ) 
2001-11-01,3183,0.543,Rosarito,23,Parts Per Million ( ppm ) 
2001-11-01,3138,0.717,Tijuana-ITT,23,Parts Per Million ( ppm ) 
2001-11-01,3141,1.575,Tijuana-La Mesa,20,Parts Per Million ( ppm ) 
2001-11-01,3178,0.583,Tijuana-Las Playas,23,Parts Per Million ( ppm ) 
2001-11-01,3010,0.433,Ukiah-E Gobbi Street,23,Parts Per Million ( ppm ) 
2001-11-01,3116,0.361,Willits-899 S Main Street,22,Parts Per Million ( ppm ) 
2001-11-01,3489,0.450,Salinas-High School,24,Parts Per Million ( ppm ) 
2001-11-01,2329,0.646,Davenport,24,Parts Per Million ( ppm ) 
2001-11-01,3483,1.517,Stateline-Harveys Hotel,24,Parts Per Million ( ppm ) 
2001-11-01,2484,0.909,Azusa,23,Parts Per Million ( ppm ) 
2001-11-01,2492,1.130,Burbank-W Palm Avenue,23,Parts Per Million ( ppm ) 
2001-11-01,2045,1.026,Hawthorne,23,Parts Per Million ( ppm ) 
2001-11-01,3508,1.052,Los Angeles-651 Mott Street,23,Parts Per Million ( ppm ) 
2001-11-01,2899,1.078,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2001-11-01,2583,1.496,Lynwood,23,Parts Per Million ( ppm ) 
2001-11-01,2429,0.891,North Long Beach,23,Parts Per Million ( ppm ) 
2001-11-01,2160,1.122,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
