summary_date,site,no2_davg,name,obs_count,units 
2008-04-22,3658,0.014,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ) 
2008-04-22,2923,0.020,Barstow,23,Parts Per Million ( ppm ) 
2008-04-22,3500,0.027,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2008-04-22,3681,0.010,Mexicali-Carretera,23,Parts Per Million ( ppm ) 
2008-04-22,3185,0.022,Mexicali-ITM,23,Parts Per Million ( ppm ) 
2008-04-22,3201,0.022,Mexicali-UABC,21,Parts Per Million ( ppm ) 
2008-04-22,3255,0.027,Tecate-Paseo Morelos,23,Parts Per Million ( ppm ) 
2008-04-22,3141,0.019,Tijuana-La Mesa,23,Parts Per Million ( ppm ) 
2008-04-22,3716,0.002,Eureka-Jacobs,23,Parts Per Million ( ppm ) 
2008-04-22,3010,0.010,Ukiah-E Gobbi Street,22,Parts Per Million ( ppm ) 
2008-04-22,3489,0.007,Salinas-High School,24,Parts Per Million ( ppm ) 
2008-04-22,2329,0.002,Davenport,23,Parts Per Million ( ppm ) 
2008-04-22,2484,0.030,Azusa,23,Parts Per Million ( ppm ) 
2008-04-22,2492,0.030,Burbank-W Palm Avenue,21,Parts Per Million ( ppm ) 
2008-04-22,2849,0.021,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2008-04-22,2899,0.028,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2008-04-22,2583,0.028,Lynwood,23,Parts Per Million ( ppm ) 
2008-04-22,2429,0.024,North Long Beach,23,Parts Per Million ( ppm ) 
2008-04-22,2160,0.025,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2008-04-22,3693,0.025,Pico Rivera-4144 San Gabriel,23,Parts Per Million ( ppm ) 
2008-04-22,2898,0.032,Pomona,23,Parts Per Million ( ppm ) 
2008-04-22,2420,0.019,Reseda,23,Parts Per Million ( ppm ) 
2008-04-22,3502,0.020,Santa Clarita,23,Parts Per Million ( ppm ) 
2008-04-22,2494,0.023,West Los Angeles-VA Hospital,23,Parts Per Million ( ppm ) 
2008-04-22,3674,0.022,Anaheim-Pampas Lane,22,Parts Per Million ( ppm ) 
2008-04-22,2937,0.013,Costa Mesa-Mesa Verde Drive,23,Parts Per Million ( ppm ) 
2008-04-22,2249,0.019,La Habra,23,Parts Per Million ( ppm ) 
2008-04-22,3168,0.010,Banning Airport,23,Parts Per Million ( ppm ) 
2008-04-22,2943,0.012,Lake Elsinore-W Flint Street,23,Parts Per Million ( ppm ) 
2008-04-22,3747,0.022,Mira Loma-10551 Bellegrave,23,Parts Per Million ( ppm ) 
2008-04-22,3702,0.018,Mira Loma Van Buren,23,Parts Per Million ( ppm ) 
2008-04-22,2596,0.022,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2008-04-22,2266,0.025,Fontana-Arrow Highway,23,Parts Per Million ( ppm ) 
2008-04-22,2221,0.025,San Bernardino-4th Street,23,Parts Per Million ( ppm ) 
2008-04-22,2485,0.029,Upland,23,Parts Per Million ( ppm ) 
2008-04-22,2965,0.007,Atascadero-Lewis Avenue,23,Parts Per Million ( ppm ) 
2008-04-22,2321,0.003,Morro Bay,23,Parts Per Million ( ppm ) 
2008-04-22,3251,0.004,Nipomo-Regional Park,23,Parts Per Million ( ppm ) 
2008-04-22,2954,0.005,Gaviota-GTC Site B,23,Parts Per Million ( ppm ) 
2008-04-22,3153,0.007,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2008-04-22,3101,0.003,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2008-04-22,2992,0.001,Lompoc-HSandP,23,Parts Per Million ( ppm ) 
2008-04-22,2360,0.004,Lompoc-S H Street,22,Parts Per Million ( ppm ) 
2008-04-22,2957,0.001,Paradise Road-Los Padres National Forest,23,Parts Per Million ( ppm ) 
2008-04-22,3665,0.012,Santa Barbara-700 East Canon Perdido,23,Parts Per Million ( ppm ) 
2008-04-22,3486,0.012,Santa Maria-906 S Broadway,23,Parts Per Million ( ppm ) 
2008-04-22,3023,0.001,Vandenberg Air Force Base-STS Power,18,Parts Per Million ( ppm ) 
2008-04-22,2991,0.010,El Rio-Rio Mesa School #2,23,Parts Per Million ( ppm ) 
2008-04-22,2880,0.014,Simi Valley-Cochran Street,23,Parts Per Million ( ppm ) 
