summary_date,site,monitor,pm25_davg,name,obs_count 
2011-11-01,3154,G,34.6,Keeler-Cerro Gordo Road,24 
2011-11-01,3144,B,9.0,San Andreas-Gold Strike Road,24 
2011-11-01,2353,A,4.7,Yosemite Village-Visitor Center,24 
2011-11-01,2208,B,8.8,Truckee-Fire Station,24 
2011-11-01,2208,D,19.5,Truckee-Fire Station,24 
2011-11-01,3128,C,5.0,Chester-222 1st Avenue,24 
2011-11-01,3494,E,10.3,Portola-161 Nevada Street,24 
2011-11-01,3020,C,16.4,Quincy-N Church Street,24 
2011-11-01,3121,B,11.1,Mojave-923 Poole Street,24 
2011-11-01,3779,A,14.0,Eureka-Humboldt Hill                    ,24 
2011-11-01,2271,C,2.2,Ukiah-County Library,24 
2011-11-01,3765,A,13.0,Willits-125 E Commercial Street,24 
2011-11-01,3132,A,20.0,Weaverville-Courthouse,24 
2011-11-01,3489,C,6.0,Salinas-High School,24 
2011-11-01,2628,B,7.8,Hollister-Fairview Road,23 
2011-11-01,3200,C,5.2,Santa Cruz AMS,24 
2011-11-01,2492,D,52.3,Burbank-W Palm Avenue,24 
2011-11-01,2492,A,27.7,Burbank-W Palm Avenue,24 
2011-11-01,2849,A,36.7,Glendora-Laurel,24 
2011-11-01,2899,I,69.3,Los Angeles-North Main Street,20 
2011-11-01,2429,F,31.9,North Long Beach,24 
2011-11-01,2420,C,34.0,Reseda,24 
2011-11-01,3502,A,20.2,Santa Clarita,24 
2011-11-01,3679,A,19.3,South Long Beach,24 
2011-11-01,3674,A,28.0,Anaheim-Pampas Lane,24 
2011-11-01,3674,D,35.3,Anaheim-Pampas Lane,24 
2011-11-01,3168,A,11.9,Banning Airport,24 
2011-11-01,2943,A,17.9,Lake Elsinore-W Flint Street,24 
2011-11-01,3702,C,43.5,Mira Loma Van Buren,24 
2011-11-01,3702,A,36.7,Mira Loma Van Buren,24 
2011-11-01,2333,C,32.9,Riverside-Magnolia,24 
2011-11-01,2596,I,33.1,Riverside-Rubidoux,24 
2011-11-01,2596,A,30.6,Riverside-Rubidoux,24 
2011-11-01,2596,F,33.1,Riverside-Rubidoux,24 
2011-11-01,2596,Z,33.1,Riverside-Rubidoux,24 
2011-11-01,3777,A,8.6,Winchester-33700 Borel Road             ,24 
2011-11-01,2485,A,40.2,Upland,24 
2011-11-01,3762,A,9.8,Arroyo Grande-2391 Willow Road,24 
2011-11-01,2965,E,11.5,Atascadero-Lewis Avenue,24 
2011-11-01,2979,A,10.3,Nipomo-Guadalupe Road,24 
2011-11-01,3688,B,8.5,San Luis Obispo-3220 South Higuera St,24 
2011-11-01,3153,A,,Goleta-Fairview,11 
2011-11-01,2360,B,10.0,Lompoc-S H Street,24 
2011-11-01,3665,D,16.8,Santa Barbara-700 East Canon Perdido,24 
2011-11-01,3486,D,14.5,Santa Maria-906 S Broadway,24 
2011-11-01,2991,C,25.9,El Rio-Rio Mesa School #2,24 
2011-11-01,2880,C,16.6,Simi Valley-Cochran Street,24 
2011-11-01,2984,E,20.2,Thousand Oaks-Moorpark Road,24 
2011-11-01,2460,A,11.3,Alpine-Victoria Drive,24 
2011-11-01,2327,F,22.7,El Cajon-Redwood Avenue,24 
2011-11-01,2263,H,19.0,Escondido-E Valley Parkway,24 
2011-11-01,2263,G,22.1,Escondido-E Valley Parkway,24 
2011-11-01,3690,A,24.9,San Diego-1110 Beardsley Street,24 
2011-11-01,3690,D,28.9,San Diego-1110 Beardsley Street,24 
2011-11-01,3690,B,28.9,San Diego-1110 Beardsley Street,24 
2011-11-01,3490,D,4.1,Livermore-793 Rincon Avenue,24 
2011-11-01,3247,B,8.1,Oakland-9925 International Blvd,23 
2011-11-01,3742,A,8.0,Oakland-West,22 
2011-11-01,2831,A,4.6,Concord-2956-A Treat Blvd,24 
2011-11-01,3506,A,7.6,Point Reyes,24 
2011-11-01,2622,A,6.2,San Rafael,24 
2011-11-01,2373,D,8.3,San Francisco-Arkansas Street,24 
2011-11-01,2125,D,7.5,Redwood City,23 
2011-11-01,3770,A,10.7,Cupertino-22601 Voss Ave,23 
2011-11-01,2320,B,8.1,Gilroy-9th Street,23 
2011-11-01,3661,C,7.3,San Jose-Jackson Street,24 
2011-11-01,3661,A,7.0,San Jose-Jackson Street,24 
2011-11-01,2410,D,8.6,Vallejo-304 Tuolumne Street,23 
2011-11-01,2105,B,5.0,Santa Rosa-5th Street,23 
2011-11-01,3026,D,18.1,Clovis-N Villa Avenue,24 
2011-11-01,3009,M,18.8,Fresno-1st Street,24 
2011-11-01,3009,A,15.3,Fresno-1st Street,24 
2011-11-01,3768,A,18.9,Huron-16875 4th Street,24 
2011-11-01,3759,A,10.2,Tranquility-32650 West Adams Avenue,24 
2011-11-01,3146,G,25.8,Bakersfield-5558 California Avenue,24 
2011-11-01,3146,H,27.4,Bakersfield-5558 California Avenue,24 
2011-11-01,3146,A,24.5,Bakersfield-5558 California Avenue,24 
2011-11-01,3769,A,21.5,Lebec-Beartrap Road,21 
2011-11-01,3129,A,22.9,Hanford-S Irwin Street,24 
2011-11-01,3771,A,19.0,Madera-28261 Avenue 14,24 
2011-11-01,3022,A,9.9,Merced-S Coffee Avenue,24 
2011-11-01,3772,A,7.5,Manteca-530 Fishback Rd,24 
2011-11-01,2094,G,10.0,Stockton-Hazelton Street,24 
2011-11-01,2094,F,4.6,Stockton-Hazelton Street,24 
2011-11-01,3696,A,3.5,Tracy-Airport,24 
2011-11-01,2833,I,8.4,Modesto-14th Street,24 
2011-11-01,2996,A,16.0,Turlock-S Minaret Street,24 
2011-11-01,3763,A,28.5,Porterville-1839 Newcomb Street,24 
2011-11-01,3484,A,20.4,Sequoia and Kings Canyon Natl Park,22 
2011-11-01,3484,B,20.4,Sequoia and Kings Canyon Natl Park,22 
2011-11-01,2032,B,22.7,Visalia-N Church Street,24 
2011-11-01,5409,t,6.8,Naval Test Base,24 
2011-11-01,5406,t,3.1,Salton Sea Park,20 
2011-11-01,5405,t,46.2,Torres-Martinez,20 
2011-11-01,2115,D,3.7,Chico-Manzanita Avenue,24 
2011-11-01,2115,C,8.3,Chico-Manzanita Avenue,24 
2011-11-01,2630,A,2.8,Gridley-Cowee Avenue,24 
2011-11-01,3786,A,2.7,Paradise-Theater                        ,24 
2011-11-01,2744,B,7.6,Colusa-Sunrise Blvd,24 
2011-11-01,3714,A,3.5,Willows-720 N Colusa Street,23 
2011-11-01,2956,B,9.1,Roseville-N Sunrise Blvd,24 
2011-11-01,2977,A,6.8,Elk Grove-Bruceville Road,24 
2011-11-01,3187,A,4.3,Folsom-Natoma Street,24 
2011-11-01,2731,D,7.1,Sacramento-Del Paso Manor,24 
