summary_date,site,no2_davg,name,obs_count,units 
2004-03-22,2948,0.012,South Lake Tahoe-Sandy Way,23,Parts Per Million ( ppm ) 
2004-03-22,3669,0.004,Tahoe City-Lake Forest Road,23,Parts Per Million ( ppm ) 
2004-03-22,3487,0.001,Echo Summit,23,Parts Per Million ( ppm ) 
2004-03-22,3121,0.011,Mojave-923 Poole Street,23,Parts Per Million ( ppm ) 
2004-03-22,3658,0.019,Lancaster-43301 Division Street,22,Parts Per Million ( ppm ) 
2004-03-22,2923,0.034,Barstow,23,Parts Per Million ( ppm ) 
2004-03-22,3215,0.006,Trona-Athol and Telegraph,23,Parts Per Million ( ppm ) 
2004-03-22,3500,0.031,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2004-03-22,3203,0.026,Mexicali-Cobach,23,Parts Per Million ( ppm ) 
2004-03-22,3185,0.034,Mexicali-ITM,22,Parts Per Million ( ppm ) 
2004-03-22,3201,0.034,Mexicali-UABC,23,Parts Per Million ( ppm ) 
2004-03-22,3183,0.009,Rosarito,23,Parts Per Million ( ppm ) 
2004-03-22,3255,0.026,Tecate-Paseo Morelos,18,Parts Per Million ( ppm ) 
2004-03-22,3138,0.020,Tijuana-ITT,22,Parts Per Million ( ppm ) 
2004-03-22,3141,0.027,Tijuana-La Mesa,23,Parts Per Million ( ppm ) 
2004-03-22,3178,0.014,Tijuana-Las Playas,21,Parts Per Million ( ppm ) 
2004-03-22,3010,0.008,Ukiah-E Gobbi Street,23,Parts Per Million ( ppm ) 
2004-03-22,3116,0.007,Willits-899 S Main Street,24,Parts Per Million ( ppm ) 
2004-03-22,3489,0.003,Salinas-High School,24,Parts Per Million ( ppm ) 
2004-03-22,2329,0.003,Davenport,24,Parts Per Million ( ppm ) 
2004-03-22,2492,0.054,Burbank-W Palm Avenue,23,Parts Per Million ( ppm ) 
2004-03-22,2849,0.054,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2004-03-22,2045,0.022,Hawthorne,23,Parts Per Million ( ppm ) 
2004-03-22,2899,0.041,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2004-03-22,2583,0.027,Lynwood,23,Parts Per Million ( ppm ) 
2004-03-22,2429,0.051,North Long Beach,23,Parts Per Million ( ppm ) 
2004-03-22,2160,0.045,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2004-03-22,2166,0.040,Pico Rivera,23,Parts Per Million ( ppm ) 
2004-03-22,2898,0.047,Pomona,23,Parts Per Million ( ppm ) 
2004-03-22,2420,0.037,Reseda,23,Parts Per Million ( ppm ) 
2004-03-22,3502,0.031,Santa Clarita,23,Parts Per Million ( ppm ) 
2004-03-22,2494,0.018,West Los Angeles-VA Hospital,23,Parts Per Million ( ppm ) 
2004-03-22,3674,0.027,Anaheim-Pampas Lane,23,Parts Per Million ( ppm ) 
2004-03-22,2937,0.016,Costa Mesa-Mesa Verde Drive,23,Parts Per Million ( ppm ) 
2004-03-22,3168,0.033,Banning Airport,23,Parts Per Million ( ppm ) 
2004-03-22,2943,0.026,Lake Elsinore-W Flint Street,23,Parts Per Million ( ppm ) 
2004-03-22,2596,0.040,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2004-03-22,2266,0.059,Fontana-Arrow Highway,23,Parts Per Million ( ppm ) 
2004-03-22,2221,0.055,San Bernardino-4th Street,23,Parts Per Million ( ppm ) 
2004-03-22,2485,0.052,Upland,23,Parts Per Million ( ppm ) 
2004-03-22,2965,0.005,Atascadero-Lewis Avenue,23,Parts Per Million ( ppm ) 
2004-03-22,2321,0.002,Morro Bay,23,Parts Per Million ( ppm ) 
2004-03-22,3251,0.004,Nipomo-Regional Park,23,Parts Per Million ( ppm ) 
2004-03-22,2709,0.005,San Luis Obispo-Marsh Street,23,Parts Per Million ( ppm ) 
2004-03-22,3003,0.002,Carpinteria-Gobernador Road,23,Parts Per Million ( ppm ) 
2004-03-22,2008,0.010,El Capitan Beach,23,Parts Per Million ( ppm ) 
2004-03-22,2954,0.005,Gaviota-GTC Site B,23,Parts Per Million ( ppm ) 
2004-03-22,3153,0.010,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2004-03-22,3101,0.004,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2004-03-22,2992,0.002,Lompoc-HSandP,23,Parts Per Million ( ppm ) 
2004-03-22,2360,0.002,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2004-03-22,2957,0.002,Paradise Road-Los Padres National Forest,23,Parts Per Million ( ppm ) 
2004-03-22,3665,0.013,Santa Barbara-700 East Canon Perdido,23,Parts Per Million ( ppm ) 
2004-03-22,3486,0.006,Santa Maria-906 S Broadway,23,Parts Per Million ( ppm ) 
2004-03-22,3023,0.001,Vandenberg Air Force Base-STS Power,23,Parts Per Million ( ppm ) 
2004-03-22,2991,0.011,El Rio-Rio Mesa School #2,22,Parts Per Million ( ppm ) 
2004-03-22,3172,0.007,Ojai-Ojai Avenue,23,Parts Per Million ( ppm ) 
2004-03-22,2880,0.016,Simi Valley-Cochran Street,22,Parts Per Million ( ppm ) 
2004-03-22,2984,0.014,Thousand Oaks-Moorpark Road,23,Parts Per Million ( ppm ) 
2004-03-22,2088,0.009,Ventura-Emma Wood State Beach,23,Parts Per Million ( ppm ) 
2004-03-22,2460,0.024,Alpine-Victoria Drive,23,Parts Per Million ( ppm ) 
2004-03-22,3198,0.007,Camp Pendleton,24,Parts Per Million ( ppm ) 
2004-03-22,2589,0.015,Chula Vista,23,Parts Per Million ( ppm ) 
2004-03-22,2327,0.021,El Cajon-Redwood Avenue,18,Parts Per Million ( ppm ) 
2004-03-22,2263,0.023,Escondido-E Valley Parkway,22,Parts Per Million ( ppm ) 
