summary_date,site,monitor,pm25_davg,name,obs_count 
2018-07-01,2116,A,5.6,Bishop-White Mountain Research Center,24 
2018-07-01,2116,B,7.4,Bishop-White Mountain Research Center,24 
2018-07-01,2116,C,7.0,Bishop-White Mountain Research Center,24 
2018-07-01,3154,A,7.0,Keeler-Cerro Gordo Road,24 
2018-07-01,3154,G,6.9,Keeler-Cerro Gordo Road,24 
2018-07-01,3707,A,3.4,Hoover,24 
2018-07-01,2224,A,4.5,Lee Vining-SMS,24 
2018-07-01,3834,A,3.8,Lakeport-S. Main Street                 ,24 
2018-07-01,3698,A,2.5,Bliss State Park,24 
2018-07-01,3817,A,3.3,Lake Tahoe Community College            ,24 
2018-07-01,3802,A,0.5,Tahoe City-221 Fairway Drive,24 
2018-07-01,3144,B,14.2,San Andreas-Gold Strike Road,24 
2018-07-01,3018,B,7.5,Yosemite Natl Park-Turtleback Dome,24 
2018-07-01,3018,A,7.8,Yosemite Natl Park-Turtleback Dome,24 
2018-07-01,2353,A,8.0,Yosemite Village-Visitor Center,24 
2018-07-01,3126,A,4.4,Grass Valley-Litton Building,24 
2018-07-01,3126,D,0.1,Grass Valley-Litton Building,24 
2018-07-01,2208,A,4.2,Truckee-Fire Station,24 
2018-07-01,2208,D,5.5,Truckee-Fire Station,24 
2018-07-01,3002,A,9.2,Colfax-City Hall,24 
2018-07-01,3128,C,2.0,Chester-222 1st Avenue,24 
2018-07-01,3801,A,4.6,Portola-Gulling Street                  ,24 
2018-07-01,3801,C,3.9,Portola-Gulling Street                  ,24 
2018-07-01,3801,B,3.5,Portola-Gulling Street                  ,24 
2018-07-01,3020,A,3.4,Quincy-N Church Street,24 
2018-07-01,3020,C,2.5,Quincy-N Church Street,24 
2018-07-01,3121,B,11.6,Mojave-923 Poole Street,24 
2018-07-01,3835,A,9.7,Ridgecrest-Ward                         ,24 
2018-07-01,3658,B,7.4,Lancaster-43301 Division Street,24 
2018-07-01,3152,A,4.3,Joshua Tree NP - Black Rock,24 
2018-07-01,3500,A,8.6,Victorville-14306 Park Avenue,24 
2018-07-01,3500,B,9.2,Victorville-14306 Park Avenue,24 
2018-07-01,3016,A,10.3,Redwood Natl Park-Requa,24 
2018-07-01,3716,A,9.9,Eureka-Jacobs,24 
2018-07-01,2271,C,2.3,Ukiah-County Library,24 
2018-07-01,3765,A,5.6,Willits-125 E Commercial Street,24 
2018-07-01,3711,A,1.6,Trinity,24 
2018-07-01,2016,A,4.0,Carmel Valley-Ford Road,24 
2018-07-01,3726,A,7.4,King City-415 Pearl Street,24 
2018-07-01,3489,C,3.5,Salinas-High School,24 
2018-07-01,3489,B,3.7,Salinas-High School,24 
2018-07-01,2628,B,3.4,Hollister-Fairview Road,24 
2018-07-01,2983,A,5.0,Pinnacles National Monument,24 
2018-07-01,3811,A,2.4,San Lorenzo Valley Middle School AMS,24 
2018-07-01,3200,C,4.3,Santa Cruz AMS,24 
2018-07-01,2752,B,2.8,Yreka-Foothill Drive,24 
2018-07-01,2484,A,8.3,Azusa,24 
2018-07-01,3743,A,5.4,Compton-700 North Bullis Road,24 
2018-07-01,2849,A,16.3,Glendora-Laurel,24 
2018-07-01,3818,C,5.8,Long Beach-Route 710 Near Road          ,21 
2018-07-01,3818,A,5.1,Long Beach-Route 710 Near Road          ,24 
2018-07-01,2899,E,7.2,Los Angeles-North Main Street,24 
2018-07-01,2899,A,7.3,Los Angeles-North Main Street,24 
2018-07-01,2899,I,,Los Angeles-North Main Street,18 
2018-07-01,2899,B,7.2,Los Angeles-North Main Street,24 
2018-07-01,2429,A,4.2,North Long Beach,24 
2018-07-01,2160,A,7.5,Pasadena-S Wilson Avenue,24 
2018-07-01,2160,B,7.8,Pasadena-S Wilson Avenue,24 
2018-07-01,3693,D,6.7,Pico Rivera-4144 San Gabriel,24 
2018-07-01,3693,A,6.7,Pico Rivera-4144 San Gabriel,24 
2018-07-01,2420,C,13.9,Reseda,24 
2018-07-01,2420,A,6.1,Reseda,24 
2018-07-01,3502,A,12.0,Santa Clarita,24 
2018-07-01,3679,A,4.3,South Long Beach,24 
2018-07-01,3679,B,4.7,South Long Beach,24 
2018-07-01,3674,B,5.0,Anaheim-Pampas Lane,24 
2018-07-01,3674,A,5.0,Anaheim-Pampas Lane,24 
2018-07-01,3674,C,5.7,Anaheim-Pampas Lane,24 
2018-07-01,3674,F,4.8,Anaheim-Pampas Lane,24 
2018-07-01,3708,A,3.4,Agua Tibia,24 
2018-07-01,3168,A,9.5,Banning Airport,24 
2018-07-01,2943,A,3.2,Lake Elsinore-W Flint Street,24 
2018-07-01,3702,B,13.5,Mira Loma Van Buren,24 
2018-07-01,3702,A,7.4,Mira Loma Van Buren,24 
