summary_date,site,no2_davg,name,obs_count,units 
2010-11-08,3126,0.006,Grass Valley-Litton Building,24,Parts Per Million ( ppm ) 
2010-11-08,3658,0.005,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ) 
2010-11-08,2923,0.009,Barstow,23,Parts Per Million ( ppm ) 
2010-11-08,3215,0.006,Trona-Athol and Telegraph,23,Parts Per Million ( ppm ) 
2010-11-08,3500,0.003,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2010-11-08,3201,0.014,Mexicali-UABC,23,Parts Per Million ( ppm ) 
2010-11-08,3255,0.023,Tecate-Paseo Morelos,22,Parts Per Million ( ppm ) 
2010-11-08,3138,0.012,Tijuana-ITT,23,Parts Per Million ( ppm ) 
2010-11-08,3141,0.018,Tijuana-La Mesa,18,Parts Per Million ( ppm ) 
2010-11-08,3716,0.006,Eureka-Jacobs,23,Parts Per Million ( ppm ) 
2010-11-08,3489,0.009,Salinas-High School,24,Parts Per Million ( ppm ) 
2010-11-08,2484,0.009,Azusa,23,Parts Per Million ( ppm ) 
2010-11-08,2492,0.010,Burbank-W Palm Avenue,23,Parts Per Million ( ppm ) 
2010-11-08,3743,0.011,Compton-700 North Bullis Road,22,Parts Per Million ( ppm ) 
2010-11-08,2849,0.005,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2010-11-08,3774,0.017,Long Beach-2425 Webster Street          ,23,Parts Per Million ( ppm ) 
2010-11-08,2899,0.011,Los Angeles-North Main Street,22,Parts Per Million ( ppm ) 
2010-11-08,3683,0.004,Los Angeles-Westchester Parkway,23,Parts Per Million ( ppm ) 
2010-11-08,2429,0.011,North Long Beach,23,Parts Per Million ( ppm ) 
2010-11-08,2160,0.008,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2010-11-08,2898,0.020,Pomona,22,Parts Per Million ( ppm ) 
2010-11-08,2420,0.005,Reseda,23,Parts Per Million ( ppm ) 
2010-11-08,3502,0.004,Santa Clarita,22,Parts Per Million ( ppm ) 
2010-11-08,2494,0.006,West Los Angeles-VA Hospital,22,Parts Per Million ( ppm ) 
2010-11-08,3674,0.015,Anaheim-Pampas Lane,22,Parts Per Million ( ppm ) 
2010-11-08,2937,0.009,Costa Mesa-Mesa Verde Drive,23,Parts Per Million ( ppm ) 
2010-11-08,2249,0.017,La Habra,22,Parts Per Million ( ppm ) 
2010-11-08,3168,0.006,Banning Airport,23,Parts Per Million ( ppm ) 
2010-11-08,2943,0.006,Lake Elsinore-W Flint Street,22,Parts Per Million ( ppm ) 
2010-11-08,3747,0.012,Mira Loma-10551 Bellegrave,22,Parts Per Million ( ppm ) 
2010-11-08,3702,0.013,Mira Loma Van Buren,23,Parts Per Million ( ppm ) 
2010-11-08,2333,0.009,Riverside-Magnolia,22,Parts Per Million ( ppm ) 
2010-11-08,2596,0.013,Riverside-Rubidoux,22,Parts Per Million ( ppm ) 
2010-11-08,2266,0.018,Fontana-Arrow Highway,22,Parts Per Million ( ppm ) 
2010-11-08,2221,0.009,San Bernardino-4th Street,22,Parts Per Million ( ppm ) 
2010-11-08,2485,0.015,Upland,22,Parts Per Million ( ppm ) 
2010-11-08,2965,0.007,Atascadero-Lewis Avenue,23,Parts Per Million ( ppm ) 
2010-11-08,2321,0.004,Morro Bay,23,Parts Per Million ( ppm ) 
2010-11-08,3251,0.002,Nipomo-Regional Park,23,Parts Per Million ( ppm ) 
2010-11-08,3003,0.000,Carpinteria-Gobernador Road,23,Parts Per Million ( ppm ) 
2010-11-08,2008,0.002,El Capitan Beach,23,Parts Per Million ( ppm ) 
2010-11-08,2954,0.005,Gaviota-GTC Site B,23,Parts Per Million ( ppm ) 
2010-11-08,3153,0.002,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2010-11-08,3101,0.001,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2010-11-08,2992,0.000,Lompoc-HSandP,23,Parts Per Million ( ppm ) 
2010-11-08,2360,0.003,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2010-11-08,2957,0.000,Paradise Road-Los Padres National Forest,23,Parts Per Million ( ppm ) 
2010-11-08,3665,0.004,Santa Barbara-700 East Canon Perdido,23,Parts Per Million ( ppm ) 
2010-11-08,3486,0.009,Santa Maria-906 S Broadway,23,Parts Per Million ( ppm ) 
2010-11-08,3023,0.000,Vandenberg Air Force Base-STS Power,23,Parts Per Million ( ppm ) 
2010-11-08,2991,0.006,El Rio-Rio Mesa School #2,23,Parts Per Million ( ppm ) 
2010-11-08,2880,0.002,Simi Valley-Cochran Street,23,Parts Per Million ( ppm ) 
2010-11-08,2460,0.005,Alpine-Victoria Drive,24,Parts Per Million ( ppm ) 
2010-11-08,3198,0.006,Camp Pendleton,21,Parts Per Million ( ppm ) 
2010-11-08,2589,0.010,Chula Vista,22,Parts Per Million ( ppm ) 
2010-11-08,2327,0.006,El Cajon-Redwood Avenue,23,Parts Per Million ( ppm ) 
2010-11-08,2263,0.012,Escondido-E Valley Parkway,23,Parts Per Million ( ppm ) 
2010-11-08,2933,0.017,Otay Mesa-Paseo International,23,Parts Per Million ( ppm ) 
2010-11-08,3690,0.011,San Diego-1110 Beardsley Street,23,Parts Per Million ( ppm ) 
2010-11-08,2040,0.012,San Diego-Overland Avenue,22,Parts Per Million ( ppm ) 
2010-11-08,3727,0.015,Berkeley-6th Street,22,Parts Per Million ( ppm ) 
2010-11-08,3490,0.010,Livermore-793 Rincon Avenue,23,Parts Per Million ( ppm ) 
2010-11-08,3247,0.017,Oakland-9925 International Blvd,23,Parts Per Million ( ppm ) 
2010-11-08,3742,0.014,Oakland-West,23,Parts Per Million ( ppm ) 
