summary_date,site,monitor,pm25_davg,name,obs_count 
2010-11-22,3151,A,0.8,Death Valley Natl Monument,24 
2010-11-22,3154,G,2.0,Keeler-Cerro Gordo Road,23 
2010-11-22,3154,A,2.0,Keeler-Cerro Gordo Road,24 
2010-11-22,3707,A,0.7,Hoover,24 
2010-11-22,2914,A,2.0,Lakeport-Lakeport Blvd,24 
2010-11-22,3698,A,0.3,Bliss State Park,24 
2010-11-22,3144,B,5.9,San Andreas-Gold Strike Road,24 
2010-11-22,3018,A,0.5,Yosemite Natl Park-Turtleback Dome,24 
2010-11-22,2353,A,8.2,Yosemite Village-Visitor Center,24 
2010-11-22,3126,C,2.4,Grass Valley-Litton Building,24 
2010-11-22,2208,B,2.4,Truckee-Fire Station,24 
2010-11-22,2208,Z,2.3,Truckee-Fire Station,24 
2010-11-22,2208,D,6.5,Truckee-Fire Station,24 
2010-11-22,3128,C,7.9,Chester-222 1st Avenue,24 
2010-11-22,3494,B,3.0,Portola-161 Nevada Street,24 
2010-11-22,3494,A,2.2,Portola-161 Nevada Street,24 
2010-11-22,3494,E,1.6,Portola-161 Nevada Street,24 
2010-11-22,3020,C,9.2,Quincy-N Church Street,24 
2010-11-22,3492,A,1.4,Ridgecrest-100 West California Avenue,24 
2010-11-22,3152,A,3.1,Joshua Tree NP - Black Rock,24 
2010-11-22,3500,B,5.0,Victorville-14306 Park Avenue,24 
2010-11-22,3500,A,3.0,Victorville-14306 Park Avenue,24 
2010-11-22,3016,A,0.9,Redwood Natl Park-Requa,24 
2010-11-22,2386,A,2.7,Eureka-I Street,24 
2010-11-22,3716,A,2.8,Eureka-Jacobs,24 
2010-11-22,2271,C,4.6,Ukiah-County Library,24 
2010-11-22,3765,A,12.5,Willits-125 E Commercial Street,24 
2010-11-22,3711,A,0.4,Trinity,24 
2010-11-22,3489,B,3.2,Salinas-High School,24 
2010-11-22,2628,B,3.2,Hollister-Fairview Road,24 
2010-11-22,2983,A,1.9,Pinnacles National Monument,24 
2010-11-22,3200,C,6.8,Santa Cruz AMS,24 
2010-11-22,3150,A,0.5,Lava Beds Natl Monument,24 
2010-11-22,2752,A,4.7,Yreka-Foothill Drive,24 
2010-11-22,2484,A,5.5,Azusa,24 
2010-11-22,2492,D,16.0,Burbank-W Palm Avenue,24 
2010-11-22,2492,A,13.1,Burbank-W Palm Avenue,24 
2010-11-22,3743,A,10.8,Compton-700 North Bullis Road,24 
2010-11-22,2849,A,7.5,Glendora-Laurel,24 
2010-11-22,2899,F,9.1,Los Angeles-North Main Street,24 
2010-11-22,2899,B,8.4,Los Angeles-North Main Street,24 
2010-11-22,2899,A,8.2,Los Angeles-North Main Street,24 
2010-11-22,2899,E,12.2,Los Angeles-North Main Street,24 
2010-11-22,2899,G,13.4,Los Angeles-North Main Street,24 
2010-11-22,2899,C,9.5,Los Angeles-North Main Street,24 
2010-11-22,2429,A,9.8,North Long Beach,24 
2010-11-22,2429,F,12.7,North Long Beach,24 
2010-11-22,3693,A,8.5,Pico Rivera-4144 San Gabriel,24 
2010-11-22,2420,C,19.7,Reseda,24 
2010-11-22,2420,A,13.9,Reseda,24 
2010-11-22,3502,A,10.0,Santa Clarita,24 
2010-11-22,3679,A,8.2,South Long Beach,24 
2010-11-22,3797,A,2.3,Wrightwood                              ,24 
2010-11-22,3674,A,6.9,Anaheim-Pampas Lane,24 
2010-11-22,3674,D,9.3,Anaheim-Pampas Lane,24 
2010-11-22,3674,C,7.7,Anaheim-Pampas Lane,24 
2010-11-22,3265,A,5.7,Mission Viejo-26081 Via Pera,24 
2010-11-22,3708,A,2.6,Agua Tibia,24 
2010-11-22,3168,A,10.3,Banning Airport,24 
2010-11-22,2943,A,4.6,Lake Elsinore-W Flint Street,24 
2010-11-22,3702,A,9.9,Mira Loma Van Buren,24 
2010-11-22,3702,C,14.2,Mira Loma Van Buren,24 
2010-11-22,2333,A,7.4,Riverside-Magnolia,24 
2010-11-22,2333,C,9.2,Riverside-Magnolia,24 
2010-11-22,2596,D,8.8,Riverside-Rubidoux,24 
2010-11-22,2596,Z,11.2,Riverside-Rubidoux,24 
2010-11-22,2596,C,10.4,Riverside-Rubidoux,24 
2010-11-22,2596,E,8.0,Riverside-Rubidoux,24 
2010-11-22,2596,A,8.2,Riverside-Rubidoux,24 
2010-11-22,3266,A,6.7,Big Bear City-501 W. Valley Blvd,24 
2010-11-22,2499,A,14.5,Crestline,24 
2010-11-22,2266,A,7.5,Fontana-Arrow Highway,24 
2010-11-22,3254,A,8.7,Ontario-1408 Francis Street,24 
2010-11-22,2221,A,5.7,San Bernardino-4th Street,24 
2010-11-22,3700,A,3.8,San Gorgonio Wilderness,24 
2010-11-22,2485,A,,Upland,7 
2010-11-22,3762,A,7.4,Arroyo Grande-2391 Willow Road,24 
2010-11-22,2965,E,6.0,Atascadero-Lewis Avenue,24 
2010-11-22,2979,A,4.2,Nipomo-Guadalupe Road,24 
2010-11-22,3688,A,3.4,San Luis Obispo-3220 South Higuera St,24 
2010-11-22,3153,A,4.8,Goleta-Fairview,24 
2010-11-22,2360,B,3.8,Lompoc-S H Street,24 
2010-11-22,3710,A,1.1,San Rafael Wilderness,24 
2010-11-22,3665,D,6.1,Santa Barbara-700 East Canon Perdido,24 
2010-11-22,3486,D,2.1,Santa Maria-906 S Broadway,24 
2010-11-22,2991,A,5.2,El Rio-Rio Mesa School #2,24 
2010-11-22,2991,C,5.4,El Rio-Rio Mesa School #2,24 
2010-11-22,3172,A,2.6,Ojai-Ojai Avenue,24 
2010-11-22,3505,A,7.0,Piru-3301 Pacific Avenue,24 
2010-11-22,3505,B,3.9,Piru-3301 Pacific Avenue,24 
2010-11-22,2880,B,7.5,Simi Valley-Cochran Street,24 
2010-11-22,2880,A,7.2,Simi Valley-Cochran Street,24 
2010-11-22,2880,C,4.8,Simi Valley-Cochran Street,24 
2010-11-22,2984,B,6.3,Thousand Oaks-Moorpark Road,24 
2010-11-22,2984,E,3.6,Thousand Oaks-Moorpark Road,24 
2010-11-22,2984,A,6.2,Thousand Oaks-Moorpark Road,24 
2010-11-22,2460,A,7.6,Alpine-Victoria Drive,24 
2010-11-22,3198,A,7.7,Camp Pendleton,24 
2010-11-22,2327,C,14.6,El Cajon-Redwood Avenue,24 
2010-11-22,2327,A,14.5,El Cajon-Redwood Avenue,24 
2010-11-22,2263,G,12.9,Escondido-E Valley Parkway,24 
2010-11-22,2263,H,9.5,Escondido-E Valley Parkway,24 
2010-11-22,2263,A,7.5,Escondido-E Valley Parkway,24 
2010-11-22,2263,B,10.0,Escondido-E Valley Parkway,24 
2010-11-22,3690,A,12.3,San Diego-1110 Beardsley Street,24 
2010-11-22,3690,B,13.9,San Diego-1110 Beardsley Street,24 
2010-11-22,3727,A,6.4,Berkeley-6th Street,24 
2010-11-22,3490,C,3.0,Livermore-793 Rincon Avenue,24 
2010-11-22,3490,A,4.3,Livermore-793 Rincon Avenue,24 
2010-11-22,3247,B,5.4,Oakland-9925 International Blvd,24 
2010-11-22,3742,B,4.5,Oakland-West,24 
2010-11-22,3742,A,4.8,Oakland-West,24 
2010-11-22,2831,A,3.6,Concord-2956-A Treat Blvd,24 
2010-11-22,2831,B,3.8,Concord-2956-A Treat Blvd,24 
2010-11-22,3506,A,5.6,Point Reyes,23 
2010-11-22,2986,A,3.0,Point Reyes National Seashore,24 
2010-11-22,2622,A,10.0,San Rafael,24 
2010-11-22,2655,A,5.7,Napa-Jefferson Avenue,24 
2010-11-22,2373,D,5.0,San Francisco-Arkansas Street,24 
2010-11-22,2125,D,3.4,Redwood City,24 
2010-11-22,2125,B,4.0,Redwood City,24 
2010-11-22,3770,A,1.0,Cupertino-22601 Voss Ave,23 
2010-11-22,2320,B,6.3,Gilroy-9th Street,24 
2010-11-22,3661,A,6.3,San Jose-Jackson Street,24 
2010-11-22,3661,B,6.1,San Jose-Jackson Street,24 
2010-11-22,3661,C,4.4,San Jose-Jackson Street,24 
2010-11-22,2410,C,3.3,Vallejo-304 Tuolumne Street,24 
2010-11-22,2410,A,3.5,Vallejo-304 Tuolumne Street,24 
2010-11-22,2105,B,6.0,Santa Rosa-5th Street,24 
2010-11-22,3026,D,14.3,Clovis-N Villa Avenue,24 
2010-11-22,3009,D,19.5,Fresno-1st Street,24 
2010-11-22,3009,B,14.8,Fresno-1st Street,24 
2010-11-22,3009,A,14.3,Fresno-1st Street,24 
2010-11-22,3009,L,14.7,Fresno-1st Street,24 
2010-11-22,3009,C,14.0,Fresno-1st Street,24 
2010-11-22,3485,A,9.1,Fresno-Hamilton and Winery,24 
2010-11-22,3768,A,11.7,Huron-16875 4th Street,24 
2010-11-22,3704,A,0.4,Kaiser,24 
2010-11-22,3759,A,,Tranquility-32650 West Adams Avenue,12 
2010-11-22,3146,F,12.4,Bakersfield-5558 California Avenue,24 
2010-11-22,3146,G,13.4,Bakersfield-5558 California Avenue,24 
2010-11-22,3146,E,11.3,Bakersfield-5558 California Avenue,24 
2010-11-22,3146,H,14.2,Bakersfield-5558 California Avenue,24 
2010-11-22,3146,A,12.0,Bakersfield-5558 California Avenue,24 
2010-11-22,3146,B,9.3,Bakersfield-5558 California Avenue,24 
2010-11-22,3769,A,3.5,Lebec-Beartrap Road,24 
2010-11-22,3724,A,1.3,Lebec-Frazier Park Road,24 
2010-11-22,3194,F,10.5,Corcoran-Patterson Avenue,24 
2010-11-22,3194,A,10.7,Corcoran-Patterson Avenue,24 
2010-11-22,3129,A,,Hanford-S Irwin Street,10 
2010-11-22,3771,A,,Madera-28261 Avenue 14,9 
2010-11-22,3253,A,9.0,Merced-2334 M Street,24 
2010-11-22,2094,F,4.8,Stockton-Hazelton Street,24 
2010-11-22,2094,G,9.0,Stockton-Hazelton Street,24 
2010-11-22,3696,A,3.7,Tracy-Airport,22 
2010-11-22,2833,D,8.0,Modesto-14th Street,24 
2010-11-22,2833,I,8.3,Modesto-14th Street,23 
2010-11-22,2996,A,8.8,Turlock-S Minaret Street,24 
2010-11-22,3763,A,8.6,Porterville-1839 Newcomb Street,24 
2010-11-22,3484,B,2.7,Sequoia and Kings Canyon Natl Park,24 
2010-11-22,3484,A,2.7,Sequoia and Kings Canyon Natl Park,24 
2010-11-22,2156,A,1.1,Sequoia Natl Park-Ash Mountain #2,24 
2010-11-22,2032,C,13.0,Visalia-N Church Street,24 
2010-11-22,2032,A,11.5,Visalia-N Church Street,24 
2010-11-22,2032,B,12.3,Visalia-N Church Street,24 
2010-11-22,5407,t,,Bombay Beach,17 
2010-11-22,3675,A,3.0,Brawley-220 Main Street,24 
2010-11-22,3135,A,9.4,Calexico-Ethel Street,24 
2010-11-22,3135,C,4.0,Calexico-Ethel Street,24 
2010-11-22,2551,A,3.7,El Centro-9th Street,24 
2010-11-22,5409,t,2.1,Naval Test Base,20 
2010-11-22,5410,t,2.5,Salton City,19 
2010-11-22,5408,t,2.4,Sonny Bono,22 
2010-11-22,2878,A,3.5,Indio-Jackson Street,24 
2010-11-22,2878,B,4.2,Indio-Jackson Street,24 
2010-11-22,2199,A,3.4,Palm Springs-Fire Station,24 
