,summary_date,site,CO,NO,NO2,O3,longitude,latitude,x,y
49,2002-04-26,2756,,0.002,0.004,0.037,-119.417221,34.386665,0.42938133548482943,0.274623186839902
50,2002-04-26,2772,,0.001,0.01,0.03,-119.016787,35.438035,0.4731038414037146,0.41661962129602126
51,2002-04-26,2804,,0.001,0.004,0.038,-121.64191,38.0063,0.18647244670371277,0.7634855892601501
52,2002-04-26,2831,0.296,0.002,0.007,0.042,-122.0262,37.936,0.14451266856407158,0.7539909780935146
53,2002-04-26,2833,0.165,0.002,0.01,0.03,-120.994212,37.642165,0.2571931638222629,0.7143060695281056
54,2002-04-26,2840,0.417,,,,-121.3817,38.6102,0.2148842031108921,0.8450474055265929
55,2002-04-26,2844,0.283,0.001,0.006,0.051,-119.87449,36.84157,0.3794531411780961,0.6061789254747303
56,2002-04-26,2849,,0.001,0.016,0.023,-117.85038,34.14437,0.6004612510176051,0.24189919235028823
57,2002-04-26,2880,0.248,0.002,0.006,0.034,-118.683685,34.276316,0.5094745146397337,0.259719618594852
58,2002-04-26,2898,0.504,0.013,0.023,0.012,-117.75138,34.06698,0.6112708428254184,0.2314470165581701
59,2002-04-26,2899,0.348,0.007,0.01,0.03,-118.22676,34.06653,0.559365148344631,0.2313862402420251
60,2002-04-26,2923,0.077,0.001,0.012,0.033,-117.02471,34.89405,0.690614338572722,0.3431498338780694
61,2002-04-26,2933,0.83,0.014,0.017,0.024,-116.937931,32.552217,0.700089546325147,0.02686542773020738
62,2002-04-26,2937,0.143,0.001,0.005,0.034,-117.9256,33.67458,0.5922481449995878,0.1784500688798251
63,2002-04-26,2941,,0.0005,0.005,0.038,-118.776005,35.208153,0.49939429730945983,0.3855721077226445
64,2002-04-26,2943,0.026,0.001,0.005,0.038,-117.33104,33.67653,0.6571668410122449,0.17871343291645306
65,2002-04-26,2948,0.43,0.001,0.007,0.034,-119.970609,38.944979,0.36895811941067097,0.8902621485103045
66,2002-04-26,2954,,0.004,0.007,0.034,-120.19666,34.52745,0.3442761089283699,0.293637394992032
67,2002-04-26,2956,0.243,0.001,0.008,0.036,-121.26498,38.74643,0.2276286026645084,0.8634464223008558
68,2002-04-26,2957,,0.0005,0.002,0.041,-119.79152,34.5417,0.3885124526154104,0.29556197833661985
69,2002-04-26,2958,0.348,0.001,0.009,0.033,-121.61884,39.13868,0.18899140915831905,0.9164231112071528
70,2002-04-26,2964,0.491,0.006,0.012,0.026,-117.1539,32.7092,0.6765083672025072,0.04806731314659319
71,2002-04-26,2965,0.152,0.002,0.006,0.04,-120.668056,35.491667,0.2928054186269992,0.42386307771264975
72,2002-04-26,2968,0.165,,,0.032,-120.378551,37.98178,0.3244158315191286,0.7601739553226549
73,2002-04-26,2977,,0.0005,0.006,0.035,-121.42083,38.30256,0.21061168465190505,0.8034980146403393
74,2002-04-26,2981,,0.002,0.009,,-119.27264,35.50349,0.44516781622387397,0.42545987412549646
75,2002-04-26,2984,,0.001,0.006,0.034,-118.870509,34.210169,0.4890756138326352,0.2507859052969939
76,2002-04-26,2991,0.213,0.003,0.007,0.028,-119.143182,34.25239,0.4593030499234275,0.25648820939466793
77,2002-04-26,2992,,0.0005,0.001,0.045,-120.428716,34.725342,0.3189384257308568,0.3203643877799086
78,2002-04-26,2993,0.217,,,0.031,-120.764426,38.342606,0.28228299072276875,0.8089065665433137
79,2002-04-26,2996,0.3,0.001,0.01,0.037,-120.83592,37.48822,0.2744767184327907,0.6935144917749384
80,2002-04-26,3003,,0.0005,0.0005,0.028,-119.457914,34.403052,0.4249381565006337,0.27683639015693856
81,2002-04-26,3009,0.209,0.002,0.011,0.029,-119.773056,36.781944,0.39052849608146595,0.5981259285270527
82,2002-04-26,3010,0.22,,0.006,0.029,-123.20298,39.14566,0.016022653941875194,0.9173658193998
83,2002-04-26,3011,0.258,0.003,0.013,0.035,-121.49311,38.56844,0.20271959075424187,0.8394073633883475
84,2002-04-26,3017,0.209,,,0.03,-120.821916,38.725282,0.27600578432851375,0.8605902055590071
