summary_date,site,co_davg,name,obs_count,units 
2000-11-08,2915,0.350,Mammoth Lakes-Gateway HC,24,Parts Per Million ( ppm ) 
2000-11-08,2948,0.148,South Lake Tahoe-Sandy Way,23,Parts Per Million ( ppm ) 
2000-11-08,2993,0.213,Jackson-Clinton Road,23,Parts Per Million ( ppm ) 
2000-11-08,3144,0.296,San Andreas-Gold Strike Road,23,Parts Per Million ( ppm ) 
2000-11-08,3487,0.511,Echo Summit,18,Parts Per Million ( ppm ) 
2000-11-08,3017,0.204,Placerville-Gold Nugget Way,23,Parts Per Million ( ppm ) 
2000-11-08,2968,0.430,Sonora-Barretta Street,23,Parts Per Million ( ppm ) 
2000-11-08,3007,0.648,Lancaster-W Pondera Street,23,Parts Per Million ( ppm ) 
2000-11-08,2923,0.218,Barstow,22,Parts Per Million ( ppm ) 
2000-11-08,3500,0.550,Victorville-14306 Park Avenue,22,Parts Per Million ( ppm ) 
2000-11-08,3202,1.409,Mexicali-CBTIS,23,Parts Per Million ( ppm ) 
2000-11-08,3203,2.704,Mexicali-Cobach,23,Parts Per Million ( ppm ) 
2000-11-08,3185,1.518,Mexicali-ITM,22,Parts Per Million ( ppm ) 
2000-11-08,3201,1.670,Mexicali-UABC,23,Parts Per Million ( ppm ) 
2000-11-08,3183,0.309,Rosarito,23,Parts Per Million ( ppm ) 
2000-11-08,3138,0.970,Tijuana-ITT,23,Parts Per Million ( ppm ) 
2000-11-08,3141,2.158,Tijuana-La Mesa,24,Parts Per Million ( ppm ) 
2000-11-08,3178,0.922,Tijuana-Las Playas,23,Parts Per Million ( ppm ) 
2000-11-08,3010,0.423,Ukiah-E Gobbi Street,23,Parts Per Million ( ppm ) 
2000-11-08,3116,0.723,Willits-899 S Main Street,22,Parts Per Million ( ppm ) 
2000-11-08,3489,0.421,Salinas-High School,24,Parts Per Million ( ppm ) 
2000-11-08,2329,0.329,Davenport,21,Parts Per Million ( ppm ) 
2000-11-08,3481,0.050,Incline Village-846 Tahoe Blvd,24,Parts Per Million ( ppm ) 
2000-11-08,3483,0.700,Stateline-Harveys Hotel,24,Parts Per Million ( ppm ) 
2000-11-08,2484,0.722,Azusa,23,Parts Per Million ( ppm ) 
2000-11-08,2492,1.739,Burbank-W Palm Avenue,23,Parts Per Million ( ppm ) 
2000-11-08,2045,1.952,Hawthorne,23,Parts Per Million ( ppm ) 
2000-11-08,2899,1.374,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2000-11-08,2583,2.400,Lynwood,23,Parts Per Million ( ppm ) 
2000-11-08,2429,1.817,North Long Beach,23,Parts Per Million ( ppm ) 
2000-11-08,2160,1.061,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2000-11-08,2166,1.326,Pico Rivera,23,Parts Per Million ( ppm ) 
2000-11-08,2898,1.252,Pomona,23,Parts Per Million ( ppm ) 
2000-11-08,2420,1.774,Reseda,23,Parts Per Million ( ppm ) 
2000-11-08,2855,0.670,Santa Clarita-County Fire Station,23,Parts Per Million ( ppm ) 
2000-11-08,2494,0.826,West Los Angeles-VA Hospital,23,Parts Per Million ( ppm ) 
