summary_date,site,no2_davg,name,obs_count,units 
2003-11-01,2948,0.013,South Lake Tahoe-Sandy Way,23,Parts Per Million ( ppm ) 
2003-11-01,3487,0.003,Echo Summit,23,Parts Per Million ( ppm ) 
2003-11-01,3121,0.010,Mojave-923 Poole Street,23,Parts Per Million ( ppm ) 
2003-11-01,3658,0.009,Lancaster-43301 Division Street,22,Parts Per Million ( ppm ) 
2003-11-01,2923,0.017,Barstow,23,Parts Per Million ( ppm ) 
2003-11-01,3215,0.003,Trona-Athol and Telegraph,23,Parts Per Million ( ppm ) 
2003-11-01,3500,0.012,Victorville-14306 Park Avenue,22,Parts Per Million ( ppm ) 
2003-11-01,3203,0.015,Mexicali-Cobach,23,Parts Per Million ( ppm ) 
2003-11-01,3183,0.013,Rosarito,23,Parts Per Million ( ppm ) 
2003-11-01,3138,0.025,Tijuana-ITT,23,Parts Per Million ( ppm ) 
2003-11-01,3141,0.025,Tijuana-La Mesa,23,Parts Per Million ( ppm ) 
2003-11-01,3178,0.013,Tijuana-Las Playas,23,Parts Per Million ( ppm ) 
2003-11-01,3010,0.012,Ukiah-E Gobbi Street,19,Parts Per Million ( ppm ) 
2003-11-01,3116,0.009,Willits-899 S Main Street,20,Parts Per Million ( ppm ) 
2003-11-01,3489,0.013,Salinas-High School,23,Parts Per Million ( ppm ) 
2003-11-01,2329,0.004,Davenport,22,Parts Per Million ( ppm ) 
2003-11-01,2484,0.012,Azusa,23,Parts Per Million ( ppm ) 
2003-11-01,2492,0.021,Burbank-W Palm Avenue,23,Parts Per Million ( ppm ) 
2003-11-01,2849,0.014,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2003-11-01,2045,0.022,Hawthorne,23,Parts Per Million ( ppm ) 
2003-11-01,2899,0.021,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2003-11-01,2583,0.020,Lynwood,23,Parts Per Million ( ppm ) 
2003-11-01,2429,0.029,North Long Beach,23,Parts Per Million ( ppm ) 
2003-11-01,2160,0.016,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2003-11-01,2166,0.024,Pico Rivera,23,Parts Per Million ( ppm ) 
