summary_date,site,no2_davg,name,obs_count,units 
2013-07-08,3658,0.008,Lancaster-43301 Division Street,22,Parts Per Million ( ppm ) 
2013-07-08,2923,0.013,Barstow,22,Parts Per Million ( ppm ) 
2013-07-08,3215,0.002,Trona-Athol and Telegraph,22,Parts Per Million ( ppm ) 
2013-07-08,3500,0.015,Victorville-14306 Park Avenue,22,Parts Per Million ( ppm ) 
2013-07-08,3779,0.000,Eureka-Humboldt Hill                    ,24,Parts Per Million ( ppm ) 
2013-07-08,3716,0.001,Eureka-Jacobs,21,Parts Per Million ( ppm ) 
2013-07-08,3489,0.001,Salinas-High School,24,Parts Per Million ( ppm ) 
2013-07-08,2484,0.025,Azusa,22,Parts Per Million ( ppm ) 
2013-07-08,2492,0.020,Burbank-W Palm Avenue,24,Parts Per Million ( ppm ) 
2013-07-08,3743,0.010,Compton-700 North Bullis Road,22,Parts Per Million ( ppm ) 
2013-07-08,2849,0.018,Glendora-Laurel,22,Parts Per Million ( ppm ) 
2013-07-08,3774,0.017,Long Beach-2425 Webster Street          ,22,Parts Per Million ( ppm ) 
2013-07-08,2899,0.023,Los Angeles-North Main Street,22,Parts Per Million ( ppm ) 
2013-07-08,3683,0.004,Los Angeles-Westchester Parkway,22,Parts Per Million ( ppm ) 
2013-07-08,2429,0.013,North Long Beach,22,Parts Per Million ( ppm ) 
2013-07-08,2160,0.019,Pasadena-S Wilson Avenue,22,Parts Per Million ( ppm ) 
2013-07-08,3693,0.019,Pico Rivera-4144 San Gabriel,22,Parts Per Million ( ppm ) 
2013-07-08,2898,0.027,Pomona,22,Parts Per Million ( ppm ) 
2013-07-08,2420,0.014,Reseda,22,Parts Per Million ( ppm ) 
2013-07-08,3502,0.015,Santa Clarita,20,Parts Per Million ( ppm ) 
2013-07-08,2494,0.008,West Los Angeles-VA Hospital,22,Parts Per Million ( ppm ) 
2013-07-08,3674,0.012,Anaheim-Pampas Lane,22,Parts Per Million ( ppm ) 
2013-07-08,2937,0.006,Costa Mesa-Mesa Verde Drive,22,Parts Per Million ( ppm ) 
2013-07-08,2249,0.013,La Habra,22,Parts Per Million ( ppm ) 
2013-07-08,3168,0.006,Banning Airport,22,Parts Per Million ( ppm ) 
