summary_date,site,monitor,pm25_davg,name,obs_count 
2016-08-15,2116,B,10.6,Bishop-White Mountain Research Center,24 
2016-08-15,3154,G,3.0,Keeler-Cerro Gordo Road,22 
2016-08-15,3802,A,16.7,Tahoe City-221 Fairway Drive,23 
2016-08-15,3144,B,8.5,San Andreas-Gold Strike Road,24 
2016-08-15,2353,A,12.3,Yosemite Village-Visitor Center,23 
2016-08-15,3126,C,7.4,Grass Valley-Litton Building,24 
2016-08-15,3002,A,10.4,Colfax-City Hall,24 
2016-08-15,3128,C,9.9,Chester-222 1st Avenue,24 
2016-08-15,3801,C,11.1,Portola-Gulling Street                  ,24 
2016-08-15,3020,C,10.8,Quincy-N Church Street,24 
2016-08-15,3020,A,11.4,Quincy-N Church Street,24 
2016-08-15,3121,B,11.5,Mojave-923 Poole Street,24 
2016-08-15,3658,B,3.4,Lancaster-43301 Division Street,24 
2016-08-15,3500,A,7.2,Victorville-14306 Park Avenue,24 
2016-08-15,3500,B,5.1,Victorville-14306 Park Avenue,24 
2016-08-15,3203,B,,Mexicali-Cobach,4 
2016-08-15,3201,B,8.8,Mexicali-UABC,24 
2016-08-15,3201,A,8.2,Mexicali-UABC,24 
2016-08-15,3779,C,11.6,Eureka-Humboldt Hill                    ,24 
2016-08-15,2271,C,6.7,Ukiah-County Library,24 
2016-08-15,3765,A,8.4,Willits-125 E Commercial Street,22 
2016-08-15,3132,B,12.3,Weaverville-Courthouse,24 
2016-08-15,2016,A,3.4,Carmel Valley-Ford Road,24 
2016-08-15,3726,A,4.4,King City-415 Pearl Street,24 
2016-08-15,3489,C,0.7,Salinas-High School,24 
2016-08-15,2628,B,3.7,Hollister-Fairview Road,24 
2016-08-15,3811,A,2.9,San Lorenzo Valley Middle School AMS,23 
2016-08-15,3200,C,2.4,Santa Cruz AMS,23 
2016-08-15,2849,A,8.8,Glendora-Laurel,24 
2016-08-15,3818,A,13.8,Long Beach-Route 710 Near Road          ,24 
2016-08-15,3818,C,19.0,Long Beach-Route 710 Near Road          ,21 
2016-08-15,2899,A,14.3,Los Angeles-North Main Street,24 
2016-08-15,2899,I,16.8,Los Angeles-North Main Street,24 
2016-08-15,2429,A,12.4,North Long Beach,24 
2016-08-15,2420,C,16.7,Reseda,24 
2016-08-15,3502,A,6.8,Santa Clarita,24 
2016-08-15,3679,A,11.3,South Long Beach,24 
2016-08-15,3679,B,13.5,South Long Beach,24 
2016-08-15,3674,B,15.4,Anaheim-Pampas Lane,24 
2016-08-15,3674,A,11.3,Anaheim-Pampas Lane,24 
2016-08-15,3168,A,6.8,Banning Airport,24 
2016-08-15,2943,A,9.1,Lake Elsinore-W Flint Street,24 
2016-08-15,3702,A,13.0,Mira Loma Van Buren,24 
2016-08-15,3702,C,14.8,Mira Loma Van Buren,24 
2016-08-15,2596,J,11.0,Riverside-Rubidoux,24 
2016-08-15,2596,A,11.3,Riverside-Rubidoux,24 
2016-08-15,2596,Z,12.9,Riverside-Rubidoux,24 
2016-08-15,3777,A,9.9,Winchester-33700 Borel Road             ,24 
2016-08-15,2499,A,6.5,Crestline,24 
2016-08-15,3819,C,22.7,Ontario-Route 60 Near Road              ,23 
2016-08-15,3819,A,17.6,Ontario-Route 60 Near Road              ,24 
2016-08-15,2485,A,18.7,Upland,24 
2016-08-15,3762,A,7.4,Arroyo Grande-2391 Willow Road,24 
2016-08-15,3812,A,15.2,Atascadero-Lift Station #5              ,24 
2016-08-15,2979,A,4.6,Nipomo-Guadalupe Road,24 
2016-08-15,3688,B,11.4,San Luis Obispo-3220 South Higuera St,24 
2016-08-15,3153,A,,Goleta-Fairview,10 
2016-08-15,2360,A,8.1,Lompoc-S H Street,23 
2016-08-15,3486,D,9.2,Santa Maria-906 S Broadway,24 
2016-08-15,2991,D,6.8,El Rio-Rio Mesa School #2,24 
2016-08-15,3172,B,7.0,Ojai-Ojai Avenue,24 
2016-08-15,3505,C,10.2,Piru-3301 Pacific Avenue,24 
2016-08-15,2880,D,7.1,Simi Valley-Cochran Street,24 
2016-08-15,2880,E,5.5,Simi Valley-Cochran Street,24 
2016-08-15,2984,F,10.8,Thousand Oaks-Moorpark Road,24 
2016-08-15,2460,B,7.1,Alpine-Victoria Drive,23 
2016-08-15,3198,C,18.1,Camp Pendleton,24 
2016-08-15,3829,A,9.4,El Cajon-Lexington Elementary School    ,24 
2016-08-15,3829,B,14.4,El Cajon-Lexington Elementary School    ,24 
2016-08-15,3739,A,15.2,Otay Mesa-Donovan,24 
2016-08-15,3690,D,12.3,San Diego-1110 Beardsley Street,24 
2016-08-15,3831,A,14.7,San Ysidro-795 East San Ysidro Blvd,24 
2016-08-15,3828,A,3.8,Berkeley-Aquatic Park                   ,24 
2016-08-15,3490,D,6.6,Livermore-793 Rincon Avenue,24 
2016-08-15,3247,B,3.3,Oakland-9925 International Blvd,23 
2016-08-15,3803,A,5.4,Oakland-Laney College                   ,24 
2016-08-15,3742,C,3.4,Oakland-West,24 
2016-08-15,2831,C,1.0,Concord-2956-A Treat Blvd,24 
2016-08-15,3668,A,3.9,San Pablo-Rumrill Blvd,23 
2016-08-15,2622,A,2.5,San Rafael,24 
2016-08-15,2655,B,7.0,Napa-Jefferson Avenue,24 
2016-08-15,2373,D,2.3,San Francisco-Arkansas Street,23 
2016-08-15,2125,D,7.7,Redwood City,24 
2016-08-15,2320,B,2.7,Gilroy-9th Street,24 
2016-08-15,3661,D,8.0,San Jose-Jackson Street,23 
2016-08-15,3810,A,9.2,San Jose-Knox Avenue                    ,24 
2016-08-15,2410,D,2.8,Vallejo-304 Tuolumne Street,23 
2016-08-15,2410,E,6.0,Vallejo-304 Tuolumne Street,23 
2016-08-15,3804,A,-1.4,Sebastopol-103 Morris Street            ,24 
2016-08-15,3026,D,12.0,Clovis-N Villa Avenue,24 
2016-08-15,3781,A,9.0,Fresno-Garland                          ,24 
2016-08-15,3781,E,7.9,Fresno-Garland                          ,24 
2016-08-15,3781,C,8.1,Fresno-Garland                          ,24 
2016-08-15,3768,A,11.4,Huron-16875 4th Street,24 
2016-08-15,3759,A,9.5,Tranquility-32650 West Adams Avenue,24 
2016-08-15,3146,A,8.4,Bakersfield-5558 California Avenue,24 
2016-08-15,3146,G,9.1,Bakersfield-5558 California Avenue,24 
2016-08-15,3769,A,5.4,Lebec-Beartrap Road,24 
2016-08-15,3129,A,12.8,Hanford-S Irwin Street,24 
2016-08-15,3771,A,7.2,Madera-28261 Avenue 14,24 
2016-08-15,3022,A,10.8,Merced-S Coffee Avenue,23 
2016-08-15,3772,A,8.0,Manteca-530 Fishback Rd,24 
2016-08-15,2094,F,8.4,Stockton-Hazelton Street,24 
2016-08-15,2094,G,11.8,Stockton-Hazelton Street,24 
2016-08-15,3696,A,6.1,Tracy-Airport,24 
