summary_date,site,co_davg,name,obs_count,units 
2018-01-22,2116,0.122,Bishop-White Mountain Research Center,22,Parts Per Million ( ppm ) 
2018-01-22,3658,0.224,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ) 
2018-01-22,2923,0.290,Barstow,21,Parts Per Million ( ppm ) 
2018-01-22,3500,0.613,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2018-01-22,3779,0.210,Eureka-Humboldt Hill                    ,21,Parts Per Million ( ppm ) 
2018-01-22,3489,0.254,Salinas-High School,24,Parts Per Million ( ppm ) 
2018-01-22,2484,0.333,Azusa,24,Parts Per Million ( ppm ) 
2018-01-22,3743,0.895,Compton-700 North Bullis Road,24,Parts Per Million ( ppm ) 
2018-01-22,2849,0.174,Glendora-Laurel,24,Parts Per Million ( ppm ) 
2018-01-22,3774,0.801,Long Beach-2425 Webster Street          ,24,Parts Per Million ( ppm ) 
2018-01-22,2899,0.668,Los Angeles-North Main Street,24,Parts Per Million ( ppm ) 
2018-01-22,2160,0.595,Pasadena-S Wilson Avenue,24,Parts Per Million ( ppm ) 
2018-01-22,3693,0.591,Pico Rivera-4144 San Gabriel,24,Parts Per Million ( ppm ) 
2018-01-22,2898,0.670,Pomona,24,Parts Per Million ( ppm ) 
2018-01-22,2420,0.019,Reseda,24,Parts Per Million ( ppm ) 
2018-01-22,3502,0.337,Santa Clarita,24,Parts Per Million ( ppm ) 
2018-01-22,2494,0.370,West Los Angeles-VA Hospital,24,Parts Per Million ( ppm ) 
2018-01-22,3809,0.956,Anaheim-812 W Vermont Street            ,24,Parts Per Million ( ppm ) 
2018-01-22,3674,0.515,Anaheim-Pampas Lane,24,Parts Per Million ( ppm ) 
2018-01-22,2249,0.638,La Habra,24,Parts Per Million ( ppm ) 
2018-01-22,2943,0.269,Lake Elsinore-W Flint Street,24,Parts Per Million ( ppm ) 
2018-01-22,3702,0.549,Mira Loma Van Buren,24,Parts Per Million ( ppm ) 
2018-01-22,2596,0.427,Riverside-Rubidoux,24,Parts Per Million ( ppm ) 
2018-01-22,2266,0.554,Fontana-Arrow Highway,24,Parts Per Million ( ppm ) 
2018-01-22,3820,0.523,Ontario-NW Corner I-10 and Etiwanda Ave ,24,Parts Per Million ( ppm ) 
2018-01-22,2221,0.475,San Bernardino-4th Street,24,Parts Per Million ( ppm ) 
2018-01-22,2485,0.849,Upland,24,Parts Per Million ( ppm ) 
2018-01-22,3153,0.187,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2018-01-22,3101,0.238,Las Flores Canyon #1,21,Parts Per Million ( ppm ) 
2018-01-22,2360,0.614,Lompoc-S H Street,21,Parts Per Million ( ppm ) 
2018-01-22,3486,0.297,Santa Maria-906 S Broadway,20,Parts Per Million ( ppm ) 
2018-01-22,3023,0.295,Vandenberg Air Force Base-STS Power,21,Parts Per Million ( ppm ) 
2018-01-22,3829,0.508,El Cajon-Lexington Elementary School    ,21,Parts Per Million ( ppm ) 
2018-01-22,3821,0.815,San Diego-11403 Rancho Carmel Dr        ,20,Parts Per Million ( ppm ) 
2018-01-22,3828,0.395,Berkeley-Aquatic Park                   ,23,Parts Per Million ( ppm ) 
2018-01-22,3247,0.389,Oakland-9925 International Blvd,23,Parts Per Million ( ppm ) 
2018-01-22,3803,0.394,Oakland-Laney College                   ,23,Parts Per Million ( ppm ) 
2018-01-22,3742,0.394,Oakland-West,23,Parts Per Million ( ppm ) 
2018-01-22,2804,0.329,Bethel Island Road,23,Parts Per Million ( ppm ) 
2018-01-22,2831,0.102,Concord-2956-A Treat Blvd,23,Parts Per Million ( ppm ) 
2018-01-22,3668,0.538,San Pablo-Rumrill Blvd,21,Parts Per Million ( ppm ) 
2018-01-22,2622,0.378,San Rafael,23,Parts Per Million ( ppm ) 
2018-01-22,2655,0.452,Napa-Jefferson Avenue,23,Parts Per Million ( ppm ) 
2018-01-22,2373,0.345,San Francisco-Arkansas Street,23,Parts Per Million ( ppm ) 
2018-01-22,2125,0.394,Redwood City,23,Parts Per Million ( ppm ) 
2018-01-22,3661,0.278,San Jose-Jackson Street,20,Parts Per Million ( ppm ) 
2018-01-22,3810,0.445,San Jose-Knox Avenue                    ,23,Parts Per Million ( ppm ) 
2018-01-22,2410,0.310,Vallejo-304 Tuolumne Street,21,Parts Per Million ( ppm ) 
2018-01-22,3804,0.468,Sebastopol-103 Morris Street            ,23,Parts Per Million ( ppm ) 
2018-01-22,3026,0.430,Clovis-N Villa Avenue,23,Parts Per Million ( ppm ) 
2018-01-22,3781,0.543,Fresno-Garland                          ,23,Parts Per Million ( ppm ) 
2018-01-22,3787,0.411,Bakersfield-Municipal Airport,18,Parts Per Million ( ppm ) 
2018-01-22,2094,0.225,Stockton-Hazelton Street,23,Parts Per Million ( ppm ) 
2018-01-22,2833,0.286,Modesto-14th Street,23,Parts Per Million ( ppm ) 
2018-01-22,3135,0.575,Calexico-Ethel Street,23,Parts Per Million ( ppm ) 
2018-01-22,2199,0.290,Palm Springs-Fire Station,24,Parts Per Million ( ppm ) 
2018-01-22,3783,0.271,Chico-East Avenue                       ,23,Parts Per Million ( ppm ) 
2018-01-22,2123,0.254,North Highlands-Blackfoot Way,23,Parts Per Million ( ppm ) 
2018-01-22,3823,0.275,Sacramento-Bercut Drive,24,Parts Per Million ( ppm ) 
2018-01-23,2116,0.125,Bishop-White Mountain Research Center,23,Parts Per Million ( ppm ) 
2018-01-23,3658,0.255,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ) 
2018-01-23,2923,0.225,Barstow,21,Parts Per Million ( ppm ) 
2018-01-23,3500,0.589,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2018-01-23,3779,0.200,Eureka-Humboldt Hill                    ,24,Parts Per Million ( ppm ) 
2018-01-23,3489,0.254,Salinas-High School,24,Parts Per Million ( ppm ) 
2018-01-23,2484,0.333,Azusa,18,Parts Per Million ( ppm ) 
2018-01-23,3743,1.007,Compton-700 North Bullis Road,24,Parts Per Million ( ppm ) 
2018-01-23,2849,0.167,Glendora-Laurel,24,Parts Per Million ( ppm ) 
2018-01-23,3774,0.760,Long Beach-2425 Webster Street          ,24,Parts Per Million ( ppm ) 
2018-01-23,2899,0.730,Los Angeles-North Main Street,24,Parts Per Million ( ppm ) 
2018-01-23,2160,0.623,Pasadena-S Wilson Avenue,24,Parts Per Million ( ppm ) 
2018-01-23,3693,0.604,Pico Rivera-4144 San Gabriel,24,Parts Per Million ( ppm ) 
2018-01-23,2898,0.680,Pomona,24,Parts Per Million ( ppm ) 
2018-01-23,2420,0.178,Reseda,21,Parts Per Million ( ppm ) 
2018-01-23,3502,0.278,Santa Clarita,24,Parts Per Million ( ppm ) 
2018-01-23,2494,0.368,West Los Angeles-VA Hospital,24,Parts Per Million ( ppm ) 
2018-01-23,3809,0.938,Anaheim-812 W Vermont Street            ,24,Parts Per Million ( ppm ) 
2018-01-23,3674,0.571,Anaheim-Pampas Lane,24,Parts Per Million ( ppm ) 
2018-01-23,2249,0.726,La Habra,24,Parts Per Million ( ppm ) 
2018-01-23,3702,0.250,Mira Loma Van Buren,24,Parts Per Million ( ppm ) 
2018-01-23,2596,0.351,Riverside-Rubidoux,24,Parts Per Million ( ppm ) 
2018-01-23,2266,0.400,Fontana-Arrow Highway,19,Parts Per Million ( ppm ) 
2018-01-23,3820,0.512,Ontario-NW Corner I-10 and Etiwanda Ave ,24,Parts Per Million ( ppm ) 
2018-01-23,2221,0.446,San Bernardino-4th Street,24,Parts Per Million ( ppm ) 
