summary_date,site,ozone_davg,name,obs_count,units 
2011-06-15,2955,0.035,Paso Robles-Santa Fe Avenue,23,Parts Per Million ( ppm ) 
2011-06-15,3495,0.059,Red Hills,23,Parts Per Million ( ppm ) 
2011-06-15,3688,0.029,San Luis Obispo-3220 South Higuera St,23,Parts Per Million ( ppm ) 
2011-06-15,3003,0.037,Carpinteria-Gobernador Road,23,Parts Per Million ( ppm ) 
2011-06-15,2008,0.036,El Capitan Beach,23,Parts Per Million ( ppm ) 
2011-06-15,2954,0.026,Gaviota-GTC Site B,23,Parts Per Million ( ppm ) 
2011-06-15,3153,0.035,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2011-06-15,3101,0.031,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2011-06-15,2992,0.035,Lompoc-HSandP,23,Parts Per Million ( ppm ) 
2011-06-15,2360,0.028,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2011-06-15,2957,0.031,Paradise Road-Los Padres National Forest,23,Parts Per Million ( ppm ) 
2011-06-15,3665,0.039,Santa Barbara-700 East Canon Perdido,23,Parts Per Million ( ppm ) 
2011-06-15,3486,0.029,Santa Maria-906 S Broadway,23,Parts Per Million ( ppm ) 
2011-06-15,2593,0.028,Santa Ynez-Airport Road,23,Parts Per Million ( ppm ) 
2011-06-15,3023,0.036,Vandenberg Air Force Base-STS Power,23,Parts Per Million ( ppm ) 
2011-06-15,2991,0.038,El Rio-Rio Mesa School #2,20,Parts Per Million ( ppm ) 
2011-06-15,3172,0.037,Ojai-Ojai Avenue,24,Parts Per Million ( ppm ) 
2011-06-15,3505,0.032,Piru-3301 Pacific Avenue,23,Parts Per Million ( ppm ) 
2011-06-15,2880,0.036,Simi Valley-Cochran Street,23,Parts Per Million ( ppm ) 
2011-06-15,2984,0.036,Thousand Oaks-Moorpark Road,24,Parts Per Million ( ppm ) 
2011-06-15,2460,0.033,Alpine-Victoria Drive,23,Parts Per Million ( ppm ) 
2011-06-15,3198,0.037,Camp Pendleton,23,Parts Per Million ( ppm ) 
2011-06-15,2589,0.029,Chula Vista,23,Parts Per Million ( ppm ) 
2011-06-15,2368,0.033,Del Mar-Mira Costa College,23,Parts Per Million ( ppm ) 
2011-06-15,2327,0.031,El Cajon-Redwood Avenue,24,Parts Per Million ( ppm ) 
2011-06-15,2263,0.032,Escondido-E Valley Parkway,23,Parts Per Million ( ppm ) 
2011-06-15,2933,0.028,Otay Mesa-Paseo International,23,Parts Per Million ( ppm ) 
2011-06-15,3690,0.030,San Diego-1110 Beardsley Street,23,Parts Per Million ( ppm ) 
2011-06-15,3766,0.032,San Diego-Kearny Villa Road,24,Parts Per Million ( ppm ) 
2011-06-15,2806,0.026,Hayward-La Mesa,23,Parts Per Million ( ppm ) 
2011-06-15,3490,0.035,Livermore-793 Rincon Avenue,23,Parts Per Million ( ppm ) 
2011-06-15,3247,0.018,Oakland-9925 International Blvd,23,Parts Per Million ( ppm ) 
2011-06-15,3742,0.014,Oakland-West,23,Parts Per Million ( ppm ) 
2011-06-15,2804,0.039,Bethel Island Road,23,Parts Per Million ( ppm ) 
2011-06-15,2831,0.033,Concord-2956-A Treat Blvd,23,Parts Per Million ( ppm ) 
2011-06-15,3668,0.024,San Pablo-Rumrill Blvd,23,Parts Per Million ( ppm ) 
2011-06-15,2622,0.025,San Rafael,23,Parts Per Million ( ppm ) 
2011-06-15,2655,0.029,Napa-Jefferson Avenue,23,Parts Per Million ( ppm ) 
2011-06-15,2373,0.023,San Francisco-Arkansas Street,23,Parts Per Million ( ppm ) 
2011-06-15,2125,0.017,Redwood City,23,Parts Per Million ( ppm ) 
2011-06-15,3770,0.025,Cupertino-22601 Voss Ave,23,Parts Per Million ( ppm ) 
2011-06-15,2320,0.030,Gilroy-9th Street,23,Parts Per Million ( ppm ) 
2011-06-15,2613,0.027,Los Gatos,23,Parts Per Million ( ppm ) 
2011-06-15,3661,0.027,San Jose-Jackson Street,23,Parts Per Million ( ppm ) 
2011-06-15,3140,0.033,San Martin-Murphy Avenue,23,Parts Per Million ( ppm ) 
2011-06-15,3415,0.034,Fairfield-Chadbourne Road,23,Parts Per Million ( ppm ) 
2011-06-15,2410,0.029,Vallejo-304 Tuolumne Street,23,Parts Per Million ( ppm ) 
2011-06-15,2105,0.023,Santa Rosa-5th Street,23,Parts Per Million ( ppm ) 
2011-06-15,3009,0.044,Fresno-1st Street,18,Parts Per Million ( ppm ) 
2011-06-15,2013,0.055,Fresno-Drummond Street,22,Parts Per Million ( ppm ) 
2011-06-15,2844,0.052,Fresno-Sierra Skypark #2,22,Parts Per Million ( ppm ) 
2011-06-15,2114,0.050,Parlier,22,Parts Per Million ( ppm ) 
2011-06-15,3759,0.054,Tranquility-32650 West Adams Avenue,22,Parts Per Million ( ppm ) 
