summary_date,site,ozone_davg,name,obs_count,units 
2001-08-15,3151,0.064,Death Valley Natl Monument,23,Parts Per Million ( ppm ) 
2001-08-15,2914,0.044,Lakeport-Lakeport Blvd,23,Parts Per Million ( ppm ) 
2001-08-15,2948,0.057,South Lake Tahoe-Sandy Way,23,Parts Per Million ( ppm ) 
2001-08-15,2993,0.049,Jackson-Clinton Road,23,Parts Per Million ( ppm ) 
2001-08-15,3144,0.058,San Andreas-Gold Strike Road,23,Parts Per Million ( ppm ) 
2001-08-15,3196,0.074,Cool-Highway 193,23,Parts Per Million ( ppm ) 
2001-08-15,3487,0.070,Echo Summit,23,Parts Per Million ( ppm ) 
2001-08-15,3017,0.069,Placerville-Gold Nugget Way,23,Parts Per Million ( ppm ) 
2001-08-15,3161,0.072,Jerseydale - 6440 Jerseydale,23,Parts Per Million ( ppm ) 
2001-08-15,3018,0.070,Yosemite Natl Park-Turtleback Dome,23,Parts Per Million ( ppm ) 
2001-08-15,3126,0.083,Grass Valley-Litton Building,24,Parts Per Million ( ppm ) 
2001-08-15,2208,0.041,Truckee-Fire Station,23,Parts Per Million ( ppm ) 
2001-08-15,3157,0.075,White Cloud Mountain,23,Parts Per Million ( ppm ) 
2001-08-15,3164,0.072,Five Mile Learning Center,23,Parts Per Million ( ppm ) 
2001-08-15,2968,0.051,Sonora-Barretta Street,23,Parts Per Million ( ppm ) 
2001-08-15,3121,0.072,Mojave-923 Poole Street,23,Parts Per Million ( ppm ) 
2001-08-15,3007,0.047,Lancaster-W Pondera Street,23,Parts Per Million ( ppm ) 
2001-08-15,2650,0.048,Hesperia-Olive Street,21,Parts Per Million ( ppm ) 
2001-08-15,2830,0.071,Phelan-Beekley Road and Phelan Road,23,Parts Per Million ( ppm ) 
2001-08-15,3215,0.057,Trona-Athol and Telegraph,23,Parts Per Million ( ppm ) 
2001-08-15,3124,0.059,Twentynine Palms-Adobe Road #2,22,Parts Per Million ( ppm ) 
2001-08-15,3500,0.042,Victorville-14306 Park Avenue,22,Parts Per Million ( ppm ) 
2001-08-15,3203,0.050,Mexicali-Cobach,19,Parts Per Million ( ppm ) 
2001-08-15,3183,0.031,Rosarito,23,Parts Per Million ( ppm ) 
2001-08-15,3138,0.026,Tijuana-ITT,23,Parts Per Million ( ppm ) 
2001-08-15,3178,0.027,Tijuana-Las Playas,21,Parts Per Million ( ppm ) 
2001-08-15,3010,0.023,Ukiah-E Gobbi Street,23,Parts Per Million ( ppm ) 
2001-08-15,3116,0.017,Willits-899 S Main Street,23,Parts Per Million ( ppm ) 
2001-08-15,3033,0.025,Healdsburg-Municipal Airport,23,Parts Per Million ( ppm ) 
2001-08-15,2016,0.021,Carmel Valley-Ford Road,24,Parts Per Million ( ppm ) 
2001-08-15,2894,0.022,King City-750 Metz Road,23,Parts Per Million ( ppm ) 
2001-08-15,2939,0.025,Monterey-Silver Cloud Court,23,Parts Per Million ( ppm ) 
2001-08-15,3489,0.026,Salinas-High School,23,Parts Per Million ( ppm ) 
2001-08-15,2628,0.024,Hollister-Fairview Road,24,Parts Per Million ( ppm ) 
2001-08-15,2983,0.048,Pinnacles National Monument,23,Parts Per Million ( ppm ) 
2001-08-15,2329,0.019,Davenport,23,Parts Per Million ( ppm ) 
2001-08-15,3200,0.020,Santa Cruz AMS,24,Parts Per Million ( ppm ) 
2001-08-15,3133,0.021,Scotts Valley-Scotts Valley Drive,24,Parts Per Million ( ppm ) 
2001-08-15,2985,0.020,Watsonville-Airport Boulevard,23,Parts Per Million ( ppm ) 
2001-08-15,3482,0.061,Cave Rock State Park,19,Parts Per Million ( ppm ) 
2001-08-15,2484,0.032,Azusa,23,Parts Per Million ( ppm ) 
2001-08-15,2492,0.015,Burbank-W Palm Avenue,23,Parts Per Million ( ppm ) 
2001-08-15,2849,0.039,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2001-08-15,2045,0.034,Hawthorne,23,Parts Per Million ( ppm ) 
2001-08-15,3508,0.027,Los Angeles-651 Mott Street,22,Parts Per Million ( ppm ) 
2001-08-15,2899,0.026,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2001-08-15,2583,0.017,Lynwood,23,Parts Per Million ( ppm ) 
2001-08-15,2429,0.030,North Long Beach,23,Parts Per Million ( ppm ) 
2001-08-15,2160,0.035,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2001-08-15,2166,0.026,Pico Rivera,23,Parts Per Million ( ppm ) 
2001-08-15,2898,0.021,Pomona,23,Parts Per Million ( ppm ) 
2001-08-15,2420,0.035,Reseda,23,Parts Per Million ( ppm ) 
2001-08-15,3502,0.030,Santa Clarita,23,Parts Per Million ( ppm ) 
2001-08-15,2494,0.023,West Los Angeles-VA Hospital,23,Parts Per Million ( ppm ) 
2001-08-15,3509,0.027,Wilmington-1115 N.Mahar Avenue,23,Parts Per Million ( ppm ) 
2001-08-15,2937,0.036,Costa Mesa-Mesa Verde Drive,23,Parts Per Million ( ppm ) 
2001-08-15,2249,0.029,La Habra,23,Parts Per Million ( ppm ) 
2001-08-15,3265,0.037,Mission Viejo-26081 Via Pera,24,Parts Per Million ( ppm ) 
2001-08-15,3168,0.047,Banning Airport,24,Parts Per Million ( ppm ) 
2001-08-15,2943,0.051,Lake Elsinore-W Flint Street,23,Parts Per Million ( ppm ) 
2001-08-15,2525,0.041,Perris,23,Parts Per Million ( ppm ) 
2001-08-15,2596,0.039,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2001-08-15,2499,0.073,Crestline,23,Parts Per Million ( ppm ) 
2001-08-15,2266,0.027,Fontana-Arrow Highway,23,Parts Per Million ( ppm ) 
2001-08-15,2077,0.048,Redlands-Dearborn,23,Parts Per Million ( ppm ) 
2001-08-15,2221,0.037,San Bernardino-4th Street,23,Parts Per Million ( ppm ) 
2001-08-15,2485,0.033,Upland,23,Parts Per Million ( ppm ) 
2001-08-15,2965,0.038,Atascadero-Lewis Avenue,23,Parts Per Million ( ppm ) 
2001-08-15,2671,0.028,Grover City-Lesage Drive,22,Parts Per Million ( ppm ) 
2001-08-15,2321,0.032,Morro Bay,23,Parts Per Million ( ppm ) 
2001-08-15,3251,0.033,Nipomo-Regional Park,23,Parts Per Million ( ppm ) 
2001-08-15,2955,0.039,Paso Robles-Santa Fe Avenue,23,Parts Per Million ( ppm ) 
2001-08-15,2709,0.024,San Luis Obispo-Marsh Street,23,Parts Per Million ( ppm ) 
2001-08-15,3003,0.021,Carpinteria-Gobernador Road,23,Parts Per Million ( ppm ) 
2001-08-15,2008,0.031,El Capitan Beach,23,Parts Per Million ( ppm ) 
2001-08-15,2954,0.030,Gaviota-GTC Site B,23,Parts Per Million ( ppm ) 
2001-08-15,3153,0.025,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2001-08-15,3101,0.044,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2001-08-15,2992,0.036,Lompoc-HSandP,23,Parts Per Million ( ppm ) 
2001-08-15,2360,0.032,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2001-08-15,2957,0.044,Paradise Road-Los Padres National Forest,23,Parts Per Million ( ppm ) 
2001-08-15,3486,0.024,Santa Maria-906 S Broadway,23,Parts Per Million ( ppm ) 
2001-08-15,3177,0.036,Santa Rosa Island,23,Parts Per Million ( ppm ) 
2001-08-15,2593,0.027,Santa Ynez-Airport Road,23,Parts Per Million ( ppm ) 
2001-08-15,3023,0.034,Vandenberg Air Force Base-STS Power,23,Parts Per Million ( ppm ) 
2001-08-15,2991,0.021,El Rio-Rio Mesa School #2,22,Parts Per Million ( ppm ) 
2001-08-15,3172,0.041,Ojai-Ojai Avenue,23,Parts Per Million ( ppm ) 
2001-08-15,3505,0.034,Piru-3301 Pacific Avenue,23,Parts Per Million ( ppm ) 
2001-08-15,2880,0.047,Simi Valley-Cochran Street,22,Parts Per Million ( ppm ) 
2001-08-15,2984,0.037,Thousand Oaks-Moorpark Road,23,Parts Per Million ( ppm ) 
2001-08-15,2756,0.044,Ventura County-W Casitas Pass Road,22,Parts Per Million ( ppm ) 
2001-08-15,2088,0.029,Ventura-Emma Wood State Beach,23,Parts Per Million ( ppm ) 
2001-08-15,2460,0.052,Alpine-Victoria Drive,23,Parts Per Million ( ppm ) 
2001-08-15,3198,0.036,Camp Pendleton,24,Parts Per Million ( ppm ) 
2001-08-15,2589,0.035,Chula Vista,23,Parts Per Million ( ppm ) 
2001-08-15,2368,0.038,Del Mar-Mira Costa College,24,Parts Per Million ( ppm ) 
