summary_date,site,ozone_davg,name,obs_count,units 
2011-10-08,3151,0.040,Death Valley Natl Monument,24,Parts Per Million ( ppm ) 
2011-10-08,2914,0.014,Lakeport-Lakeport Blvd,23,Parts Per Million ( ppm ) 
2011-10-08,2993,0.019,Jackson-Clinton Road,23,Parts Per Million ( ppm ) 
2011-10-08,3144,0.023,San Andreas-Gold Strike Road,23,Parts Per Million ( ppm ) 
2011-10-08,3196,0.025,Cool-Highway 193,23,Parts Per Million ( ppm ) 
2011-10-08,3487,0.032,Echo Summit,23,Parts Per Million ( ppm ) 
2011-10-08,3017,0.036,Placerville-Gold Nugget Way,23,Parts Per Million ( ppm ) 
2011-10-08,3161,0.029,Jerseydale - 6440 Jerseydale,23,Parts Per Million ( ppm ) 
2011-10-08,3018,0.033,Yosemite Natl Park-Turtleback Dome,24,Parts Per Million ( ppm ) 
2011-10-08,3157,0.027,White Cloud Mountain,23,Parts Per Million ( ppm ) 
2011-10-08,3002,0.017,Colfax-City Hall,24,Parts Per Million ( ppm ) 
2011-10-08,2968,0.022,Sonora-Barretta Street,23,Parts Per Million ( ppm ) 
2011-10-08,3121,0.030,Mojave-923 Poole Street,23,Parts Per Million ( ppm ) 
2011-10-08,3658,0.028,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ) 
2011-10-08,3673,0.022,Blythe-445 West Murphy Street,23,Parts Per Million ( ppm ) 
2011-10-08,2923,0.024,Barstow,23,Parts Per Million ( ppm ) 
2011-10-08,2650,0.033,Hesperia-Olive Street,24,Parts Per Million ( ppm ) 
2011-10-08,3152,0.043,Joshua Tree NP - Black Rock,24,Parts Per Million ( ppm ) 
2011-10-08,2830,0.036,Phelan-Beekley Road and Phelan Road,24,Parts Per Million ( ppm ) 
2011-10-08,3215,0.029,Trona-Athol and Telegraph,23,Parts Per Million ( ppm ) 
2011-10-08,3500,0.020,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2011-10-08,3203,0.015,Mexicali-Cobach,23,Parts Per Million ( ppm ) 
2011-10-08,3716,0.020,Eureka-Jacobs,23,Parts Per Million ( ppm ) 
2011-10-08,3010,0.008,Ukiah-E Gobbi Street,24,Parts Per Million ( ppm ) 
2011-10-08,3033,0.013,Healdsburg-Municipal Airport,23,Parts Per Million ( ppm ) 
2011-10-08,2016,0.022,Carmel Valley-Ford Road,24,Parts Per Million ( ppm ) 
2011-10-08,3726,0.020,King City-415 Pearl Street,24,Parts Per Million ( ppm ) 
2011-10-08,3489,0.021,Salinas-High School,23,Parts Per Million ( ppm ) 
2011-10-08,2628,0.021,Hollister-Fairview Road,24,Parts Per Million ( ppm ) 
2011-10-08,2983,0.024,Pinnacles National Monument,24,Parts Per Million ( ppm ) 
2011-10-08,2329,0.020,Davenport,24,Parts Per Million ( ppm ) 
2011-10-08,3200,0.016,Santa Cruz AMS,24,Parts Per Million ( ppm ) 
2011-10-08,2752,0.014,Yreka-Foothill Drive,23,Parts Per Million ( ppm ) 
2011-10-08,2484,0.023,Azusa,23,Parts Per Million ( ppm ) 
2011-10-08,2492,0.018,Burbank-W Palm Avenue,22,Parts Per Million ( ppm ) 
2011-10-08,3743,0.021,Compton-700 North Bullis Road,22,Parts Per Million ( ppm ) 
2011-10-08,2849,0.034,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2011-10-08,3774,0.022,Long Beach-2425 Webster Street          ,22,Parts Per Million ( ppm ) 
2011-10-08,2899,0.020,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2011-10-08,3683,0.022,Los Angeles-Westchester Parkway,23,Parts Per Million ( ppm ) 
2011-10-08,2429,0.023,North Long Beach,24,Parts Per Million ( ppm ) 
2011-10-08,2160,0.023,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2011-10-08,3693,0.017,Pico Rivera-4144 San Gabriel,22,Parts Per Million ( ppm ) 
2011-10-08,2898,0.018,Pomona,23,Parts Per Million ( ppm ) 
2011-10-08,2420,0.026,Reseda,23,Parts Per Million ( ppm ) 
2011-10-08,3502,0.022,Santa Clarita,23,Parts Per Million ( ppm ) 
2011-10-08,2494,0.023,West Los Angeles-VA Hospital,22,Parts Per Million ( ppm ) 
2011-10-08,3674,0.019,Anaheim-Pampas Lane,22,Parts Per Million ( ppm ) 
2011-10-08,2937,0.024,Costa Mesa-Mesa Verde Drive,23,Parts Per Million ( ppm ) 
2011-10-08,2249,0.020,La Habra,22,Parts Per Million ( ppm ) 
2011-10-08,3265,0.028,Mission Viejo-26081 Via Pera,22,Parts Per Million ( ppm ) 
2011-10-08,3168,0.029,Banning Airport,23,Parts Per Million ( ppm ) 
2011-10-08,2943,0.022,Lake Elsinore-W Flint Street,22,Parts Per Million ( ppm ) 
2011-10-08,3702,0.022,Mira Loma Van Buren,23,Parts Per Million ( ppm ) 
2011-10-08,2525,0.022,Perris,23,Parts Per Million ( ppm ) 
2011-10-08,2596,0.026,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2011-10-08,3777,0.036,Winchester-33700 Borel Road             ,23,Parts Per Million ( ppm ) 
2011-10-08,2499,0.029,Crestline,23,Parts Per Million ( ppm ) 
2011-10-08,2266,0.024,Fontana-Arrow Highway,22,Parts Per Million ( ppm ) 
2011-10-08,2077,0.030,Redlands-Dearborn,23,Parts Per Million ( ppm ) 
2011-10-08,2221,0.020,San Bernardino-4th Street,23,Parts Per Million ( ppm ) 
2011-10-08,2485,0.022,Upland,23,Parts Per Million ( ppm ) 
2011-10-08,2965,0.018,Atascadero-Lewis Avenue,23,Parts Per Million ( ppm ) 
2011-10-08,3694,0.030,Carrisa Plains School,23,Parts Per Million ( ppm ) 
2011-10-08,2321,0.029,Morro Bay,23,Parts Per Million ( ppm ) 
2011-10-08,3251,0.034,Nipomo-Regional Park,23,Parts Per Million ( ppm ) 
2011-10-08,2955,0.024,Paso Robles-Santa Fe Avenue,23,Parts Per Million ( ppm ) 
2011-10-08,3495,0.045,Red Hills,23,Parts Per Million ( ppm ) 
2011-10-08,3688,0.032,San Luis Obispo-3220 South Higuera St,23,Parts Per Million ( ppm ) 
2011-10-08,3003,0.037,Carpinteria-Gobernador Road,23,Parts Per Million ( ppm ) 
2011-10-08,2008,0.031,El Capitan Beach,21,Parts Per Million ( ppm ) 
2011-10-08,2954,0.028,Gaviota-GTC Site B,21,Parts Per Million ( ppm ) 
2011-10-08,3153,0.024,Goleta-Fairview,21,Parts Per Million ( ppm ) 
2011-10-08,3101,0.042,Las Flores Canyon #1,20,Parts Per Million ( ppm ) 
2011-10-08,2992,0.039,Lompoc-HSandP,23,Parts Per Million ( ppm ) 
2011-10-08,2360,0.028,Lompoc-S H Street,21,Parts Per Million ( ppm ) 
2011-10-08,2957,0.031,Paradise Road-Los Padres National Forest,23,Parts Per Million ( ppm ) 
2011-10-08,3486,0.025,Santa Maria-906 S Broadway,23,Parts Per Million ( ppm ) 
2011-10-08,2593,0.023,Santa Ynez-Airport Road,22,Parts Per Million ( ppm ) 
2011-10-08,3023,0.037,Vandenberg Air Force Base-STS Power,21,Parts Per Million ( ppm ) 
2011-10-08,2991,0.029,El Rio-Rio Mesa School #2,23,Parts Per Million ( ppm ) 
2011-10-08,3172,0.026,Ojai-Ojai Avenue,24,Parts Per Million ( ppm ) 
2011-10-08,3505,0.028,Piru-3301 Pacific Avenue,24,Parts Per Million ( ppm ) 
2011-10-08,2880,0.023,Simi Valley-Cochran Street,23,Parts Per Million ( ppm ) 
2011-10-08,2984,0.031,Thousand Oaks-Moorpark Road,24,Parts Per Million ( ppm ) 
2011-10-08,2460,0.045,Alpine-Victoria Drive,23,Parts Per Million ( ppm ) 
2011-10-08,2589,0.023,Chula Vista,23,Parts Per Million ( ppm ) 
2011-10-08,2368,0.030,Del Mar-Mira Costa College,24,Parts Per Million ( ppm ) 
2011-10-08,2327,0.028,El Cajon-Redwood Avenue,22,Parts Per Million ( ppm ) 
2011-10-08,2263,0.025,Escondido-E Valley Parkway,22,Parts Per Million ( ppm ) 
2011-10-08,2933,0.020,Otay Mesa-Paseo International,23,Parts Per Million ( ppm ) 
2011-10-08,3690,0.024,San Diego-1110 Beardsley Street,23,Parts Per Million ( ppm ) 
