summary_date,site,no_davg,name,obs_count,units 
2011-12-01,3658,0.002,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ) 
2011-12-01,2923,0.002,Barstow,23,Parts Per Million ( ppm ) 
2011-12-01,3500,0.001,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2011-12-01,3489,0.001,Salinas-High School,24,Parts Per Million ( ppm ) 
2011-12-01,2484,0.002,Azusa,21,Parts Per Million ( ppm ) 
2011-12-01,2492,0.005,Burbank-W Palm Avenue,24,Parts Per Million ( ppm ) 
2011-12-01,3743,0.018,Compton-700 North Bullis Road,23,Parts Per Million ( ppm ) 
2011-12-01,3774,0.009,Long Beach-2425 Webster Street          ,23,Parts Per Million ( ppm ) 
2011-12-01,3683,0.003,Los Angeles-Westchester Parkway,23,Parts Per Million ( ppm ) 
2011-12-01,2429,0.009,North Long Beach,23,Parts Per Million ( ppm ) 
2011-12-01,2160,0.003,Pasadena-S Wilson Avenue,22,Parts Per Million ( ppm ) 
2011-12-01,3693,0.020,Pico Rivera-4144 San Gabriel,22,Parts Per Million ( ppm ) 
2011-12-01,2898,0.017,Pomona,23,Parts Per Million ( ppm ) 
2011-12-01,3502,0.003,Santa Clarita,21,Parts Per Million ( ppm ) 
2011-12-01,2494,0.004,West Los Angeles-VA Hospital,23,Parts Per Million ( ppm ) 
2011-12-01,3674,0.006,Anaheim-Pampas Lane,21,Parts Per Million ( ppm ) 
2011-12-01,2249,0.005,La Habra,21,Parts Per Million ( ppm ) 
2011-12-01,3168,0.001,Banning Airport,22,Parts Per Million ( ppm ) 
2011-12-01,2943,0.000,Lake Elsinore-W Flint Street,22,Parts Per Million ( ppm ) 
2011-12-01,3702,0.000,Mira Loma Van Buren,23,Parts Per Million ( ppm ) 
2011-12-01,2596,0.002,Riverside-Rubidoux,24,Parts Per Million ( ppm ) 
2011-12-01,2266,0.002,Fontana-Arrow Highway,22,Parts Per Million ( ppm ) 
2011-12-01,2485,0.002,Upland,20,Parts Per Million ( ppm ) 
2011-12-01,2965,0.003,Atascadero-Lewis Avenue,23,Parts Per Million ( ppm ) 
2011-12-01,2321,0.001,Morro Bay,23,Parts Per Million ( ppm ) 
2011-12-01,3251,0.000,Nipomo-Regional Park,23,Parts Per Million ( ppm ) 
2011-12-01,3003,0.001,Carpinteria-Gobernador Road,19,Parts Per Million ( ppm ) 
2011-12-01,2008,0.001,El Capitan Beach,23,Parts Per Million ( ppm ) 
2011-12-01,2954,0.001,Gaviota-GTC Site B,23,Parts Per Million ( ppm ) 
2011-12-01,3153,0.000,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2011-12-01,3101,0.000,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2011-12-01,2992,0.002,Lompoc-HSandP,23,Parts Per Million ( ppm ) 
2011-12-01,2360,0.007,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2011-12-01,2957,0.000,Paradise Road-Los Padres National Forest,23,Parts Per Million ( ppm ) 
2011-12-01,3665,0.002,Santa Barbara-700 East Canon Perdido,22,Parts Per Million ( ppm ) 
2011-12-01,3486,0.010,Santa Maria-906 S Broadway,23,Parts Per Million ( ppm ) 
2011-12-01,3023,0.000,Vandenberg Air Force Base-STS Power,23,Parts Per Million ( ppm ) 
2011-12-01,2991,0.003,El Rio-Rio Mesa School #2,23,Parts Per Million ( ppm ) 
2011-12-01,2880,0.000,Simi Valley-Cochran Street,23,Parts Per Million ( ppm ) 
2011-12-01,2460,0.002,Alpine-Victoria Drive,23,Parts Per Million ( ppm ) 
2011-12-01,3198,0.001,Camp Pendleton,23,Parts Per Million ( ppm ) 
2011-12-01,2589,0.005,Chula Vista,23,Parts Per Million ( ppm ) 
2011-12-01,2327,0.002,El Cajon-Redwood Avenue,24,Parts Per Million ( ppm ) 
2011-12-01,2263,0.005,Escondido-E Valley Parkway,23,Parts Per Million ( ppm ) 
2011-12-01,2933,0.027,Otay Mesa-Paseo International,23,Parts Per Million ( ppm ) 
2011-12-01,3690,0.008,San Diego-1110 Beardsley Street,23,Parts Per Million ( ppm ) 
2011-12-01,2040,0.007,San Diego-Overland Avenue,23,Parts Per Million ( ppm ) 
2011-12-01,3773,0.000,Livermore-13224 Patterson Pass Road,23,Parts Per Million ( ppm ) 
2011-12-01,3490,0.001,Livermore-793 Rincon Avenue,22,Parts Per Million ( ppm ) 
2011-12-01,3247,0.006,Oakland-9925 International Blvd,23,Parts Per Million ( ppm ) 
2011-12-01,3742,0.002,Oakland-West,20,Parts Per Million ( ppm ) 
2011-12-01,2804,0.001,Bethel Island Road,23,Parts Per Million ( ppm ) 
2011-12-01,2831,0.001,Concord-2956-A Treat Blvd,23,Parts Per Million ( ppm ) 
2011-12-01,3668,0.002,San Pablo-Rumrill Blvd,23,Parts Per Million ( ppm ) 
2011-12-01,2622,0.003,San Rafael,23,Parts Per Million ( ppm ) 
2011-12-01,2655,0.002,Napa-Jefferson Avenue,23,Parts Per Million ( ppm ) 
2011-12-01,2373,0.003,San Francisco-Arkansas Street,23,Parts Per Million ( ppm ) 
2011-12-01,3770,0.000,Cupertino-22601 Voss Ave,23,Parts Per Million ( ppm ) 
2011-12-01,3661,0.002,San Jose-Jackson Street,22,Parts Per Million ( ppm ) 
2011-12-01,2410,0.001,Vallejo-304 Tuolumne Street,23,Parts Per Million ( ppm ) 
2011-12-01,3009,0.013,Fresno-1st Street,24,Parts Per Million ( ppm ) 
2011-12-01,2114,0.003,Parlier,20,Parts Per Million ( ppm ) 
2011-12-01,3146,0.041,Bakersfield-5558 California Avenue,23,Parts Per Million ( ppm ) 
2011-12-01,2312,0.004,Edison,23,Parts Per Million ( ppm ) 
2011-12-01,2981,0.024,Shafter-Walker Street,23,Parts Per Million ( ppm ) 
2011-12-01,3129,0.010,Hanford-S Irwin Street,22,Parts Per Million ( ppm ) 
2011-12-01,3022,0.001,Merced-S Coffee Avenue,22,Parts Per Million ( ppm ) 
2011-12-01,2094,0.007,Stockton-Hazelton Street,23,Parts Per Million ( ppm ) 
2011-12-01,3696,0.000,Tracy-Airport,22,Parts Per Million ( ppm ) 
2011-12-01,2996,0.001,Turlock-S Minaret Street,22,Parts Per Million ( ppm ) 
2011-12-01,2032,0.012,Visalia-N Church Street,23,Parts Per Million ( ppm ) 
2011-12-01,3135,0.002,Calexico-Ethel Street,21,Parts Per Million ( ppm ) 
2011-12-01,2551,0.000,El Centro-9th Street,23,Parts Per Million ( ppm ) 
2011-12-01,2199,0.000,Palm Springs-Fire Station,20,Parts Per Million ( ppm ) 
2011-12-01,2115,0.001,Chico-Manzanita Avenue,23,Parts Per Million ( ppm ) 
2011-12-01,2956,0.004,Roseville-N Sunrise Blvd,23,Parts Per Million ( ppm ) 
2011-12-01,2977,0.000,Elk Grove-Bruceville Road,20,Parts Per Million ( ppm ) 
2011-12-01,3187,0.000,Folsom-Natoma Street,24,Parts Per Million ( ppm ) 
2011-12-01,2123,0.001,North Highlands-Blackfoot Way,23,Parts Per Million ( ppm ) 
2011-12-01,2731,0.000,Sacramento-Del Paso Manor,24,Parts Per Million ( ppm ) 
2011-12-01,3738,0.000,Sacramento-Goldenland Court,23,Parts Per Million ( ppm ) 
2011-12-01,2958,0.001,Yuba City-Almond Street,23,Parts Per Million ( ppm ) 
2011-12-01,2143,0.000,Davis-UCD Campus,22,Parts Per Million ( ppm ) 
2011-12-02,3658,0.010,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ) 
2011-12-02,2923,0.009,Barstow,23,Parts Per Million ( ppm ) 
2011-12-02,3500,0.006,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2011-12-02,3489,0.005,Salinas-High School,24,Parts Per Million ( ppm ) 
2011-12-02,2484,0.006,Azusa,23,Parts Per Million ( ppm ) 
2011-12-02,2492,0.030,Burbank-W Palm Avenue,23,Parts Per Million ( ppm ) 
2011-12-02,3743,0.077,Compton-700 North Bullis Road,22,Parts Per Million ( ppm ) 
2011-12-02,2849,0.002,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2011-12-02,3774,0.068,Long Beach-2425 Webster Street          ,23,Parts Per Million ( ppm ) 
2011-12-02,2899,0.052,Los Angeles-North Main Street,22,Parts Per Million ( ppm ) 
2011-12-02,3683,0.012,Los Angeles-Westchester Parkway,21,Parts Per Million ( ppm ) 
2011-12-02,2429,0.057,North Long Beach,23,Parts Per Million ( ppm ) 
2011-12-02,2160,0.017,Pasadena-S Wilson Avenue,22,Parts Per Million ( ppm ) 
2011-12-02,3693,0.071,Pico Rivera-4144 San Gabriel,22,Parts Per Million ( ppm ) 
2011-12-02,2898,0.038,Pomona,23,Parts Per Million ( ppm ) 
2011-12-02,3502,0.011,Santa Clarita,22,Parts Per Million ( ppm ) 
2011-12-02,2494,0.018,West Los Angeles-VA Hospital,23,Parts Per Million ( ppm ) 
2011-12-02,3674,0.027,Anaheim-Pampas Lane,22,Parts Per Million ( ppm ) 
2011-12-02,2249,0.028,La Habra,22,Parts Per Million ( ppm ) 
2011-12-02,3168,0.009,Banning Airport,23,Parts Per Million ( ppm ) 
2011-12-02,2943,0.003,Lake Elsinore-W Flint Street,22,Parts Per Million ( ppm ) 
2011-12-02,3702,0.011,Mira Loma Van Buren,22,Parts Per Million ( ppm ) 
2011-12-02,2596,0.009,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2011-12-02,2266,0.012,Fontana-Arrow Highway,22,Parts Per Million ( ppm ) 
2011-12-02,2965,0.016,Atascadero-Lewis Avenue,23,Parts Per Million ( ppm ) 
2011-12-02,2321,0.006,Morro Bay,23,Parts Per Million ( ppm ) 
2011-12-02,3251,0.002,Nipomo-Regional Park,23,Parts Per Million ( ppm ) 
2011-12-02,3003,0.001,Carpinteria-Gobernador Road,23,Parts Per Million ( ppm ) 
2011-12-02,2008,0.002,El Capitan Beach,23,Parts Per Million ( ppm ) 
2011-12-02,2954,0.001,Gaviota-GTC Site B,23,Parts Per Million ( ppm ) 
2011-12-02,3153,0.002,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2011-12-02,3101,0.000,Las Flores Canyon #1,22,Parts Per Million ( ppm ) 
2011-12-02,2992,0.002,Lompoc-HSandP,23,Parts Per Million ( ppm ) 
2011-12-02,2360,0.009,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2011-12-02,2957,0.000,Paradise Road-Los Padres National Forest,23,Parts Per Million ( ppm ) 
2011-12-02,3665,0.011,Santa Barbara-700 East Canon Perdido,22,Parts Per Million ( ppm ) 
2011-12-02,3486,0.008,Santa Maria-906 S Broadway,23,Parts Per Million ( ppm ) 
2011-12-02,2991,0.003,El Rio-Rio Mesa School #2,23,Parts Per Million ( ppm ) 
2011-12-02,2880,0.010,Simi Valley-Cochran Street,23,Parts Per Million ( ppm ) 
2011-12-02,2460,0.003,Alpine-Victoria Drive,23,Parts Per Million ( ppm ) 
2011-12-02,3198,0.008,Camp Pendleton,22,Parts Per Million ( ppm ) 
2011-12-02,2589,0.009,Chula Vista,23,Parts Per Million ( ppm ) 
2011-12-02,2327,0.007,El Cajon-Redwood Avenue,24,Parts Per Million ( ppm ) 
2011-12-02,2263,0.017,Escondido-E Valley Parkway,23,Parts Per Million ( ppm ) 
2011-12-02,2933,0.025,Otay Mesa-Paseo International,23,Parts Per Million ( ppm ) 
2011-12-02,3690,0.015,San Diego-1110 Beardsley Street,23,Parts Per Million ( ppm ) 
2011-12-02,2040,0.013,San Diego-Overland Avenue,23,Parts Per Million ( ppm ) 
2011-12-02,3773,0.000,Livermore-13224 Patterson Pass Road,23,Parts Per Million ( ppm ) 
2011-12-02,3490,0.005,Livermore-793 Rincon Avenue,22,Parts Per Million ( ppm ) 
2011-12-02,3247,0.021,Oakland-9925 International Blvd,23,Parts Per Million ( ppm ) 
2011-12-02,3742,0.023,Oakland-West,23,Parts Per Million ( ppm ) 
2011-12-02,2804,0.001,Bethel Island Road,23,Parts Per Million ( ppm ) 
2011-12-02,2831,0.009,Concord-2956-A Treat Blvd,23,Parts Per Million ( ppm ) 
2011-12-02,3668,0.006,San Pablo-Rumrill Blvd,23,Parts Per Million ( ppm ) 
2011-12-02,2622,0.012,San Rafael,23,Parts Per Million ( ppm ) 
2011-12-02,2655,0.014,Napa-Jefferson Avenue,23,Parts Per Million ( ppm ) 
2011-12-02,2373,0.016,San Francisco-Arkansas Street,23,Parts Per Million ( ppm ) 
2011-12-02,2125,0.035,Redwood City,23,Parts Per Million ( ppm ) 
2011-12-02,3770,0.002,Cupertino-22601 Voss Ave,23,Parts Per Million ( ppm ) 
2011-12-02,3661,0.014,San Jose-Jackson Street,22,Parts Per Million ( ppm ) 
2011-12-02,2410,0.010,Vallejo-304 Tuolumne Street,23,Parts Per Million ( ppm ) 
2011-12-02,2105,0.002,Santa Rosa-5th Street,23,Parts Per Million ( ppm ) 
2011-12-02,3026,0.021,Clovis-N Villa Avenue,20,Parts Per Million ( ppm ) 
2011-12-02,3009,0.041,Fresno-1st Street,24,Parts Per Million ( ppm ) 
2011-12-02,2013,0.034,Fresno-Drummond Street,22,Parts Per Million ( ppm ) 
2011-12-02,2114,0.006,Parlier,22,Parts Per Million ( ppm ) 
2011-12-02,3146,0.031,Bakersfield-5558 California Avenue,23,Parts Per Million ( ppm ) 
2011-12-02,2312,0.003,Edison,23,Parts Per Million ( ppm ) 
2011-12-02,2981,0.018,Shafter-Walker Street,23,Parts Per Million ( ppm ) 
2011-12-02,3129,0.031,Hanford-S Irwin Street,22,Parts Per Million ( ppm ) 
2011-12-02,3022,0.005,Merced-S Coffee Avenue,22,Parts Per Million ( ppm ) 
2011-12-02,2094,0.020,Stockton-Hazelton Street,23,Parts Per Million ( ppm ) 
2011-12-02,3696,0.001,Tracy-Airport,22,Parts Per Million ( ppm ) 
2011-12-02,2996,0.011,Turlock-S Minaret Street,22,Parts Per Million ( ppm ) 
2011-12-02,2032,0.035,Visalia-N Church Street,23,Parts Per Million ( ppm ) 
2011-12-02,3135,0.011,Calexico-Ethel Street,23,Parts Per Million ( ppm ) 
2011-12-02,2551,0.003,El Centro-9th Street,23,Parts Per Million ( ppm ) 
2011-12-02,2199,0.002,Palm Springs-Fire Station,18,Parts Per Million ( ppm ) 
2011-12-02,2115,0.004,Chico-Manzanita Avenue,23,Parts Per Million ( ppm ) 
2011-12-02,2956,0.009,Roseville-N Sunrise Blvd,23,Parts Per Million ( ppm ) 
2011-12-02,2977,0.000,Elk Grove-Bruceville Road,23,Parts Per Million ( ppm ) 
2011-12-02,3187,0.000,Folsom-Natoma Street,24,Parts Per Million ( ppm ) 
2011-12-02,2123,0.001,North Highlands-Blackfoot Way,22,Parts Per Million ( ppm ) 
2011-12-02,2731,0.000,Sacramento-Del Paso Manor,24,Parts Per Million ( ppm ) 
2011-12-02,3738,0.000,Sacramento-Goldenland Court,24,Parts Per Million ( ppm ) 
2011-12-02,3011,0.001,Sacramento-T Street,23,Parts Per Million ( ppm ) 
2011-12-02,2958,0.001,Yuba City-Almond Street,23,Parts Per Million ( ppm ) 
2011-12-03,3658,0.003,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ) 
2011-12-03,2923,0.004,Barstow,22,Parts Per Million ( ppm ) 
2011-12-03,3500,0.003,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2011-12-03,3489,0.004,Salinas-High School,23,Parts Per Million ( ppm ) 
2011-12-03,2484,0.003,Azusa,23,Parts Per Million ( ppm ) 
2011-12-03,2492,0.030,Burbank-W Palm Avenue,23,Parts Per Million ( ppm ) 
2011-12-03,3743,0.049,Compton-700 North Bullis Road,22,Parts Per Million ( ppm ) 
