summary_date,site,no2_davg,name,obs_count,units 
2002-06-01,2948,0.004,South Lake Tahoe-Sandy Way,24,Parts Per Million ( ppm ) 
2002-06-01,3487,0.001,Echo Summit,23,Parts Per Million ( ppm ) 
2002-06-01,3658,0.007,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ) 
2002-06-01,2923,0.011,Barstow,22,Parts Per Million ( ppm ) 
2002-06-01,3215,0.007,Trona-Athol and Telegraph,22,Parts Per Million ( ppm ) 
2002-06-01,3500,0.014,Victorville-14306 Park Avenue,22,Parts Per Million ( ppm ) 
2002-06-01,3202,0.013,Mexicali-CBTIS,23,Parts Per Million ( ppm ) 
2002-06-01,3203,0.005,Mexicali-Cobach,23,Parts Per Million ( ppm ) 
2002-06-01,3201,0.014,Mexicali-UABC,23,Parts Per Million ( ppm ) 
2002-06-01,3183,0.007,Rosarito,23,Parts Per Million ( ppm ) 
2002-06-01,3255,0.018,Tecate-Paseo Morelos,23,Parts Per Million ( ppm ) 
2002-06-01,3138,0.008,Tijuana-ITT,23,Parts Per Million ( ppm ) 
2002-06-01,3141,0.012,Tijuana-La Mesa,23,Parts Per Million ( ppm ) 
2002-06-01,3178,0.008,Tijuana-Las Playas,23,Parts Per Million ( ppm ) 
2002-06-01,3010,0.002,Ukiah-E Gobbi Street,22,Parts Per Million ( ppm ) 
2002-06-01,3116,0.004,Willits-899 S Main Street,22,Parts Per Million ( ppm ) 
2002-06-01,3489,0.002,Salinas-High School,23,Parts Per Million ( ppm ) 
2002-06-01,2329,0.005,Davenport,22,Parts Per Million ( ppm ) 
2002-06-01,2484,0.024,Azusa,23,Parts Per Million ( ppm ) 
2002-06-01,2492,0.025,Burbank-W Palm Avenue,23,Parts Per Million ( ppm ) 
2002-06-01,2849,0.024,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2002-06-01,2045,0.007,Hawthorne,23,Parts Per Million ( ppm ) 
2002-06-01,2899,0.016,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2002-06-01,2583,0.024,Lynwood,23,Parts Per Million ( ppm ) 
2002-06-01,2429,0.014,North Long Beach,23,Parts Per Million ( ppm ) 
2002-06-01,2160,0.020,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2002-06-01,2166,0.018,Pico Rivera,23,Parts Per Million ( ppm ) 
2002-06-01,2898,0.020,Pomona,23,Parts Per Million ( ppm ) 
2002-06-01,2420,0.014,Reseda,23,Parts Per Million ( ppm ) 
2002-06-01,3502,0.016,Santa Clarita,23,Parts Per Million ( ppm ) 
2002-06-01,2494,0.010,West Los Angeles-VA Hospital,23,Parts Per Million ( ppm ) 
2002-06-01,3509,0.008,Wilmington-1115 N.Mahar Avenue,23,Parts Per Million ( ppm ) 
2002-06-01,3674,0.008,Anaheim-Pampas Lane,24,Parts Per Million ( ppm ) 
2002-06-01,2937,0.003,Costa Mesa-Mesa Verde Drive,23,Parts Per Million ( ppm ) 
2002-06-01,2249,0.011,La Habra,23,Parts Per Million ( ppm ) 
2002-06-01,3168,0.015,Banning Airport,23,Parts Per Million ( ppm ) 
2002-06-01,2943,0.005,Lake Elsinore-W Flint Street,23,Parts Per Million ( ppm ) 
2002-06-01,2596,0.011,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2002-06-01,2266,0.025,Fontana-Arrow Highway,23,Parts Per Million ( ppm ) 
2002-06-01,2221,0.022,San Bernardino-4th Street,23,Parts Per Million ( ppm ) 
2002-06-01,2485,0.029,Upland,23,Parts Per Million ( ppm ) 
2002-06-01,2965,0.004,Atascadero-Lewis Avenue,23,Parts Per Million ( ppm ) 
2002-06-01,2671,0.000,Grover City-Lesage Drive,23,Parts Per Million ( ppm ) 
2002-06-01,2321,0.002,Morro Bay,23,Parts Per Million ( ppm ) 
2002-06-01,3251,0.001,Nipomo-Regional Park,23,Parts Per Million ( ppm ) 
2002-06-01,2709,0.003,San Luis Obispo-Marsh Street,23,Parts Per Million ( ppm ) 
2002-06-01,3003,0.001,Carpinteria-Gobernador Road,23,Parts Per Million ( ppm ) 
2002-06-01,2008,0.004,El Capitan Beach,21,Parts Per Million ( ppm ) 
2002-06-01,2954,0.006,Gaviota-GTC Site B,21,Parts Per Million ( ppm ) 
2002-06-01,3153,0.008,Goleta-Fairview,20,Parts Per Million ( ppm ) 
2002-06-01,3101,0.002,Las Flores Canyon #1,21,Parts Per Million ( ppm ) 
2002-06-01,2992,0.000,Lompoc-HSandP,23,Parts Per Million ( ppm ) 
2002-06-01,2360,0.001,Lompoc-S H Street,21,Parts Per Million ( ppm ) 
2002-06-01,2957,0.003,Paradise Road-Los Padres National Forest,23,Parts Per Million ( ppm ) 
2002-06-01,3023,0.000,Vandenberg Air Force Base-STS Power,23,Parts Per Million ( ppm ) 
2002-06-01,2991,0.004,El Rio-Rio Mesa School #2,23,Parts Per Million ( ppm ) 
