,summary_date,site,CO,NO,NO2,O3,longitude,latitude,x,y
48,2002-04-26,2958,0.348,0.001,0.009,0.033,-121.61884,39.13868,0.11905040209128036,0.9164231112071528
49,2002-04-26,2964,0.491,0.006,0.012,0.026,-117.1539,32.7092,0.6065673601354685,0.04806731314659319
50,2002-04-26,2965,0.152,0.002,0.006,0.04,-120.668056,35.491667,0.22286441155996053,0.42386307771264975
51,2002-04-26,2991,0.213,0.003,0.007,0.028,-119.143182,34.25239,0.3893620428563888,0.25648820939466793
52,2002-04-26,2996,0.3,0.001,0.01,0.037,-120.83592,37.48822,0.204535711365752,0.6935144917749384
53,2002-04-26,3009,0.209,0.002,0.011,0.029,-119.773056,36.781944,0.3205874890144273,0.5981259285270527
54,2002-04-26,3011,0.258,0.003,0.013,0.035,-121.49311,38.56844,0.13277858368720316,0.8394073633883475
55,2002-04-26,3023,0.139,0.0005,0.0005,0.043,-120.63129,34.59593,0.22687881006911198,0.30288619972448133
56,2002-04-26,3026,0.395,0.003,0.008,0.028,-119.716389,36.819313,0.32677483385254136,0.6031729288782045
57,2002-04-26,3101,0.2,0.0005,0.001,0.041,-120.0469,34.48976,0.2906870661960578,0.288547040868696
58,2002-04-26,3135,0.323,0.0005,0.003,0.022,-115.48307,32.67618,0.7890016053904935,0.04360768212636136
59,2002-04-26,3138,0.643,0.006,0.015,0.018,-116.987,32.5308,0.6247908032942966,0.023972880257151604
60,2002-04-26,3141,0.743,0.008,0.013,0.024,-116.976,32.4975,0.625991869050719,0.019475432862430097
61,2002-04-26,3145,0.335,0.003,0.014,0.025,-119.015,35.38562,0.4033579529281953,0.4095405310499452
62,2002-04-26,3146,0.23,0.004,0.008,0.033,-119.062613,35.356615,0.39815919439541564,0.4056231598282055
63,2002-04-26,3153,0.27,0.001,0.007,0.029,-119.828452,34.445505,0.3145389218650777,0.2825700278220468
64,2002-04-26,3173,0.396,0.0005,0.001,0.037,-115.3911,32.6742,0.7990436069921549,0.04334026633532341
65,2002-04-26,3183,0.4,0.006,0.01,0.024,-117.056,32.3533,0.6172568453676387,0.0
66,2002-04-26,3185,0.371,0.002,0.009,0.026,-115.398,32.6214,0.7982902111994896,0.03620917857432321
67,2002-04-26,3201,0.474,0.004,0.011,0.03,-115.446,32.6292,0.7930491969896398,0.03726263472083411
68,2002-04-26,3203,0.287,0.0005,0.004,0.034,-115.506,32.6403,0.7864979292273291,0.03876178385240891
69,2002-04-26,3207,0.213,0.001,0.005,0.041,-122.339996,37.963333,0.0403089678513331,0.7576825315361551
70,2002-04-26,3223,0.248,0.001,0.012,0.032,-121.514167,38.636667,0.13047941626602058,0.8486219983252752
71,2002-04-26,3255,0.535,0.008,0.016,0.02,-116.619,32.575,0.6649719122364679,0.029942465087383574
72,2002-04-26,3487,0.083,0.001,0.002,0.042,-120.033084,38.81161,0.2921956047861243,0.8722495340482431
73,2002-04-26,3489,0.404,0.001,0.0005,0.04,-121.623271,36.694261,0.11856659096703387,0.5862835957969799
74,2002-04-26,3490,0.287,0.0005,0.005,0.041,-121.7842,37.6875,0.10099510813835312,0.7204289457335027
75,2002-04-26,3500,0.495,0.005,0.015,0.026,-117.32555,34.51096,0.5878252749454572,0.29141028065152197
76,2002-04-26,3502,0.27,0.004,0.008,0.034,-118.52839,34.38337,0.45648982635849616,0.2741781691472409
77,2002-04-26,3508,0.439,0.011,0.018,0.036,-118.2167,34.03528,0.4905225705057397,0.22716566273196323
78,2002-04-26,3509,0.487,0.003,0.008,0.035,-118.2464,33.78611,0.4872796929633963,0.1935131411901357
79,2002-04-26,3658,0.035,0.003,0.006,0.036,-118.13068,34.66959,0.4999149047209721,0.31283460738499785
80,2002-04-26,3659,0.122,0.001,0.008,0.039,-122.279999,37.786945,0.04685990805025474,0.7338598363091223
81,2002-04-26,3660,0.261,0.001,0.008,0.038,-122.221107,38.053333,0.053290195734554464,0.7698377947651336
82,2002-04-26,3674,0.233,0.001,0.008,0.026,-117.9385,33.83061,0.5208986153636522,0.19952324356446371
