summary_date,site,co_davg,name,obs_count,units 
2017-07-22,2116,0.119,Bishop-White Mountain Research Center,21,Parts Per Million ( ppm ) 
2017-07-22,2923,0.281,Barstow,23,Parts Per Million ( ppm ) 
2017-07-22,3500,0.189,Victorville-14306 Park Avenue,22,Parts Per Million ( ppm ) 
2017-07-22,3779,0.109,Eureka-Humboldt Hill                    ,23,Parts Per Million ( ppm ) 
2017-07-22,3716,0.196,Eureka-Jacobs,23,Parts Per Million ( ppm ) 
2017-07-22,3489,0.163,Salinas-High School,24,Parts Per Million ( ppm ) 
2017-07-22,2484,0.375,Azusa,24,Parts Per Million ( ppm ) 
2017-07-22,3743,0.199,Compton-700 North Bullis Road,24,Parts Per Million ( ppm ) 
2017-07-22,2849,0.255,Glendora-Laurel,24,Parts Per Million ( ppm ) 
2017-07-22,3774,0.138,Long Beach-2425 Webster Street          ,24,Parts Per Million ( ppm ) 
2017-07-22,2899,0.423,Los Angeles-North Main Street,24,Parts Per Million ( ppm ) 
2017-07-22,3683,0.093,Los Angeles-Westchester Parkway,24,Parts Per Million ( ppm ) 
2017-07-22,2160,0.094,Pasadena-S Wilson Avenue,24,Parts Per Million ( ppm ) 
2017-07-22,3693,0.334,Pico Rivera-4144 San Gabriel,24,Parts Per Million ( ppm ) 
2017-07-22,2898,0.303,Pomona,24,Parts Per Million ( ppm ) 
2017-07-22,2420,0.377,Reseda,24,Parts Per Million ( ppm ) 
2017-07-22,3502,0.266,Santa Clarita,24,Parts Per Million ( ppm ) 
2017-07-22,2494,0.314,West Los Angeles-VA Hospital,24,Parts Per Million ( ppm ) 
2017-07-22,3809,0.777,Anaheim-812 W Vermont Street            ,24,Parts Per Million ( ppm ) 
2017-07-22,3674,0.298,Anaheim-Pampas Lane,24,Parts Per Million ( ppm ) 
2017-07-22,2249,0.087,La Habra,24,Parts Per Million ( ppm ) 
2017-07-22,3265,0.064,Mission Viejo-26081 Via Pera,24,Parts Per Million ( ppm ) 
2017-07-22,2943,0.198,Lake Elsinore-W Flint Street,24,Parts Per Million ( ppm ) 
2017-07-22,3702,0.171,Mira Loma Van Buren,24,Parts Per Million ( ppm ) 
2017-07-22,2596,0.248,Riverside-Rubidoux,24,Parts Per Million ( ppm ) 
2017-07-22,2266,0.292,Fontana-Arrow Highway,24,Parts Per Million ( ppm ) 
2017-07-22,3820,0.492,Ontario-NW Corner I-10 and Etiwanda Ave ,24,Parts Per Million ( ppm ) 
2017-07-22,2221,0.363,San Bernardino-4th Street,24,Parts Per Million ( ppm ) 
2017-07-22,3832,0.313,San Bernardino - KVCR Tower,23,Parts Per Million ( ppm ) 
2017-07-22,2485,0.446,Upland,24,Parts Per Million ( ppm ) 
2017-07-22,3153,0.157,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2017-07-22,3101,0.100,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2017-07-22,2360,0.100,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2017-07-22,3486,0.124,Santa Maria-906 S Broadway,23,Parts Per Million ( ppm ) 
2017-07-22,3023,0.022,Vandenberg Air Force Base-STS Power,23,Parts Per Million ( ppm ) 
2017-07-22,3829,0.212,El Cajon-Lexington Elementary School    ,21,Parts Per Million ( ppm ) 
2017-07-22,3821,0.500,San Diego-11403 Rancho Carmel Dr        ,22,Parts Per Million ( ppm ) 
2017-07-22,3828,0.657,Berkeley-Aquatic Park                   ,23,Parts Per Million ( ppm ) 
2017-07-22,3247,0.335,Oakland-9925 International Blvd,23,Parts Per Million ( ppm ) 
2017-07-22,3803,0.367,Oakland-Laney College                   ,22,Parts Per Million ( ppm ) 
2017-07-22,3742,0.500,Oakland-West,23,Parts Per Million ( ppm ) 
2017-07-22,2804,0.428,Bethel Island Road,23,Parts Per Million ( ppm ) 
2017-07-22,2831,0.365,Concord-2956-A Treat Blvd,23,Parts Per Million ( ppm ) 
2017-07-22,3668,0.248,San Pablo-Rumrill Blvd,23,Parts Per Million ( ppm ) 
2017-07-22,2622,0.254,San Rafael,23,Parts Per Million ( ppm ) 
2017-07-22,2655,0.449,Napa-Jefferson Avenue,23,Parts Per Million ( ppm ) 
2017-07-22,2373,0.456,San Francisco-Arkansas Street,23,Parts Per Million ( ppm ) 
2017-07-22,2125,0.339,Redwood City,23,Parts Per Million ( ppm ) 
2017-07-22,3661,0.233,San Jose-Jackson Street,22,Parts Per Million ( ppm ) 
2017-07-22,3810,0.522,San Jose-Knox Avenue                    ,23,Parts Per Million ( ppm ) 
2017-07-22,2410,0.259,Vallejo-304 Tuolumne Street,23,Parts Per Million ( ppm ) 
2017-07-22,3804,0.461,Sebastopol-103 Morris Street            ,23,Parts Per Million ( ppm ) 
2017-07-22,3026,0.315,Clovis-N Villa Avenue,22,Parts Per Million ( ppm ) 
2017-07-22,3781,0.228,Fresno-Garland                          ,24,Parts Per Million ( ppm ) 
2017-07-22,3787,0.249,Bakersfield-Municipal Airport,22,Parts Per Million ( ppm ) 
2017-07-22,2094,0.168,Stockton-Hazelton Street,23,Parts Per Million ( ppm ) 
2017-07-22,2833,0.218,Modesto-14th Street,23,Parts Per Million ( ppm ) 
2017-07-22,3135,0.159,Calexico-Ethel Street,23,Parts Per Million ( ppm ) 
2017-07-22,2199,0.057,Palm Springs-Fire Station,24,Parts Per Million ( ppm ) 
2017-07-22,3783,0.219,Chico-East Avenue                       ,23,Parts Per Million ( ppm ) 
2017-07-22,2123,0.306,North Highlands-Blackfoot Way,23,Parts Per Million ( ppm ) 
