summary_date,site,no2_davg,name,obs_count,units 
2002-05-08,2948,0.009,South Lake Tahoe-Sandy Way,23,Parts Per Million ( ppm ) 
2002-05-08,3487,0.001,Echo Summit,23,Parts Per Million ( ppm ) 
2002-05-08,3121,0.005,Mojave-923 Poole Street,23,Parts Per Million ( ppm ) 
2002-05-08,3658,0.010,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ) 
2002-05-08,2923,0.014,Barstow,22,Parts Per Million ( ppm ) 
2002-05-08,3215,0.002,Trona-Athol and Telegraph,21,Parts Per Million ( ppm ) 
2002-05-08,3500,0.017,Victorville-14306 Park Avenue,22,Parts Per Million ( ppm ) 
2002-05-08,3202,0.024,Mexicali-CBTIS,22,Parts Per Million ( ppm ) 
2002-05-08,3201,0.020,Mexicali-UABC,23,Parts Per Million ( ppm ) 
2002-05-08,3183,0.007,Rosarito,22,Parts Per Million ( ppm ) 
2002-05-08,3255,0.017,Tecate-Paseo Morelos,23,Parts Per Million ( ppm ) 
2002-05-08,3138,0.010,Tijuana-ITT,22,Parts Per Million ( ppm ) 
2002-05-08,3141,0.013,Tijuana-La Mesa,21,Parts Per Million ( ppm ) 
2002-05-08,3178,0.011,Tijuana-Las Playas,21,Parts Per Million ( ppm ) 
2002-05-08,3010,0.010,Ukiah-E Gobbi Street,22,Parts Per Million ( ppm ) 
2002-05-08,3116,0.007,Willits-899 S Main Street,24,Parts Per Million ( ppm ) 
2002-05-08,3489,0.006,Salinas-High School,23,Parts Per Million ( ppm ) 
2002-05-08,2329,0.006,Davenport,24,Parts Per Million ( ppm ) 
2002-05-08,2484,0.032,Azusa,23,Parts Per Million ( ppm ) 
2002-05-08,2492,0.030,Burbank-W Palm Avenue,23,Parts Per Million ( ppm ) 
2002-05-08,2849,0.026,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2002-05-08,2045,0.007,Hawthorne,23,Parts Per Million ( ppm ) 
2002-05-08,3508,0.030,Los Angeles-651 Mott Street,23,Parts Per Million ( ppm ) 
2002-05-08,2899,0.022,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2002-05-08,2583,0.031,Lynwood,23,Parts Per Million ( ppm ) 
2002-05-08,2429,0.020,North Long Beach,23,Parts Per Million ( ppm ) 
2002-05-08,2160,0.023,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2002-05-08,2166,0.028,Pico Rivera,23,Parts Per Million ( ppm ) 
2002-05-08,2898,0.035,Pomona,23,Parts Per Million ( ppm ) 
2002-05-08,2420,0.017,Reseda,23,Parts Per Million ( ppm ) 
2002-05-08,3502,0.023,Santa Clarita,23,Parts Per Million ( ppm ) 
2002-05-08,2494,0.011,West Los Angeles-VA Hospital,23,Parts Per Million ( ppm ) 
2002-05-08,3509,0.015,Wilmington-1115 N.Mahar Avenue,23,Parts Per Million ( ppm ) 
2002-05-08,3674,0.011,Anaheim-Pampas Lane,23,Parts Per Million ( ppm ) 
2002-05-08,2937,0.006,Costa Mesa-Mesa Verde Drive,23,Parts Per Million ( ppm ) 
2002-05-08,2249,0.023,La Habra,23,Parts Per Million ( ppm ) 
2002-05-08,3168,0.011,Banning Airport,23,Parts Per Million ( ppm ) 
2002-05-08,2943,0.007,Lake Elsinore-W Flint Street,23,Parts Per Million ( ppm ) 
2002-05-08,2596,0.013,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2002-05-08,2221,0.026,San Bernardino-4th Street,23,Parts Per Million ( ppm ) 
2002-05-08,2485,0.027,Upland,23,Parts Per Million ( ppm ) 
2002-05-08,2965,0.009,Atascadero-Lewis Avenue,23,Parts Per Million ( ppm ) 
2002-05-08,2671,0.002,Grover City-Lesage Drive,23,Parts Per Million ( ppm ) 
2002-05-08,2321,0.005,Morro Bay,21,Parts Per Million ( ppm ) 
2002-05-08,3251,0.004,Nipomo-Regional Park,23,Parts Per Million ( ppm ) 
2002-05-08,2709,0.006,San Luis Obispo-Marsh Street,23,Parts Per Million ( ppm ) 
2002-05-08,3003,0.001,Carpinteria-Gobernador Road,23,Parts Per Million ( ppm ) 
2002-05-08,2008,0.006,El Capitan Beach,23,Parts Per Million ( ppm ) 
2002-05-08,2954,0.007,Gaviota-GTC Site B,23,Parts Per Million ( ppm ) 
2002-05-08,3153,0.010,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2002-05-08,3101,0.003,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2002-05-08,2360,0.002,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
