summary_date,site,no2_davg,name,obs_count,units 
2001-01-01,2948,0.025,South Lake Tahoe-Sandy Way,23,Parts Per Million ( ppm ) 
2001-01-01,3487,0.002,Echo Summit,23,Parts Per Million ( ppm ) 
2001-01-01,3121,0.019,Mojave-923 Poole Street,23,Parts Per Million ( ppm ) 
2001-01-01,3007,0.021,Lancaster-W Pondera Street,23,Parts Per Million ( ppm ) 
2001-01-01,2923,0.036,Barstow,22,Parts Per Million ( ppm ) 
2001-01-01,3215,0.010,Trona-Athol and Telegraph,22,Parts Per Million ( ppm ) 
2001-01-01,3500,0.024,Victorville-14306 Park Avenue,22,Parts Per Million ( ppm ) 
2001-01-01,3202,0.040,Mexicali-CBTIS,23,Parts Per Million ( ppm ) 
2001-01-01,3203,0.037,Mexicali-Cobach,23,Parts Per Million ( ppm ) 
2001-01-01,3185,0.044,Mexicali-ITM,23,Parts Per Million ( ppm ) 
2001-01-01,3201,0.041,Mexicali-UABC,23,Parts Per Million ( ppm ) 
2001-01-01,3255,0.009,Tecate-Paseo Morelos,23,Parts Per Million ( ppm ) 
2001-01-01,3141,0.044,Tijuana-La Mesa,23,Parts Per Million ( ppm ) 
2001-01-01,3178,0.033,Tijuana-Las Playas,23,Parts Per Million ( ppm ) 
2001-01-01,3010,0.012,Ukiah-E Gobbi Street,23,Parts Per Million ( ppm ) 
2001-01-01,3116,0.007,Willits-899 S Main Street,22,Parts Per Million ( ppm ) 
2001-01-01,3489,0.012,Salinas-High School,24,Parts Per Million ( ppm ) 
2001-01-01,2329,0.006,Davenport,24,Parts Per Million ( ppm ) 
2001-01-01,3481,0.010,Incline Village-846 Tahoe Blvd,23,Parts Per Million ( ppm ) 
2001-01-01,2484,0.040,Azusa,23,Parts Per Million ( ppm ) 
2001-01-01,2492,0.057,Burbank-W Palm Avenue,23,Parts Per Million ( ppm ) 
2001-01-01,2849,0.015,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2001-01-01,2045,0.058,Hawthorne,23,Parts Per Million ( ppm ) 
2001-01-01,2899,0.065,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2001-01-01,2583,0.055,Lynwood,23,Parts Per Million ( ppm ) 
2001-01-01,2429,0.063,North Long Beach,23,Parts Per Million ( ppm ) 
2001-01-01,2160,0.040,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2001-01-01,2166,0.059,Pico Rivera,23,Parts Per Million ( ppm ) 
2001-01-01,2898,0.038,Pomona,23,Parts Per Million ( ppm ) 
2001-01-01,2420,0.034,Reseda,23,Parts Per Million ( ppm ) 
2001-01-01,2855,0.019,Santa Clarita-County Fire Station,23,Parts Per Million ( ppm ) 
2001-01-01,2494,0.059,West Los Angeles-VA Hospital,23,Parts Per Million ( ppm ) 
2001-01-01,2623,0.061,Anaheim-Harbor Blvd,23,Parts Per Million ( ppm ) 
2001-01-01,2937,0.051,Costa Mesa-Mesa Verde Drive,23,Parts Per Million ( ppm ) 
2001-01-01,2249,0.048,La Habra,23,Parts Per Million ( ppm ) 
2001-01-01,3168,0.024,Banning Airport,23,Parts Per Million ( ppm ) 
2001-01-01,2943,0.021,Lake Elsinore-W Flint Street,23,Parts Per Million ( ppm ) 
2001-01-01,2596,0.022,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2001-01-01,2266,0.035,Fontana-Arrow Highway,23,Parts Per Million ( ppm ) 
2001-01-01,2221,0.023,San Bernardino-4th Street,23,Parts Per Million ( ppm ) 
2001-01-01,2485,0.032,Upland,23,Parts Per Million ( ppm ) 
2001-01-01,2965,0.028,Atascadero-Lewis Avenue,23,Parts Per Million ( ppm ) 
2001-01-01,2671,0.020,Grover City-Lesage Drive,23,Parts Per Million ( ppm ) 
2001-01-01,3251,0.009,Nipomo-Regional Park,23,Parts Per Million ( ppm ) 
2001-01-01,2709,0.025,San Luis Obispo-Marsh Street,23,Parts Per Million ( ppm ) 
2001-01-01,3003,0.008,Carpinteria-Gobernador Road,23,Parts Per Million ( ppm ) 
2001-01-01,2008,0.018,El Capitan Beach,23,Parts Per Million ( ppm ) 
2001-01-01,2954,0.007,Gaviota-GTC Site B,23,Parts Per Million ( ppm ) 
2001-01-01,3153,0.024,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2001-01-01,3101,0.012,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2001-01-01,2992,0.004,Lompoc-HSandP,23,Parts Per Million ( ppm ) 
2001-01-01,2360,0.013,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2001-01-01,2957,0.003,Paradise Road-Los Padres National Forest,23,Parts Per Million ( ppm ) 
2001-01-01,3023,0.004,Vandenberg Air Force Base-STS Power,23,Parts Per Million ( ppm ) 
2001-01-01,2991,0.019,El Rio-Rio Mesa School #2,23,Parts Per Million ( ppm ) 
2001-01-01,3172,0.012,Ojai-Ojai Avenue,23,Parts Per Million ( ppm ) 
2001-01-01,2880,0.021,Simi Valley-Cochran Street,23,Parts Per Million ( ppm ) 
