summary_date,site,no2_davg,name,obs_count,units 
2016-04-15,3658,0.002,Lancaster-43301 Division Street,22,Parts Per Million ( ppm ) 
2016-04-15,2923,0.005,Barstow,23,Parts Per Million ( ppm ) 
2016-04-15,3215,0.000,Trona-Athol and Telegraph,22,Parts Per Million ( ppm ) 
2016-04-15,3500,0.000,Victorville-14306 Park Avenue,22,Parts Per Million ( ppm ) 
2016-04-15,3779,0.001,Eureka-Humboldt Hill                    ,24,Parts Per Million ( ppm ) 
2016-04-15,3716,0.003,Eureka-Jacobs,24,Parts Per Million ( ppm ) 
2016-04-15,3489,0.005,Salinas-High School,24,Parts Per Million ( ppm ) 
2016-04-15,2484,0.010,Azusa,23,Parts Per Million ( ppm ) 
2016-04-15,3743,0.014,Compton-700 North Bullis Road,22,Parts Per Million ( ppm ) 
2016-04-15,2849,0.006,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2016-04-15,3774,0.014,Long Beach-2425 Webster Street          ,23,Parts Per Million ( ppm ) 
2016-04-15,3818,0.025,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ) 
2016-04-15,2899,0.012,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2016-04-15,3683,0.003,Los Angeles-Westchester Parkway,23,Parts Per Million ( ppm ) 
2016-04-15,2160,0.005,Pasadena-S Wilson Avenue,22,Parts Per Million ( ppm ) 
2016-04-15,3693,0.018,Pico Rivera-4144 San Gabriel,23,Parts Per Million ( ppm ) 
2016-04-15,2898,0.017,Pomona,23,Parts Per Million ( ppm ) 
2016-04-15,2420,0.004,Reseda,23,Parts Per Million ( ppm ) 
2016-04-15,3502,0.003,Santa Clarita,20,Parts Per Million ( ppm ) 
2016-04-15,2494,0.004,West Los Angeles-VA Hospital,22,Parts Per Million ( ppm ) 
2016-04-15,3674,0.012,Anaheim-Pampas Lane,23,Parts Per Million ( ppm ) 
2016-04-15,2937,0.006,Costa Mesa-Mesa Verde Drive,23,Parts Per Million ( ppm ) 
2016-04-15,2249,0.014,La Habra,23,Parts Per Million ( ppm ) 
2016-04-15,3168,0.002,Banning Airport,23,Parts Per Million ( ppm ) 
2016-04-15,2943,0.002,Lake Elsinore-W Flint Street,21,Parts Per Million ( ppm ) 
2016-04-15,3702,0.006,Mira Loma Van Buren,20,Parts Per Million ( ppm ) 
2016-04-15,2596,0.006,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2016-04-15,2266,0.008,Fontana-Arrow Highway,23,Parts Per Million ( ppm ) 
2016-04-15,3820,0.017,Ontario-NW Corner I-10 and Etiwanda Ave ,24,Parts Per Million ( ppm ) 
2016-04-15,3819,0.022,Ontario-Route 60 Near Road              ,24,Parts Per Million ( ppm ) 
2016-04-15,2221,0.009,San Bernardino-4th Street,23,Parts Per Million ( ppm ) 
2016-04-15,3812,0.001,Atascadero-Lift Station #5              ,23,Parts Per Million ( ppm ) 
2016-04-15,3251,0.002,Nipomo-Regional Park,20,Parts Per Million ( ppm ) 
2016-04-15,3003,0.000,Carpinteria-Gobernador Road,23,Parts Per Million ( ppm ) 
2016-04-15,2008,0.002,El Capitan Beach,23,Parts Per Million ( ppm ) 
2016-04-15,2954,0.002,Gaviota-GTC Site B,23,Parts Per Million ( ppm ) 
2016-04-15,3153,0.000,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2016-04-15,3101,0.000,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2016-04-15,2992,0.001,Lompoc-HSandP,23,Parts Per Million ( ppm ) 
2016-04-15,2360,0.002,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2016-04-15,2957,0.000,Paradise Road-Los Padres National Forest,22,Parts Per Million ( ppm ) 
2016-04-15,3665,0.003,Santa Barbara-700 East Canon Perdido,23,Parts Per Million ( ppm ) 
2016-04-15,3486,0.008,Santa Maria-906 S Broadway,23,Parts Per Million ( ppm ) 
2016-04-15,3023,0.000,Vandenberg Air Force Base-STS Power,23,Parts Per Million ( ppm ) 
2016-04-15,2991,0.006,El Rio-Rio Mesa School #2,23,Parts Per Million ( ppm ) 
