summary_date,site,no_davg,name,obs_count,units 
2004-10-08,3487,0.000,Echo Summit,23,Parts Per Million ( ppm ) 
2004-10-08,3664,0.000,Yosemite National Park-Merced River,22,Parts Per Million ( ppm ) 
2004-10-08,3121,0.001,Mojave-923 Poole Street,23,Parts Per Million ( ppm ) 
2004-10-08,3658,0.017,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ) 
2004-10-08,2923,0.038,Barstow,23,Parts Per Million ( ppm ) 
2004-10-08,3215,0.001,Trona-Athol and Telegraph,23,Parts Per Million ( ppm ) 
2004-10-08,3500,0.051,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2004-10-08,3185,0.113,Mexicali-ITM,23,Parts Per Million ( ppm ) 
2004-10-08,3201,0.140,Mexicali-UABC,21,Parts Per Million ( ppm ) 
2004-10-08,3183,0.012,Rosarito,23,Parts Per Million ( ppm ) 
2004-10-08,3255,0.007,Tecate-Paseo Morelos,20,Parts Per Million ( ppm ) 
2004-10-08,3178,0.005,Tijuana-Las Playas,24,Parts Per Million ( ppm ) 
2004-10-08,2329,0.003,Davenport,24,Parts Per Million ( ppm ) 
2004-10-08,2484,0.065,Azusa,23,Parts Per Million ( ppm ) 
2004-10-08,2492,0.073,Burbank-W Palm Avenue,23,Parts Per Million ( ppm ) 
2004-10-08,2849,0.020,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2004-10-08,2899,0.084,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2004-10-08,3683,0.011,Los Angeles-Westchester Parkway,23,Parts Per Million ( ppm ) 
2004-10-08,2583,0.042,Lynwood,23,Parts Per Million ( ppm ) 
2004-10-08,2429,0.042,North Long Beach,23,Parts Per Million ( ppm ) 
2004-10-08,2160,0.047,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2004-10-08,2166,0.077,Pico Rivera,23,Parts Per Million ( ppm ) 
2004-10-08,2898,0.081,Pomona,23,Parts Per Million ( ppm ) 
2004-10-08,2420,0.033,Reseda,23,Parts Per Million ( ppm ) 
2004-10-08,3502,0.019,Santa Clarita,23,Parts Per Million ( ppm ) 
2004-10-08,2494,0.014,West Los Angeles-VA Hospital,23,Parts Per Million ( ppm ) 
2004-10-08,3674,0.021,Anaheim-Pampas Lane,23,Parts Per Million ( ppm ) 
2004-10-08,2937,0.022,Costa Mesa-Mesa Verde Drive,23,Parts Per Million ( ppm ) 
2004-10-08,2249,0.042,La Habra,23,Parts Per Million ( ppm ) 
2004-10-08,3168,0.036,Banning Airport,23,Parts Per Million ( ppm ) 
2004-10-08,2943,0.025,Lake Elsinore-W Flint Street,23,Parts Per Million ( ppm ) 
2004-10-08,2596,0.070,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2004-10-08,2266,0.038,Fontana-Arrow Highway,23,Parts Per Million ( ppm ) 
2004-10-08,2221,0.043,San Bernardino-4th Street,23,Parts Per Million ( ppm ) 
2004-10-08,2485,0.026,Upland,22,Parts Per Million ( ppm ) 
2004-10-08,2965,0.013,Atascadero-Lewis Avenue,23,Parts Per Million ( ppm ) 
2004-10-08,2671,0.005,Grover City-Lesage Drive,23,Parts Per Million ( ppm ) 
2004-10-08,2321,0.003,Morro Bay,23,Parts Per Million ( ppm ) 
2004-10-08,3251,0.006,Nipomo-Regional Park,23,Parts Per Million ( ppm ) 
2004-10-08,2709,0.008,San Luis Obispo-Marsh Street,23,Parts Per Million ( ppm ) 
2004-10-08,3003,0.000,Carpinteria-Gobernador Road,23,Parts Per Million ( ppm ) 
2004-10-08,2008,0.002,El Capitan Beach,23,Parts Per Million ( ppm ) 
2004-10-08,2954,0.003,Gaviota-GTC Site B,23,Parts Per Million ( ppm ) 
2004-10-08,3153,0.003,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2004-10-08,3101,0.000,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2004-10-08,2992,0.000,Lompoc-HSandP,23,Parts Per Million ( ppm ) 
2004-10-08,2360,0.005,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2004-10-08,2957,0.000,Paradise Road-Los Padres National Forest,23,Parts Per Million ( ppm ) 
2004-10-08,3665,0.008,Santa Barbara-700 East Canon Perdido,23,Parts Per Million ( ppm ) 
2004-10-08,3486,0.011,Santa Maria-906 S Broadway,23,Parts Per Million ( ppm ) 
2004-10-08,3023,0.000,Vandenberg Air Force Base-STS Power,23,Parts Per Million ( ppm ) 
2004-10-08,2991,0.009,El Rio-Rio Mesa School #2,22,Parts Per Million ( ppm ) 
2004-10-08,2880,0.023,Simi Valley-Cochran Street,22,Parts Per Million ( ppm ) 
2004-10-08,2460,0.002,Alpine-Victoria Drive,23,Parts Per Million ( ppm ) 
2004-10-08,3198,0.002,Camp Pendleton,24,Parts Per Million ( ppm ) 
