summary_date,site,no_davg,name,obs_count,units 
2003-02-01,2948,0.001,South Lake Tahoe-Sandy Way,23,Parts Per Million ( ppm ) 
2003-02-01,3669,0.001,Tahoe City-Lake Forest Road,23,Parts Per Million ( ppm ) 
2003-02-01,3487,0.002,Echo Summit,23,Parts Per Million ( ppm ) 
2003-02-01,3121,0.005,Mojave-923 Poole Street,23,Parts Per Million ( ppm ) 
2003-02-01,3658,0.018,Lancaster-43301 Division Street,22,Parts Per Million ( ppm ) 
2003-02-01,2923,0.072,Barstow,23,Parts Per Million ( ppm ) 
2003-02-01,3215,0.004,Trona-Athol and Telegraph,23,Parts Per Million ( ppm ) 
2003-02-01,3500,0.043,Victorville-14306 Park Avenue,22,Parts Per Million ( ppm ) 
2003-02-01,3203,0.096,Mexicali-Cobach,23,Parts Per Million ( ppm ) 
2003-02-01,3185,0.066,Mexicali-ITM,23,Parts Per Million ( ppm ) 
2003-02-01,3201,0.092,Mexicali-UABC,23,Parts Per Million ( ppm ) 
2003-02-01,3183,0.005,Rosarito,23,Parts Per Million ( ppm ) 
2003-02-01,3255,0.009,Tecate-Paseo Morelos,23,Parts Per Million ( ppm ) 
2003-02-01,3138,0.007,Tijuana-ITT,23,Parts Per Million ( ppm ) 
2003-02-01,3141,0.056,Tijuana-La Mesa,23,Parts Per Million ( ppm ) 
2003-02-01,3178,0.012,Tijuana-Las Playas,23,Parts Per Million ( ppm ) 
2003-02-01,3489,0.004,Salinas-High School,23,Parts Per Million ( ppm ) 
2003-02-01,2329,0.003,Davenport,22,Parts Per Million ( ppm ) 
2003-02-01,2484,0.023,Azusa,23,Parts Per Million ( ppm ) 
2003-02-01,2492,0.092,Burbank-W Palm Avenue,23,Parts Per Million ( ppm ) 
2003-02-01,2849,0.005,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2003-02-01,2045,0.120,Hawthorne,23,Parts Per Million ( ppm ) 
2003-02-01,2899,0.072,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2003-02-01,2583,0.166,Lynwood,23,Parts Per Million ( ppm ) 
2003-02-01,2429,0.075,North Long Beach,23,Parts Per Million ( ppm ) 
2003-02-01,2160,0.028,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2003-02-01,2166,0.112,Pico Rivera,23,Parts Per Million ( ppm ) 
2003-02-01,2898,0.078,Pomona,23,Parts Per Million ( ppm ) 
2003-02-01,2420,0.056,Reseda,23,Parts Per Million ( ppm ) 
2003-02-01,3502,0.017,Santa Clarita,23,Parts Per Million ( ppm ) 
2003-02-01,2494,0.039,West Los Angeles-VA Hospital,23,Parts Per Million ( ppm ) 
2003-02-01,3674,0.058,Anaheim-Pampas Lane,24,Parts Per Million ( ppm ) 
2003-02-01,2937,0.039,Costa Mesa-Mesa Verde Drive,23,Parts Per Million ( ppm ) 
2003-02-01,2249,0.044,La Habra,23,Parts Per Million ( ppm ) 
2003-02-01,3168,0.019,Banning Airport,23,Parts Per Million ( ppm ) 
2003-02-01,2943,0.021,Lake Elsinore-W Flint Street,23,Parts Per Million ( ppm ) 
2003-02-01,2596,0.073,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2003-02-01,2266,0.030,Fontana-Arrow Highway,23,Parts Per Million ( ppm ) 
2003-02-01,2221,0.046,San Bernardino-4th Street,23,Parts Per Million ( ppm ) 
2003-02-01,2485,0.012,Upland,23,Parts Per Million ( ppm ) 
2003-02-01,2965,0.017,Atascadero-Lewis Avenue,23,Parts Per Million ( ppm ) 
2003-02-01,2671,0.007,Grover City-Lesage Drive,23,Parts Per Million ( ppm ) 
2003-02-01,2321,0.004,Morro Bay,23,Parts Per Million ( ppm ) 
2003-02-01,3251,0.005,Nipomo-Regional Park,23,Parts Per Million ( ppm ) 
2003-02-01,2008,0.004,El Capitan Beach,21,Parts Per Million ( ppm ) 
2003-02-01,2954,0.002,Gaviota-GTC Site B,21,Parts Per Million ( ppm ) 
2003-02-01,3153,0.005,Goleta-Fairview,20,Parts Per Million ( ppm ) 
2003-02-01,3101,0.001,Las Flores Canyon #1,21,Parts Per Million ( ppm ) 
2003-02-01,2992,0.000,Lompoc-HSandP,23,Parts Per Million ( ppm ) 
2003-02-01,2360,0.002,Lompoc-S H Street,21,Parts Per Million ( ppm ) 
2003-02-01,2957,0.000,Paradise Road-Los Padres National Forest,23,Parts Per Million ( ppm ) 
2003-02-01,3486,0.008,Santa Maria-906 S Broadway,23,Parts Per Million ( ppm ) 
2003-02-01,3023,0.000,Vandenberg Air Force Base-STS Power,22,Parts Per Million ( ppm ) 
2003-02-01,2991,0.005,El Rio-Rio Mesa School #2,21,Parts Per Million ( ppm ) 
2003-02-01,3172,0.003,Ojai-Ojai Avenue,23,Parts Per Million ( ppm ) 
2003-02-01,2880,0.024,Simi Valley-Cochran Street,23,Parts Per Million ( ppm ) 
2003-02-01,2984,0.011,Thousand Oaks-Moorpark Road,23,Parts Per Million ( ppm ) 
2003-02-01,2088,0.007,Ventura-Emma Wood State Beach,22,Parts Per Million ( ppm ) 
2003-02-01,2460,0.003,Alpine-Victoria Drive,23,Parts Per Million ( ppm ) 
2003-02-01,3198,0.008,Camp Pendleton,24,Parts Per Million ( ppm ) 
2003-02-01,2589,0.017,Chula Vista,23,Parts Per Million ( ppm ) 
2003-02-01,2327,0.039,El Cajon-Redwood Avenue,23,Parts Per Million ( ppm ) 
2003-02-01,2263,0.032,Escondido-E Valley Parkway,24,Parts Per Million ( ppm ) 
2003-02-01,2933,0.013,Otay Mesa-Paseo International,23,Parts Per Million ( ppm ) 
2003-02-01,2964,0.033,San Diego-12th Avenue,23,Parts Per Million ( ppm ) 
2003-02-01,2040,0.010,San Diego-Overland Avenue,23,Parts Per Million ( ppm ) 
2003-02-01,2293,0.010,Fremont-Chapel Way,23,Parts Per Million ( ppm ) 
2003-02-01,3490,0.012,Livermore-793 Rincon Avenue,23,Parts Per Million ( ppm ) 
2003-02-01,3659,0.011,Oakland-6701 International Blvd,23,Parts Per Million ( ppm ) 
2003-02-01,2804,0.002,Bethel Island Road,23,Parts Per Million ( ppm ) 
2003-02-01,2831,0.007,Concord-2956-A Treat Blvd,23,Parts Per Million ( ppm ) 
2003-02-01,2102,0.006,Pittsburg-10th Street,23,Parts Per Million ( ppm ) 
2003-02-01,3668,0.004,San Pablo-Rumrill Blvd,23,Parts Per Million ( ppm ) 
2003-02-01,2622,0.011,San Rafael,23,Parts Per Million ( ppm ) 
2003-02-01,2655,0.008,Napa-Jefferson Avenue,23,Parts Per Million ( ppm ) 
2003-02-01,2373,0.004,San Francisco-Arkansas Street,23,Parts Per Million ( ppm ) 
2003-02-01,2125,0.006,Redwood City,23,Parts Per Million ( ppm ) 
2003-02-01,3661,0.012,San Jose-Jackson Street,23,Parts Per Million ( ppm ) 
2003-02-01,2410,0.004,Vallejo-304 Tuolumne Street,23,Parts Per Million ( ppm ) 
2003-02-01,2105,0.003,Santa Rosa-5th Street,23,Parts Per Million ( ppm ) 
2003-02-01,3026,0.003,Clovis-N Villa Avenue,23,Parts Per Million ( ppm ) 
2003-02-01,3009,0.005,Fresno-1st Street,23,Parts Per Million ( ppm ) 
2003-02-01,2013,0.006,Fresno-Drummond Street,23,Parts Per Million ( ppm ) 
2003-02-01,3666,0.005,Fresno-Fremont School,23,Parts Per Million ( ppm ) 
2003-02-01,3667,0.002,Fresno-Mobile,23,Parts Per Million ( ppm ) 
2003-02-01,2844,0.001,Fresno-Sierra Skypark #2,23,Parts Per Million ( ppm ) 
2003-02-01,2114,0.003,Parlier,23,Parts Per Million ( ppm ) 
2003-02-01,2941,0.006,Arvin-Bear Mountain Blvd,23,Parts Per Million ( ppm ) 
2003-02-01,3146,0.009,Bakersfield-5558 California Avenue,23,Parts Per Million ( ppm ) 
2003-02-01,3145,0.016,Bakersfield-Golden State Highway,23,Parts Per Million ( ppm ) 
2003-02-01,2312,0.019,Edison,23,Parts Per Million ( ppm ) 
2003-02-01,2772,0.013,Oildale-3311 Manor Street,23,Parts Per Million ( ppm ) 
2003-02-01,2981,0.004,Shafter-Walker Street,23,Parts Per Million ( ppm ) 
2003-02-01,3129,0.003,Hanford-S Irwin Street,23,Parts Per Million ( ppm ) 
2003-02-01,3211,0.001,Madera-Pump Yard,23,Parts Per Million ( ppm ) 
2003-02-01,3022,0.001,Merced-S Coffee Avenue,23,Parts Per Million ( ppm ) 
2003-02-01,2094,0.009,Stockton-Hazelton Street,23,Parts Per Million ( ppm ) 
2003-02-01,3159,0.003,Tracy-24371 Patterson Pass Road,23,Parts Per Million ( ppm ) 
2003-02-01,2833,0.006,Modesto-14th Street,23,Parts Per Million ( ppm ) 
2003-02-01,2996,0.003,Turlock-S Minaret Street,23,Parts Per Million ( ppm ) 
2003-02-01,2032,0.004,Visalia-N Church Street,23,Parts Per Million ( ppm ) 
2003-02-01,3173,0.042,Calexico-East,23,Parts Per Million ( ppm ) 
2003-02-01,3135,0.054,Calexico-Ethel Street,23,Parts Per Million ( ppm ) 
2003-02-01,2551,0.006,El Centro-9th Street,23,Parts Per Million ( ppm ) 
2003-02-01,2199,0.008,Palm Springs-Fire Station,23,Parts Per Million ( ppm ) 
2003-02-01,2115,0.004,Chico-Manzanita Avenue,23,Parts Per Million ( ppm ) 
2003-02-01,2956,0.007,Roseville-N Sunrise Blvd,23,Parts Per Million ( ppm ) 
2003-02-01,2977,0.002,Elk Grove-Bruceville Road,23,Parts Per Million ( ppm ) 
2003-02-01,3187,0.001,Folsom-Natoma Street,23,Parts Per Million ( ppm ) 
2003-02-01,2123,0.003,North Highlands-Blackfoot Way,23,Parts Per Million ( ppm ) 
2003-02-01,3223,0.006,Sacramento-3801 Airport Road,23,Parts Per Million ( ppm ) 
2003-02-01,2731,0.002,Sacramento-Del Paso Manor,23,Parts Per Million ( ppm ) 
2003-02-01,3011,0.009,Sacramento-T Street,23,Parts Per Million ( ppm ) 
2003-02-01,2958,0.004,Yuba City-Almond Street,23,Parts Per Million ( ppm ) 
2003-02-01,2143,0.003,Davis-UCD Campus,23,Parts Per Million ( ppm ) 
2003-02-02,2948,0.003,South Lake Tahoe-Sandy Way,23,Parts Per Million ( ppm ) 
2003-02-02,3669,0.003,Tahoe City-Lake Forest Road,23,Parts Per Million ( ppm ) 
2003-02-02,3487,0.003,Echo Summit,23,Parts Per Million ( ppm ) 
2003-02-02,3121,0.001,Mojave-923 Poole Street,23,Parts Per Million ( ppm ) 
2003-02-02,3658,0.004,Lancaster-43301 Division Street,22,Parts Per Million ( ppm ) 
2003-02-02,2923,0.005,Barstow,23,Parts Per Million ( ppm ) 
2003-02-02,3215,0.000,Trona-Athol and Telegraph,23,Parts Per Million ( ppm ) 
2003-02-02,3500,0.012,Victorville-14306 Park Avenue,22,Parts Per Million ( ppm ) 
2003-02-02,3203,0.033,Mexicali-Cobach,23,Parts Per Million ( ppm ) 
2003-02-02,3185,0.040,Mexicali-ITM,23,Parts Per Million ( ppm ) 
2003-02-02,3201,0.049,Mexicali-UABC,23,Parts Per Million ( ppm ) 
2003-02-02,3183,0.004,Rosarito,23,Parts Per Million ( ppm ) 
2003-02-02,3255,0.004,Tecate-Paseo Morelos,23,Parts Per Million ( ppm ) 
2003-02-02,3138,0.005,Tijuana-ITT,23,Parts Per Million ( ppm ) 
2003-02-02,3141,0.015,Tijuana-La Mesa,23,Parts Per Million ( ppm ) 
2003-02-02,3178,0.002,Tijuana-Las Playas,23,Parts Per Million ( ppm ) 
2003-02-02,3489,0.003,Salinas-High School,23,Parts Per Million ( ppm ) 
2003-02-02,2329,0.001,Davenport,22,Parts Per Million ( ppm ) 
2003-02-02,2484,0.002,Azusa,23,Parts Per Million ( ppm ) 
2003-02-02,2492,0.012,Burbank-W Palm Avenue,23,Parts Per Million ( ppm ) 
2003-02-02,2849,0.000,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2003-02-02,2045,0.033,Hawthorne,23,Parts Per Million ( ppm ) 
2003-02-02,2899,0.039,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2003-02-02,2583,0.063,Lynwood,23,Parts Per Million ( ppm ) 
2003-02-02,2429,0.021,North Long Beach,23,Parts Per Million ( ppm ) 
2003-02-02,2160,0.025,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2003-02-02,2166,0.038,Pico Rivera,23,Parts Per Million ( ppm ) 
2003-02-02,2898,0.033,Pomona,23,Parts Per Million ( ppm ) 
2003-02-02,2420,0.001,Reseda,23,Parts Per Million ( ppm ) 
