summary_date,site,ozone_davg,name,obs_count,units 
2006-03-22,3151,0.048,Death Valley Natl Monument,23,Parts Per Million ( ppm ) 
2006-03-22,2914,0.026,Lakeport-Lakeport Blvd,23,Parts Per Million ( ppm ) 
2006-03-22,2993,0.019,Jackson-Clinton Road,23,Parts Per Million ( ppm ) 
2006-03-22,3144,0.024,San Andreas-Gold Strike Road,23,Parts Per Million ( ppm ) 
2006-03-22,3017,0.039,Placerville-Gold Nugget Way,23,Parts Per Million ( ppm ) 
2006-03-22,3018,0.047,Yosemite Natl Park-Turtleback Dome,23,Parts Per Million ( ppm ) 
2006-03-22,3126,0.043,Grass Valley-Litton Building,24,Parts Per Million ( ppm ) 
2006-03-22,3002,0.033,Colfax-City Hall,24,Parts Per Million ( ppm ) 
2006-03-22,3020,0.022,Quincy-N Church Street,24,Parts Per Million ( ppm ) 
2006-03-22,2968,0.021,Sonora-Barretta Street,23,Parts Per Million ( ppm ) 
2006-03-22,3121,0.037,Mojave-923 Poole Street,23,Parts Per Million ( ppm ) 
2006-03-22,3658,0.024,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ) 
2006-03-22,3673,0.028,Blythe-445 West Murphy Street,23,Parts Per Million ( ppm ) 
2006-03-22,2923,0.021,Barstow,23,Parts Per Million ( ppm ) 
2006-03-22,2650,0.028,Hesperia-Olive Street,23,Parts Per Million ( ppm ) 
2006-03-22,3152,0.053,Joshua Tree NP - Black Rock,23,Parts Per Million ( ppm ) 
2006-03-22,2830,0.038,Phelan-Beekley Road and Phelan Road,23,Parts Per Million ( ppm ) 
2006-03-22,3215,0.035,Trona-Athol and Telegraph,22,Parts Per Million ( ppm ) 
2006-03-22,3500,0.021,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2006-03-22,3681,0.034,Mexicali-Carretera,23,Parts Per Million ( ppm ) 
2006-03-22,3203,0.030,Mexicali-Cobach,23,Parts Per Million ( ppm ) 
2006-03-22,3201,0.025,Mexicali-UABC,23,Parts Per Million ( ppm ) 
2006-03-22,3183,0.024,Rosarito,23,Parts Per Million ( ppm ) 
2006-03-22,3138,0.023,Tijuana-ITT,23,Parts Per Million ( ppm ) 
2006-03-22,3141,0.016,Tijuana-La Mesa,23,Parts Per Million ( ppm ) 
2006-03-22,3010,0.023,Ukiah-E Gobbi Street,21,Parts Per Million ( ppm ) 
2006-03-22,3116,0.019,Willits-899 S Main Street,19,Parts Per Million ( ppm ) 
2006-03-22,3033,0.003,Healdsburg-Municipal Airport,24,Parts Per Million ( ppm ) 
2006-03-22,2016,0.024,Carmel Valley-Ford Road,23,Parts Per Million ( ppm ) 
2006-03-22,2894,0.027,King City-750 Metz Road,23,Parts Per Million ( ppm ) 
2006-03-22,3489,0.028,Salinas-High School,24,Parts Per Million ( ppm ) 
2006-03-22,2628,0.028,Hollister-Fairview Road,24,Parts Per Million ( ppm ) 
2006-03-22,2983,0.024,Pinnacles National Monument,23,Parts Per Million ( ppm ) 
2006-03-22,2329,0.026,Davenport,24,Parts Per Million ( ppm ) 
2006-03-22,3200,0.018,Santa Cruz AMS,23,Parts Per Million ( ppm ) 
2006-03-22,3133,0.019,Scotts Valley-Scotts Valley Drive,24,Parts Per Million ( ppm ) 
2006-03-22,2985,0.022,Watsonville-Airport Boulevard,24,Parts Per Million ( ppm ) 
2006-03-22,2752,0.022,Yreka-Foothill Drive,23,Parts Per Million ( ppm ) 
2006-03-22,2484,0.020,Azusa,23,Parts Per Million ( ppm ) 
2006-03-22,2492,0.015,Burbank-W Palm Avenue,23,Parts Per Million ( ppm ) 
2006-03-22,2849,0.022,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2006-03-22,3701,0.023,Lebec-Peace Valley Road,24,Parts Per Million ( ppm ) 
2006-03-22,2899,0.015,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2006-03-22,3683,0.022,Los Angeles-Westchester Parkway,23,Parts Per Million ( ppm ) 
2006-03-22,2583,0.011,Lynwood,23,Parts Per Million ( ppm ) 
2006-03-22,2429,0.018,North Long Beach,23,Parts Per Million ( ppm ) 
2006-03-22,2160,0.017,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2006-03-22,2898,0.012,Pomona,23,Parts Per Million ( ppm ) 
2006-03-22,2420,0.020,Reseda,23,Parts Per Million ( ppm ) 
2006-03-22,3502,0.021,Santa Clarita,23,Parts Per Million ( ppm ) 
2006-03-22,2494,0.019,West Los Angeles-VA Hospital,23,Parts Per Million ( ppm ) 
2006-03-22,3674,0.021,Anaheim-Pampas Lane,23,Parts Per Million ( ppm ) 
2006-03-22,2937,0.024,Costa Mesa-Mesa Verde Drive,23,Parts Per Million ( ppm ) 
2006-03-22,2249,0.029,La Habra,23,Parts Per Million ( ppm ) 
2006-03-22,3265,0.029,Mission Viejo-26081 Via Pera,23,Parts Per Million ( ppm ) 
2006-03-22,3168,0.029,Banning Airport,23,Parts Per Million ( ppm ) 
2006-03-22,2943,0.024,Lake Elsinore-W Flint Street,23,Parts Per Million ( ppm ) 
2006-03-22,2525,0.024,Perris,23,Parts Per Million ( ppm ) 
2006-03-22,2596,0.019,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2006-03-22,2499,0.026,Crestline,23,Parts Per Million ( ppm ) 
2006-03-22,2266,0.014,Fontana-Arrow Highway,23,Parts Per Million ( ppm ) 
2006-03-22,2077,0.022,Redlands-Dearborn,23,Parts Per Million ( ppm ) 
2006-03-22,2221,0.016,San Bernardino-4th Street,23,Parts Per Million ( ppm ) 
2006-03-22,3700,0.052,San Gorgonio Wilderness,24,Parts Per Million ( ppm ) 
2006-03-22,2485,0.017,Upland,23,Parts Per Million ( ppm ) 
2006-03-22,2965,0.020,Atascadero-Lewis Avenue,23,Parts Per Million ( ppm ) 
