summary_date,site,no_davg,name,obs_count,units 
2005-09-22,3664,0.001,Yosemite National Park-Merced River,23,Parts Per Million ( ppm ) 
2005-09-22,3658,0.016,Lancaster-43301 Division Street,22,Parts Per Million ( ppm ) 
2005-09-22,2923,0.031,Barstow,23,Parts Per Million ( ppm ) 
2005-09-22,3215,0.001,Trona-Athol and Telegraph,23,Parts Per Million ( ppm ) 
2005-09-22,3500,0.041,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2005-09-22,3203,0.004,Mexicali-Cobach,21,Parts Per Million ( ppm ) 
2005-09-22,3185,0.015,Mexicali-ITM,23,Parts Per Million ( ppm ) 
2005-09-22,3201,0.017,Mexicali-UABC,22,Parts Per Million ( ppm ) 
2005-09-22,3183,0.011,Rosarito,23,Parts Per Million ( ppm ) 
2005-09-22,3255,0.007,Tecate-Paseo Morelos,23,Parts Per Million ( ppm ) 
2005-09-22,3138,0.016,Tijuana-ITT,23,Parts Per Million ( ppm ) 
2005-09-22,3141,0.036,Tijuana-La Mesa,23,Parts Per Million ( ppm ) 
2005-09-22,3178,0.007,Tijuana-Las Playas,22,Parts Per Million ( ppm ) 
2005-09-22,3489,0.003,Salinas-High School,24,Parts Per Million ( ppm ) 
2005-09-22,2329,0.001,Davenport,24,Parts Per Million ( ppm ) 
2005-09-22,2484,0.036,Azusa,23,Parts Per Million ( ppm ) 
2005-09-22,2492,0.053,Burbank-W Palm Avenue,23,Parts Per Million ( ppm ) 
2005-09-22,2849,0.008,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2005-09-22,2899,0.053,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2005-09-22,3683,0.002,Los Angeles-Westchester Parkway,23,Parts Per Million ( ppm ) 
2005-09-22,2583,0.054,Lynwood,23,Parts Per Million ( ppm ) 
2005-09-22,2429,0.041,North Long Beach,23,Parts Per Million ( ppm ) 
2005-09-22,2160,0.019,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2005-09-22,2898,0.053,Pomona,23,Parts Per Million ( ppm ) 
2005-09-22,2420,0.021,Reseda,23,Parts Per Million ( ppm ) 
2005-09-22,3502,0.014,Santa Clarita,23,Parts Per Million ( ppm ) 
2005-09-22,2494,0.025,West Los Angeles-VA Hospital,23,Parts Per Million ( ppm ) 
2005-09-22,3674,0.037,Anaheim-Pampas Lane,23,Parts Per Million ( ppm ) 
2005-09-22,2937,0.009,Costa Mesa-Mesa Verde Drive,23,Parts Per Million ( ppm ) 
2005-09-22,2249,0.023,La Habra,23,Parts Per Million ( ppm ) 
2005-09-22,3168,0.012,Banning Airport,23,Parts Per Million ( ppm ) 
2005-09-22,2596,0.047,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2005-09-22,2266,0.039,Fontana-Arrow Highway,23,Parts Per Million ( ppm ) 
2005-09-22,2221,0.024,San Bernardino-4th Street,23,Parts Per Million ( ppm ) 
2005-09-22,2485,0.019,Upland,23,Parts Per Million ( ppm ) 
2005-09-22,2965,0.006,Atascadero-Lewis Avenue,23,Parts Per Million ( ppm ) 
