summary_date,site,monitor,pm25_davg,name,obs_count 
2009-11-22,3154,G,7.3,Keeler-Cerro Gordo Road,24 
2009-11-22,2353,A,13.7,Yosemite Village-Visitor Center,24 
2009-11-22,3126,C,4.1,Grass Valley-Litton Building,24 
2009-11-22,2208,D,3.6,Truckee-Fire Station,24 
2009-11-22,3128,C,10.4,Chester-222 1st Avenue,24 
2009-11-22,3494,E,11.9,Portola-161 Nevada Street,24 
2009-11-22,3020,C,16.0,Quincy-N Church Street,24 
2009-11-22,2271,C,9.1,Ukiah-County Library,24 
2009-11-22,3765,A,13.5,Willits-125 E Commercial Street,24 
2009-11-22,2492,C,20.5,Burbank-W Palm Avenue,24 
2009-11-22,2849,A,16.9,Glendora-Laurel,24 
2009-11-22,2899,D,21.3,Los Angeles-North Main Street,23 
2009-11-22,2899,A,14.4,Los Angeles-North Main Street,24 
2009-11-22,2429,E,28.3,North Long Beach,24 
2009-11-22,2429,A,25.2,North Long Beach,24 
2009-11-22,2420,C,16.3,Reseda,24 
2009-11-22,3502,A,5.1,Santa Clarita,22 
2009-11-22,3679,A,20.1,South Long Beach,24 
2009-11-22,3674,B,25.8,Anaheim-Pampas Lane,24 
2009-11-22,3674,A,18.9,Anaheim-Pampas Lane,24 
2009-11-22,3168,A,17.9,Banning Airport,24 
2009-11-22,2943,A,21.5,Lake Elsinore-W Flint Street,24 
2009-11-22,3702,A,35.9,Mira Loma Van Buren,24 
2009-11-22,3702,B,33.7,Mira Loma Van Buren,24 
2009-11-22,2596,G,34.7,Riverside-Rubidoux,24 
2009-11-22,2596,A,31.0,Riverside-Rubidoux,24 
2009-11-22,2499,A,24.1,Crestline,24 
2009-11-22,2485,A,30.6,Upland,24 
2009-11-22,2965,E,8.3,Atascadero-Lewis Avenue,24 
2009-11-22,2979,A,8.0,Nipomo-Guadalupe Road,24 
2009-11-22,2360,B,4.8,Lompoc-S H Street,24 
2009-11-22,3665,C,9.3,Santa Barbara-700 East Canon Perdido,24 
2009-11-22,3486,C,5.7,Santa Maria-906 S Broadway,24 
2009-11-22,2991,C,3.8,El Rio-Rio Mesa School #2,24 
2009-11-22,3172,A,4.2,Ojai-Ojai Avenue,24 
2009-11-22,3505,B,1.8,Piru-3301 Pacific Avenue,24 
2009-11-22,2880,C,6.0,Simi Valley-Cochran Street,24 
2009-11-22,2460,A,13.7,Alpine-Victoria Drive,24 
2009-11-22,3198,B,12.1,Camp Pendleton,24 
2009-11-22,2327,D,17.4,El Cajon-Redwood Avenue,24 
2009-11-22,2263,C,14.6,Escondido-E Valley Parkway,24 
2009-11-22,2263,E,19.9,Escondido-E Valley Parkway,24 
2009-11-22,3690,A,16.8,San Diego-1110 Beardsley Street,24 
2009-11-22,3690,B,18.6,San Diego-1110 Beardsley Street,24 
2009-11-22,3727,A,7.8,Berkeley-6th Street,24 
2009-11-22,2293,C,8.8,Fremont-Chapel Way,24 
2009-11-22,3490,A,11.3,Livermore-793 Rincon Avenue,24 
2009-11-22,3490,B,7.3,Livermore-793 Rincon Avenue,24 
2009-11-22,3247,B,6.2,Oakland-9925 International Blvd,24 
2009-11-22,3742,A,10.1,Oakland-West,24 
2009-11-22,2831,A,7.9,Concord-2956-A Treat Blvd,24 
2009-11-22,2622,A,8.7,San Rafael,24 
2009-11-22,2655,A,19.7,Napa-Jefferson Avenue,24 
2009-11-22,2373,D,7.9,San Francisco-Arkansas Street,24 
2009-11-22,2125,D,10.3,Redwood City,24 
2009-11-22,2320,B,9.3,Gilroy-9th Street,24 
2009-11-22,3661,A,10.2,San Jose-Jackson Street,24 
2009-11-22,3661,C,8.6,San Jose-Jackson Street,24 
2009-11-22,2410,B,12.2,Vallejo-304 Tuolumne Street,24 
2009-11-22,2410,A,11.9,Vallejo-304 Tuolumne Street,24 
2009-11-22,2105,B,13.0,Santa Rosa-5th Street,24 
2009-11-22,3026,D,25.3,Clovis-N Villa Avenue,24 
2009-11-22,3009,A,21.3,Fresno-1st Street,24 
2009-11-22,3009,D,24.5,Fresno-1st Street,24 
2009-11-22,3759,A,1.3,Tranquility-32650 West Adams Avenue,24 
2009-11-22,3146,H,21.0,Bakersfield-5558 California Avenue,24 
2009-11-22,3146,A,21.8,Bakersfield-5558 California Avenue,24 
2009-11-22,3146,G,20.5,Bakersfield-5558 California Avenue,24 
2009-11-22,3145,C,21.8,Bakersfield-Golden State Highway,24 
2009-11-22,3769,A,0.0,Lebec-Beartrap Road,24 
