summary_date,site,no2_davg,name,obs_count,units 
2005-12-22,3658,0.018,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ) 
2005-12-22,2923,0.024,Barstow,23,Parts Per Million ( ppm ) 
2005-12-22,3215,0.008,Trona-Athol and Telegraph,23,Parts Per Million ( ppm ) 
2005-12-22,3500,0.025,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2005-12-22,3681,0.030,Mexicali-Carretera,23,Parts Per Million ( ppm ) 
2005-12-22,3203,0.044,Mexicali-Cobach,22,Parts Per Million ( ppm ) 
2005-12-22,3201,0.049,Mexicali-UABC,23,Parts Per Million ( ppm ) 
2005-12-22,3183,0.019,Rosarito,23,Parts Per Million ( ppm ) 
2005-12-22,3255,0.027,Tecate-Paseo Morelos,23,Parts Per Million ( ppm ) 
2005-12-22,3141,0.037,Tijuana-La Mesa,23,Parts Per Million ( ppm ) 
2005-12-22,3178,0.025,Tijuana-Las Playas,23,Parts Per Million ( ppm ) 
2005-12-22,3010,0.007,Ukiah-E Gobbi Street,23,Parts Per Million ( ppm ) 
2005-12-22,3116,0.010,Willits-899 S Main Street,22,Parts Per Million ( ppm ) 
2005-12-22,3489,0.011,Salinas-High School,24,Parts Per Million ( ppm ) 
2005-12-22,2329,0.002,Davenport,24,Parts Per Million ( ppm ) 
2005-12-22,2484,0.048,Azusa,23,Parts Per Million ( ppm ) 
2005-12-22,2492,0.041,Burbank-W Palm Avenue,23,Parts Per Million ( ppm ) 
2005-12-22,2849,0.040,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2005-12-22,2899,0.039,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2005-12-22,3683,0.023,Los Angeles-Westchester Parkway,22,Parts Per Million ( ppm ) 
2005-12-22,2583,0.038,Lynwood,23,Parts Per Million ( ppm ) 
2005-12-22,2429,0.029,North Long Beach,23,Parts Per Million ( ppm ) 
2005-12-22,2160,0.040,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2005-12-22,2898,0.049,Pomona,23,Parts Per Million ( ppm ) 
2005-12-22,2420,0.048,Reseda,23,Parts Per Million ( ppm ) 
2005-12-22,3502,0.039,Santa Clarita,23,Parts Per Million ( ppm ) 
2005-12-22,2494,0.028,West Los Angeles-VA Hospital,23,Parts Per Million ( ppm ) 
2005-12-22,3674,0.034,Anaheim-Pampas Lane,23,Parts Per Million ( ppm ) 
2005-12-22,2937,0.018,Costa Mesa-Mesa Verde Drive,23,Parts Per Million ( ppm ) 
2005-12-22,2249,0.036,La Habra,23,Parts Per Million ( ppm ) 
2005-12-22,3168,0.036,Banning Airport,23,Parts Per Million ( ppm ) 
2005-12-22,2943,0.033,Lake Elsinore-W Flint Street,23,Parts Per Million ( ppm ) 
2005-12-22,2596,0.042,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2005-12-22,2266,0.044,Fontana-Arrow Highway,23,Parts Per Million ( ppm ) 
2005-12-22,2221,0.039,San Bernardino-4th Street,23,Parts Per Million ( ppm ) 
2005-12-22,2485,0.054,Upland,23,Parts Per Million ( ppm ) 
2005-12-22,2965,0.007,Atascadero-Lewis Avenue,23,Parts Per Million ( ppm ) 
2005-12-22,2321,0.007,Morro Bay,23,Parts Per Million ( ppm ) 
2005-12-22,3251,0.006,Nipomo-Regional Park,23,Parts Per Million ( ppm ) 
2005-12-22,3688,0.008,San Luis Obispo-3220 South Higuera St,23,Parts Per Million ( ppm ) 
2005-12-22,3003,0.006,Carpinteria-Gobernador Road,23,Parts Per Million ( ppm ) 
2005-12-22,2008,0.005,El Capitan Beach,23,Parts Per Million ( ppm ) 
2005-12-22,2954,0.005,Gaviota-GTC Site B,23,Parts Per Million ( ppm ) 
2005-12-22,3153,0.010,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2005-12-22,3101,0.002,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2005-12-22,2992,0.002,Lompoc-HSandP,22,Parts Per Million ( ppm ) 
2005-12-22,2360,0.004,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2005-12-22,2957,0.002,Paradise Road-Los Padres National Forest,23,Parts Per Million ( ppm ) 
