summary_date,site,ozone_davg,name,obs_count,units 
2011-03-01,3151,0.048,Death Valley Natl Monument,22,Parts Per Million ( ppm ) 
2011-03-01,2914,0.030,Lakeport-Lakeport Blvd,22,Parts Per Million ( ppm ) 
2011-03-01,2993,0.029,Jackson-Clinton Road,23,Parts Per Million ( ppm ) 
2011-03-01,3144,0.032,San Andreas-Gold Strike Road,23,Parts Per Million ( ppm ) 
2011-03-01,3018,0.052,Yosemite Natl Park-Turtleback Dome,24,Parts Per Million ( ppm ) 
2011-03-01,3126,0.048,Grass Valley-Litton Building,24,Parts Per Million ( ppm ) 
2011-03-01,2208,0.025,Truckee-Fire Station,23,Parts Per Million ( ppm ) 
2011-03-01,3002,0.036,Colfax-City Hall,24,Parts Per Million ( ppm ) 
2011-03-01,2968,0.035,Sonora-Barretta Street,23,Parts Per Million ( ppm ) 
2011-03-01,3658,0.021,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ) 
2011-03-01,3673,0.021,Blythe-445 West Murphy Street,23,Parts Per Million ( ppm ) 
2011-03-01,2923,0.016,Barstow,23,Parts Per Million ( ppm ) 
2011-03-01,2650,0.028,Hesperia-Olive Street,24,Parts Per Million ( ppm ) 
2011-03-01,3152,0.055,Joshua Tree NP - Black Rock,23,Parts Per Million ( ppm ) 
2011-03-01,2830,0.037,Phelan-Beekley Road and Phelan Road,24,Parts Per Million ( ppm ) 
2011-03-01,3215,0.029,Trona-Athol and Telegraph,21,Parts Per Million ( ppm ) 
2011-03-01,3500,0.018,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2011-03-01,3201,0.016,Mexicali-UABC,23,Parts Per Million ( ppm ) 
2011-03-01,3716,0.038,Eureka-Jacobs,24,Parts Per Million ( ppm ) 
2011-03-01,3010,0.022,Ukiah-E Gobbi Street,24,Parts Per Million ( ppm ) 
2011-03-01,2016,0.029,Carmel Valley-Ford Road,24,Parts Per Million ( ppm ) 
2011-03-01,3726,0.025,King City-415 Pearl Street,24,Parts Per Million ( ppm ) 
2011-03-01,3489,0.030,Salinas-High School,24,Parts Per Million ( ppm ) 
2011-03-01,2628,0.033,Hollister-Fairview Road,24,Parts Per Million ( ppm ) 
2011-03-01,2983,0.029,Pinnacles National Monument,23,Parts Per Million ( ppm ) 
2011-03-01,2329,0.033,Davenport,24,Parts Per Million ( ppm ) 
2011-03-01,3200,0.027,Santa Cruz AMS,24,Parts Per Million ( ppm ) 
2011-03-01,2752,0.040,Yreka-Foothill Drive,23,Parts Per Million ( ppm ) 
2011-03-01,2484,0.013,Azusa,22,Parts Per Million ( ppm ) 
2011-03-01,2492,0.011,Burbank-W Palm Avenue,22,Parts Per Million ( ppm ) 
2011-03-01,3743,0.016,Compton-700 North Bullis Road,22,Parts Per Million ( ppm ) 
2011-03-01,2849,0.018,Glendora-Laurel,21,Parts Per Million ( ppm ) 
2011-03-01,2899,0.012,Los Angeles-North Main Street,22,Parts Per Million ( ppm ) 
2011-03-01,3683,0.020,Los Angeles-Westchester Parkway,18,Parts Per Million ( ppm ) 
2011-03-01,2429,0.021,North Long Beach,22,Parts Per Million ( ppm ) 
2011-03-01,2160,0.015,Pasadena-S Wilson Avenue,22,Parts Per Million ( ppm ) 
2011-03-01,3693,0.010,Pico Rivera-4144 San Gabriel,21,Parts Per Million ( ppm ) 
2011-03-01,2420,0.025,Reseda,19,Parts Per Million ( ppm ) 
2011-03-01,3502,0.017,Santa Clarita,22,Parts Per Million ( ppm ) 
2011-03-01,2494,0.015,West Los Angeles-VA Hospital,22,Parts Per Million ( ppm ) 
2011-03-01,3674,0.017,Anaheim-Pampas Lane,22,Parts Per Million ( ppm ) 
2011-03-01,2937,0.018,Costa Mesa-Mesa Verde Drive,19,Parts Per Million ( ppm ) 
2011-03-01,2249,0.015,La Habra,22,Parts Per Million ( ppm ) 
2011-03-01,3265,0.025,Mission Viejo-26081 Via Pera,22,Parts Per Million ( ppm ) 
2011-03-01,3168,0.028,Banning Airport,22,Parts Per Million ( ppm ) 
2011-03-01,2943,0.018,Lake Elsinore-W Flint Street,21,Parts Per Million ( ppm ) 
2011-03-01,3747,0.014,Mira Loma-10551 Bellegrave,22,Parts Per Million ( ppm ) 
2011-03-01,3702,0.013,Mira Loma Van Buren,21,Parts Per Million ( ppm ) 
2011-03-01,2525,0.017,Perris,21,Parts Per Million ( ppm ) 
2011-03-01,2596,0.016,Riverside-Rubidoux,21,Parts Per Million ( ppm ) 
2011-03-01,3777,0.035,Winchester-33700 Borel Road             ,22,Parts Per Million ( ppm ) 
2011-03-01,2499,0.039,Crestline,22,Parts Per Million ( ppm ) 
2011-03-01,2266,0.011,Fontana-Arrow Highway,22,Parts Per Million ( ppm ) 
2011-03-01,2077,0.022,Redlands-Dearborn,21,Parts Per Million ( ppm ) 
2011-03-01,2221,0.013,San Bernardino-4th Street,22,Parts Per Million ( ppm ) 
2011-03-01,2485,0.011,Upland,22,Parts Per Million ( ppm ) 
2011-03-01,2965,0.021,Atascadero-Lewis Avenue,23,Parts Per Million ( ppm ) 
2011-03-01,3694,0.030,Carrisa Plains School,23,Parts Per Million ( ppm ) 
2011-03-01,2321,0.031,Morro Bay,23,Parts Per Million ( ppm ) 
2011-03-01,3251,0.030,Nipomo-Regional Park,23,Parts Per Million ( ppm ) 
2011-03-01,2955,0.025,Paso Robles-Santa Fe Avenue,23,Parts Per Million ( ppm ) 
2011-03-01,3495,0.046,Red Hills,23,Parts Per Million ( ppm ) 
2011-03-01,3688,0.026,San Luis Obispo-3220 South Higuera St,23,Parts Per Million ( ppm ) 
2011-03-01,3003,0.034,Carpinteria-Gobernador Road,23,Parts Per Million ( ppm ) 
2011-03-01,2008,0.034,El Capitan Beach,23,Parts Per Million ( ppm ) 
2011-03-01,2954,0.033,Gaviota-GTC Site B,23,Parts Per Million ( ppm ) 
2011-03-01,3153,0.024,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2011-03-01,3101,0.043,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2011-03-01,2992,0.048,Lompoc-HSandP,23,Parts Per Million ( ppm ) 
2011-03-01,2360,0.025,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2011-03-01,2957,0.031,Paradise Road-Los Padres National Forest,23,Parts Per Million ( ppm ) 
2011-03-01,3665,0.025,Santa Barbara-700 East Canon Perdido,23,Parts Per Million ( ppm ) 
2011-03-01,3486,0.027,Santa Maria-906 S Broadway,23,Parts Per Million ( ppm ) 
2011-03-01,2593,0.026,Santa Ynez-Airport Road,23,Parts Per Million ( ppm ) 
2011-03-01,2991,0.025,El Rio-Rio Mesa School #2,23,Parts Per Million ( ppm ) 
2011-03-01,3172,0.023,Ojai-Ojai Avenue,24,Parts Per Million ( ppm ) 
2011-03-01,3505,0.022,Piru-3301 Pacific Avenue,24,Parts Per Million ( ppm ) 
2011-03-01,2880,0.020,Simi Valley-Cochran Street,23,Parts Per Million ( ppm ) 
2011-03-01,2984,0.027,Thousand Oaks-Moorpark Road,24,Parts Per Million ( ppm ) 
2011-03-01,2088,0.025,Ventura-Emma Wood State Beach,24,Parts Per Million ( ppm ) 
2011-03-01,2460,0.037,Alpine-Victoria Drive,21,Parts Per Million ( ppm ) 
2011-03-01,3198,0.028,Camp Pendleton,23,Parts Per Million ( ppm ) 
2011-03-01,2368,0.030,Del Mar-Mira Costa College,24,Parts Per Million ( ppm ) 
2011-03-01,2327,0.016,El Cajon-Redwood Avenue,22,Parts Per Million ( ppm ) 
2011-03-01,2263,0.016,Escondido-E Valley Parkway,21,Parts Per Million ( ppm ) 
2011-03-01,2933,0.015,Otay Mesa-Paseo International,23,Parts Per Million ( ppm ) 
2011-03-01,3690,0.020,San Diego-1110 Beardsley Street,21,Parts Per Million ( ppm ) 
2011-03-01,3766,0.026,San Diego-Kearny Villa Road,23,Parts Per Million ( ppm ) 
2011-03-01,2040,0.021,San Diego-Overland Avenue,21,Parts Per Million ( ppm ) 
2011-03-01,3490,0.026,Livermore-793 Rincon Avenue,19,Parts Per Million ( ppm ) 
2011-03-01,3247,0.024,Oakland-9925 International Blvd,19,Parts Per Million ( ppm ) 
2011-03-01,3742,0.024,Oakland-West,19,Parts Per Million ( ppm ) 
2011-03-01,2804,0.021,Bethel Island Road,19,Parts Per Million ( ppm ) 
2011-03-01,2831,0.028,Concord-2956-A Treat Blvd,19,Parts Per Million ( ppm ) 
2011-03-01,3668,0.027,San Pablo-Rumrill Blvd,19,Parts Per Million ( ppm ) 
2011-03-01,2622,0.022,San Rafael,18,Parts Per Million ( ppm ) 
2011-03-01,2655,0.028,Napa-Jefferson Avenue,19,Parts Per Million ( ppm ) 
2011-03-01,2373,0.028,San Francisco-Arkansas Street,19,Parts Per Million ( ppm ) 
2011-03-01,3770,0.035,Cupertino-22601 Voss Ave,19,Parts Per Million ( ppm ) 
2011-03-01,2613,0.032,Los Gatos,23,Parts Per Million ( ppm ) 
2011-03-01,3661,0.026,San Jose-Jackson Street,19,Parts Per Million ( ppm ) 
2011-03-01,2410,0.024,Vallejo-304 Tuolumne Street,19,Parts Per Million ( ppm ) 
2011-03-01,2105,0.023,Santa Rosa-5th Street,19,Parts Per Million ( ppm ) 
2011-03-01,3026,0.021,Clovis-N Villa Avenue,22,Parts Per Million ( ppm ) 
2011-03-01,3009,0.016,Fresno-1st Street,23,Parts Per Million ( ppm ) 
2011-03-01,2844,0.021,Fresno-Sierra Skypark #2,22,Parts Per Million ( ppm ) 
2011-03-01,2114,0.018,Parlier,20,Parts Per Million ( ppm ) 
2011-03-01,3759,0.031,Tranquility-32650 West Adams Avenue,22,Parts Per Million ( ppm ) 
2011-03-01,3758,0.017,Arvin-Di Giorgio,23,Parts Per Million ( ppm ) 
2011-03-01,3146,0.017,Bakersfield-5558 California Avenue,23,Parts Per Million ( ppm ) 
2011-03-01,2312,0.025,Edison,23,Parts Per Million ( ppm ) 
2011-03-01,2919,0.040,Maricopa-Stanislaus Street,23,Parts Per Million ( ppm ) 
2011-03-01,2772,0.024,Oildale-3311 Manor Street,23,Parts Per Million ( ppm ) 
2011-03-01,2981,0.022,Shafter-Walker Street,23,Parts Per Million ( ppm ) 
2011-03-01,3129,0.022,Hanford-S Irwin Street,19,Parts Per Million ( ppm ) 
2011-03-01,3771,0.019,Madera-28261 Avenue 14,23,Parts Per Million ( ppm ) 
2011-03-01,3211,0.024,Madera-Pump Yard,22,Parts Per Million ( ppm ) 
2011-03-01,3022,0.021,Merced-S Coffee Avenue,22,Parts Per Million ( ppm ) 
2011-03-01,2094,0.021,Stockton-Hazelton Street,23,Parts Per Million ( ppm ) 
2011-03-01,3696,0.034,Tracy-Airport,22,Parts Per Million ( ppm ) 
2011-03-01,2833,0.024,Modesto-14th Street,23,Parts Per Million ( ppm ) 
2011-03-01,2996,0.025,Turlock-S Minaret Street,22,Parts Per Million ( ppm ) 
2011-03-01,3763,0.015,Porterville-1839 Newcomb Street,22,Parts Per Million ( ppm ) 
2011-03-01,3484,0.035,Sequoia and Kings Canyon Natl Park,24,Parts Per Million ( ppm ) 
2011-03-01,3036,0.039,Sequoia Natl Park-Lower Kaweah,23,Parts Per Million ( ppm ) 
2011-03-01,2032,0.016,Visalia-N Church Street,23,Parts Per Million ( ppm ) 
2011-03-01,3135,0.023,Calexico-Ethel Street,23,Parts Per Million ( ppm ) 
2011-03-01,3186,0.026,Niland-English Road,23,Parts Per Million ( ppm ) 
2011-03-01,3143,0.023,Westmorland-W 1st Street,23,Parts Per Million ( ppm ) 
2011-03-01,2878,0.024,Indio-Jackson Street,22,Parts Per Million ( ppm ) 
2011-03-01,2199,0.032,Palm Springs-Fire Station,22,Parts Per Million ( ppm ) 
2011-03-01,2115,0.031,Chico-Manzanita Avenue,23,Parts Per Million ( ppm ) 
2011-03-01,3491,0.046,Paradise-4405 Airport Road,23,Parts Per Million ( ppm ) 
2011-03-01,2744,0.027,Colusa-Sunrise Blvd,23,Parts Per Million ( ppm ) 
2011-03-01,3714,0.029,Willows-720 N Colusa Street,23,Parts Per Million ( ppm ) 
2011-03-01,2891,0.037,Auburn-Dewitt-C Avenue,24,Parts Per Million ( ppm ) 
2011-03-01,2977,0.025,Elk Grove-Bruceville Road,23,Parts Per Million ( ppm ) 
2011-03-01,3187,0.032,Folsom-Natoma Street,20,Parts Per Million ( ppm ) 
2011-03-01,2123,0.025,North Highlands-Blackfoot Way,23,Parts Per Million ( ppm ) 
2011-03-01,2731,0.022,Sacramento-Del Paso Manor,23,Parts Per Million ( ppm ) 
2011-03-01,3738,0.019,Sacramento-Goldenland Court,24,Parts Per Million ( ppm ) 
2011-03-01,3011,0.019,Sacramento-T Street,23,Parts Per Million ( ppm ) 
2011-03-01,3032,0.018,Anderson-North Street,23,Parts Per Million ( ppm ) 
2011-03-01,2972,0.054,Lassen Volcanic Natl Park-Manzanita Lake,23,Parts Per Million ( ppm ) 
2011-03-01,2829,0.025,Redding-Health Dept Roof,24,Parts Per Million ( ppm ) 
2011-03-01,3746,0.027,Shasta Lake-13791 Lake Blvd,24,Parts Per Million ( ppm ) 
2011-03-01,3678,0.024,Vacaville-Ulatis Drive,24,Parts Per Million ( ppm ) 
2011-03-01,2958,0.024,Yuba City-Almond Street,23,Parts Per Million ( ppm ) 
2011-03-01,3197,0.028,Red Bluff-Oak Street,24,Parts Per Million ( ppm ) 
2011-03-01,2143,0.026,Davis-UCD Campus,23,Parts Per Million ( ppm ) 
2011-03-01,3249,0.023,Woodland-Gibson Road,24,Parts Per Million ( ppm ) 
2011-03-02,3151,0.052,Death Valley Natl Monument,24,Parts Per Million ( ppm ) 
2011-03-02,2914,0.037,Lakeport-Lakeport Blvd,23,Parts Per Million ( ppm ) 
2011-03-02,2993,0.037,Jackson-Clinton Road,22,Parts Per Million ( ppm ) 
2011-03-02,3144,0.037,San Andreas-Gold Strike Road,23,Parts Per Million ( ppm ) 
2011-03-02,3018,0.044,Yosemite Natl Park-Turtleback Dome,24,Parts Per Million ( ppm ) 
2011-03-02,3126,0.039,Grass Valley-Litton Building,24,Parts Per Million ( ppm ) 
2011-03-02,2208,0.027,Truckee-Fire Station,24,Parts Per Million ( ppm ) 
2011-03-02,3002,0.038,Colfax-City Hall,24,Parts Per Million ( ppm ) 
2011-03-02,2968,0.038,Sonora-Barretta Street,23,Parts Per Million ( ppm ) 
2011-03-02,3658,0.033,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ) 
2011-03-02,3673,0.024,Blythe-445 West Murphy Street,23,Parts Per Million ( ppm ) 
2011-03-02,2923,0.020,Barstow,23,Parts Per Million ( ppm ) 
2011-03-02,2650,0.040,Hesperia-Olive Street,23,Parts Per Million ( ppm ) 
2011-03-02,3152,0.053,Joshua Tree NP - Black Rock,24,Parts Per Million ( ppm ) 
2011-03-02,2830,0.033,Phelan-Beekley Road and Phelan Road,24,Parts Per Million ( ppm ) 
2011-03-02,3215,0.033,Trona-Athol and Telegraph,23,Parts Per Million ( ppm ) 
2011-03-02,3500,0.025,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2011-03-02,3201,0.017,Mexicali-UABC,23,Parts Per Million ( ppm ) 
