summary_date,site,co_davg,name,obs_count,units 
2002-07-08,2948,0.452,South Lake Tahoe-Sandy Way,23,Parts Per Million ( ppm ) 
2002-07-08,2993,0.213,Jackson-Clinton Road,23,Parts Per Million ( ppm ) 
2002-07-08,3144,0.073,San Andreas-Gold Strike Road,22,Parts Per Million ( ppm ) 
2002-07-08,3487,0.074,Echo Summit,23,Parts Per Million ( ppm ) 
2002-07-08,3017,0.132,Placerville-Gold Nugget Way,22,Parts Per Million ( ppm ) 
2002-07-08,2968,0.230,Sonora-Barretta Street,23,Parts Per Million ( ppm ) 
2002-07-08,3658,0.164,Lancaster-43301 Division Street,22,Parts Per Million ( ppm ) 
2002-07-08,2923,0.014,Barstow,22,Parts Per Million ( ppm ) 
2002-07-08,3500,0.222,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2002-07-08,3185,0.448,Mexicali-ITM,21,Parts Per Million ( ppm ) 
2002-07-08,3201,0.570,Mexicali-UABC,23,Parts Per Million ( ppm ) 
2002-07-08,3183,0.345,Rosarito,20,Parts Per Million ( ppm ) 
2002-07-08,3138,0.565,Tijuana-ITT,23,Parts Per Million ( ppm ) 
2002-07-08,3178,0.527,Tijuana-Las Playas,22,Parts Per Million ( ppm ) 
2002-07-08,3010,0.387,Ukiah-E Gobbi Street,22,Parts Per Million ( ppm ) 
2002-07-08,3116,0.822,Willits-899 S Main Street,22,Parts Per Million ( ppm ) 
2002-07-08,3489,0.192,Salinas-High School,24,Parts Per Million ( ppm ) 
2002-07-08,2329,0.404,Davenport,24,Parts Per Million ( ppm ) 
2002-07-08,3483,0.925,Stateline-Harveys Hotel,24,Parts Per Million ( ppm ) 
2002-07-08,2484,0.783,Azusa,23,Parts Per Million ( ppm ) 
2002-07-08,2492,0.952,Burbank-W Palm Avenue,23,Parts Per Million ( ppm ) 
2002-07-08,2045,0.557,Hawthorne,23,Parts Per Million ( ppm ) 
2002-07-08,2899,0.887,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2002-07-08,2583,0.826,Lynwood,23,Parts Per Million ( ppm ) 
2002-07-08,2429,0.361,North Long Beach,23,Parts Per Million ( ppm ) 
2002-07-08,2160,1.239,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2002-07-08,2166,0.657,Pico Rivera,23,Parts Per Million ( ppm ) 
2002-07-08,2898,1.070,Pomona,23,Parts Per Million ( ppm ) 
2002-07-08,2420,0.713,Reseda,23,Parts Per Million ( ppm ) 
2002-07-08,3502,0.652,Santa Clarita,23,Parts Per Million ( ppm ) 
