summary_date,site,monitor,pm25_davg,name,obs_count 
2003-03-08,2948,C,11.0,South Lake Tahoe-Sandy Way,24 
2003-03-08,3669,A,2.6,Tahoe City-Lake Forest Road,24 
2003-03-08,2208,A,7.0,Truckee-Fire Station,24 
2003-03-08,2484,A,30.6,Azusa,24 
2003-03-08,2899,A,38.4,Los Angeles-North Main Street,24 
2003-03-08,2429,A,27.0,North Long Beach,24 
2003-03-08,3674,A,27.1,Anaheim-Pampas Lane,24 
2003-03-08,2596,A,53.2,Riverside-Rubidoux,24 
2003-03-08,3672,A,14.2,San Nicolas Island-Building 98,24 
2003-03-08,2327,A,15.5,El Cajon-Redwood Avenue,24 
2003-03-08,2263,A,20.6,Escondido-E Valley Parkway,24 
2003-03-08,2964,A,1.4,San Diego-12th Avenue,24 
2003-03-08,3490,A,5.5,Livermore-793 Rincon Avenue,24 
2003-03-08,3659,A,9.3,Oakland-6701 International Blvd,24 
2003-03-08,2831,A,6.2,Concord-2956-A Treat Blvd,24 
2003-03-08,3660,A,9.0,Crockett-1098 Pomona Street,24 
2003-03-08,3506,A,7.9,Point Reyes,24 
2003-03-08,2373,A,6.0,San Francisco-Arkansas Street,24 
2003-03-08,3661,A,9.0,San Jose-Jackson Street,24 
2003-03-08,2936,A,9.1,San Jose-Tully Road,24 
2003-03-08,3009,D,27.4,Fresno-1st Street,24 
2003-03-08,3009,A,22.0,Fresno-1st Street,24 
2003-03-08,3666,A,26.0,Fresno-Fremont School,24 
2003-03-08,3667,A,25.6,Fresno-Mobile,24 
2003-03-08,3146,G,35.2,Bakersfield-5558 California Avenue,24 
2003-03-08,3146,H,38.8,Bakersfield-5558 California Avenue,24 
2003-03-08,3146,A,28.1,Bakersfield-5558 California Avenue,24 
2003-03-08,2032,B,29.2,Visalia-N Church Street,24 
2003-03-08,3173,A,43.4,Calexico-East,24 
2003-03-08,2115,C,21.1,Chico-Manzanita Avenue,24 
2003-03-08,2115,D,23.4,Chico-Manzanita Avenue,24 
2003-03-08,2630,A,18.0,Gridley-Cowee Avenue,24 
2003-03-08,2977,A,10.7,Elk Grove-Bruceville Road,24 
2003-03-08,2346,A,8.0,Sacramento-Health Dept Stockton Blvd,24 
2003-03-08,3011,A,9.0,Sacramento-T Street,24 
