summary_date,site,co_davg,name,obs_count,units 
2006-08-08,3018,0.262,Yosemite Natl Park-Turtleback Dome,21,Parts Per Million ( ppm ) 
2006-08-08,3658,0.209,Lancaster-43301 Division Street,22,Parts Per Million ( ppm ) 
2006-08-08,2923,0.061,Barstow,23,Parts Per Million ( ppm ) 
2006-08-08,3500,0.230,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2006-08-08,3681,0.000,Mexicali-Carretera,23,Parts Per Million ( ppm ) 
2006-08-08,3203,0.326,Mexicali-Cobach,23,Parts Per Million ( ppm ) 
2006-08-08,3185,0.374,Mexicali-ITM,23,Parts Per Million ( ppm ) 
2006-08-08,3201,0.114,Mexicali-UABC,22,Parts Per Million ( ppm ) 
2006-08-08,3183,0.365,Rosarito,23,Parts Per Million ( ppm ) 
2006-08-08,3255,0.157,Tecate-Paseo Morelos,23,Parts Per Million ( ppm ) 
2006-08-08,3138,0.213,Tijuana-ITT,23,Parts Per Million ( ppm ) 
2006-08-08,3141,0.570,Tijuana-La Mesa,23,Parts Per Million ( ppm ) 
2006-08-08,3178,0.352,Tijuana-Las Playas,23,Parts Per Million ( ppm ) 
2006-08-08,3010,0.341,Ukiah-E Gobbi Street,23,Parts Per Million ( ppm ) 
2006-08-08,3116,0.227,Willits-899 S Main Street,23,Parts Per Million ( ppm ) 
2006-08-08,3489,0.425,Salinas-High School,24,Parts Per Million ( ppm ) 
2006-08-08,2329,0.435,Davenport,23,Parts Per Million ( ppm ) 
2006-08-08,2484,0.383,Azusa,23,Parts Per Million ( ppm ) 
2006-08-08,2492,0.452,Burbank-W Palm Avenue,23,Parts Per Million ( ppm ) 
2006-08-08,2899,0.378,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2006-08-08,3683,0.052,Los Angeles-Westchester Parkway,23,Parts Per Million ( ppm ) 
2006-08-08,2583,0.727,Lynwood,22,Parts Per Million ( ppm ) 
2006-08-08,2429,0.430,North Long Beach,23,Parts Per Million ( ppm ) 
2006-08-08,2160,0.452,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2006-08-08,3693,0.887,Pico Rivera-4144 San Gabriel,23,Parts Per Million ( ppm ) 
2006-08-08,2898,0.613,Pomona,23,Parts Per Million ( ppm ) 
2006-08-08,2420,0.430,Reseda,23,Parts Per Million ( ppm ) 
2006-08-08,2494,0.383,West Los Angeles-VA Hospital,23,Parts Per Million ( ppm ) 
2006-08-08,3674,0.345,Anaheim-Pampas Lane,20,Parts Per Million ( ppm ) 
2006-08-08,2937,0.187,Costa Mesa-Mesa Verde Drive,23,Parts Per Million ( ppm ) 
2006-08-08,2249,0.491,La Habra,23,Parts Per Million ( ppm ) 
2006-08-08,3265,0.296,Mission Viejo-26081 Via Pera,23,Parts Per Million ( ppm ) 
2006-08-08,2943,0.335,Lake Elsinore-W Flint Street,23,Parts Per Million ( ppm ) 
2006-08-08,2333,0.609,Riverside-Magnolia,23,Parts Per Million ( ppm ) 
2006-08-08,2596,0.691,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2006-08-08,2221,0.426,San Bernardino-4th Street,23,Parts Per Million ( ppm ) 
2006-08-08,2485,0.668,Upland,22,Parts Per Million ( ppm ) 
2006-08-08,3153,0.000,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2006-08-08,3101,0.261,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2006-08-08,2360,0.078,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2006-08-08,3486,0.155,Santa Maria-906 S Broadway,22,Parts Per Million ( ppm ) 
2006-08-08,3023,0.009,Vandenberg Air Force Base-STS Power,23,Parts Per Million ( ppm ) 
2006-08-08,2589,0.561,Chula Vista,23,Parts Per Million ( ppm ) 
2006-08-08,2263,0.578,Escondido-E Valley Parkway,23,Parts Per Million ( ppm ) 
2006-08-08,2933,0.548,Otay Mesa-Paseo International,23,Parts Per Million ( ppm ) 
2006-08-08,3690,0.377,San Diego-1110 Beardsley Street,22,Parts Per Million ( ppm ) 
2006-08-08,2921,0.632,San Diego-Union Street,22,Parts Per Million ( ppm ) 
2006-08-08,2293,0.330,Fremont-Chapel Way,20,Parts Per Million ( ppm ) 
2006-08-08,3490,0.322,Livermore-793 Rincon Avenue,23,Parts Per Million ( ppm ) 
2006-08-08,2804,0.165,Bethel Island Road,23,Parts Per Million ( ppm ) 
2006-08-08,2831,0.191,Concord-2956-A Treat Blvd,23,Parts Per Million ( ppm ) 
2006-08-08,2102,0.270,Pittsburg-10th Street,23,Parts Per Million ( ppm ) 
2006-08-08,3668,0.300,San Pablo-Rumrill Blvd,23,Parts Per Million ( ppm ) 
2006-08-08,2622,0.305,San Rafael,21,Parts Per Million ( ppm ) 
2006-08-08,2655,0.178,Napa-Jefferson Avenue,23,Parts Per Million ( ppm ) 
2006-08-08,2373,0.400,San Francisco-Arkansas Street,23,Parts Per Million ( ppm ) 
2006-08-08,2125,0.339,Redwood City,23,Parts Per Million ( ppm ) 
2006-08-08,3661,0.238,San Jose-Jackson Street,22,Parts Per Million ( ppm ) 
2006-08-08,2410,0.339,Vallejo-304 Tuolumne Street,23,Parts Per Million ( ppm ) 
2006-08-08,2105,0.213,Santa Rosa-5th Street,23,Parts Per Million ( ppm ) 
2006-08-08,3026,0.313,Clovis-N Villa Avenue,23,Parts Per Million ( ppm ) 
2006-08-08,3009,0.113,Fresno-1st Street,23,Parts Per Million ( ppm ) 
2006-08-08,2013,0.304,Fresno-Drummond Street,23,Parts Per Million ( ppm ) 
2006-08-08,2844,0.230,Fresno-Sierra Skypark #2,23,Parts Per Million ( ppm ) 
2006-08-08,3145,0.404,Bakersfield-Golden State Highway,23,Parts Per Million ( ppm ) 
2006-08-08,2094,0.243,Stockton-Hazelton Street,23,Parts Per Million ( ppm ) 
2006-08-08,2833,0.209,Modesto-14th Street,23,Parts Per Million ( ppm ) 
2006-08-08,2996,0.370,Turlock-S Minaret Street,23,Parts Per Million ( ppm ) 
2006-08-08,3173,0.157,Calexico-East,23,Parts Per Million ( ppm ) 
2006-08-08,3135,0.443,Calexico-Ethel Street,23,Parts Per Million ( ppm ) 
2006-08-08,2551,0.000,El Centro-9th Street,23,Parts Per Million ( ppm ) 
2006-08-08,2199,0.217,Palm Springs-Fire Station,23,Parts Per Million ( ppm ) 
2006-08-08,2115,0.230,Chico-Manzanita Avenue,23,Parts Per Million ( ppm ) 
2006-08-08,2123,0.314,North Highlands-Blackfoot Way,22,Parts Per Million ( ppm ) 
2006-08-08,3223,0.500,Sacramento-3801 Airport Road,24,Parts Per Million ( ppm ) 
2006-08-08,2840,0.700,Sacramento-El Camino and Watt,24,Parts Per Million ( ppm ) 
2006-08-09,3018,0.235,Yosemite Natl Park-Turtleback Dome,23,Parts Per Million ( ppm ) 
2006-08-09,3658,0.168,Lancaster-43301 Division Street,22,Parts Per Million ( ppm ) 
2006-08-09,2923,0.074,Barstow,23,Parts Per Million ( ppm ) 
2006-08-09,3500,0.226,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2006-08-09,3681,0.000,Mexicali-Carretera,23,Parts Per Million ( ppm ) 
