summary_date,site,no_davg,name,obs_count,units 
2016-01-15,3658,0.001,Lancaster-43301 Division Street,22,Parts Per Million ( ppm ) 
2016-01-15,2923,0.003,Barstow,23,Parts Per Million ( ppm ) 
2016-01-15,3215,-0.001,Trona-Athol and Telegraph,22,Parts Per Million ( ppm ) 
2016-01-15,3500,0.001,Victorville-14306 Park Avenue,22,Parts Per Million ( ppm ) 
2016-01-15,3489,0.001,Salinas-High School,24,Parts Per Million ( ppm ) 
2016-01-15,2484,0.006,Azusa,23,Parts Per Million ( ppm ) 
2016-01-15,3743,0.031,Compton-700 North Bullis Road,22,Parts Per Million ( ppm ) 
2016-01-15,2849,0.002,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2016-01-15,3774,0.026,Long Beach-2425 Webster Street          ,23,Parts Per Million ( ppm ) 
2016-01-15,3818,0.026,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ) 
2016-01-15,2899,0.020,Los Angeles-North Main Street,22,Parts Per Million ( ppm ) 
2016-01-15,3683,0.019,Los Angeles-Westchester Parkway,23,Parts Per Million ( ppm ) 
2016-01-15,2160,0.003,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2016-01-15,3693,0.026,Pico Rivera-4144 San Gabriel,22,Parts Per Million ( ppm ) 
2016-01-15,2898,0.024,Pomona,23,Parts Per Million ( ppm ) 
2016-01-15,2420,0.021,Reseda,19,Parts Per Million ( ppm ) 
2016-01-15,3502,0.007,Santa Clarita,21,Parts Per Million ( ppm ) 
2016-01-15,2494,0.008,West Los Angeles-VA Hospital,22,Parts Per Million ( ppm ) 
2016-01-15,3809,0.034,Anaheim-812 W Vermont Street            ,24,Parts Per Million ( ppm ) 
2016-01-15,3674,0.015,Anaheim-Pampas Lane,21,Parts Per Million ( ppm ) 
2016-01-15,2937,0.009,Costa Mesa-Mesa Verde Drive,22,Parts Per Million ( ppm ) 
2016-01-15,2249,0.012,La Habra,22,Parts Per Million ( ppm ) 
2016-01-15,3702,0.014,Mira Loma Van Buren,23,Parts Per Million ( ppm ) 
2016-01-15,2596,0.007,Riverside-Rubidoux,24,Parts Per Million ( ppm ) 
2016-01-15,2266,0.013,Fontana-Arrow Highway,23,Parts Per Million ( ppm ) 
2016-01-15,3820,0.039,Ontario-NW Corner I-10 and Etiwanda Ave ,24,Parts Per Million ( ppm ) 
2016-01-15,3819,0.042,Ontario-Route 60 Near Road              ,24,Parts Per Million ( ppm ) 
2016-01-15,2221,0.019,San Bernardino-4th Street,23,Parts Per Million ( ppm ) 
