summary_date,site,co_davg,name,obs_count,units 
2006-01-01,3658,0.143,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ) 
2006-01-01,2923,0.165,Barstow,23,Parts Per Million ( ppm ) 
2006-01-01,3500,0.226,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2006-01-01,3681,0.674,Mexicali-Carretera,23,Parts Per Million ( ppm ) 
2006-01-01,3203,4.000,Mexicali-Cobach,23,Parts Per Million ( ppm ) 
2006-01-01,3185,0.839,Mexicali-ITM,23,Parts Per Million ( ppm ) 
2006-01-01,3201,2.443,Mexicali-UABC,23,Parts Per Million ( ppm ) 
2006-01-01,3255,0.443,Tecate-Paseo Morelos,23,Parts Per Million ( ppm ) 
2006-01-01,3138,0.543,Tijuana-ITT,23,Parts Per Million ( ppm ) 
2006-01-01,3141,0.757,Tijuana-La Mesa,23,Parts Per Million ( ppm ) 
2006-01-01,3178,0.343,Tijuana-Las Playas,23,Parts Per Million ( ppm ) 
2006-01-01,3010,0.452,Ukiah-E Gobbi Street,23,Parts Per Million ( ppm ) 
2006-01-01,3116,0.364,Willits-899 S Main Street,22,Parts Per Million ( ppm ) 
2006-01-01,3489,0.409,Salinas-High School,23,Parts Per Million ( ppm ) 
2006-01-01,2329,0.461,Davenport,23,Parts Per Million ( ppm ) 
2006-01-01,2484,0.122,Azusa,23,Parts Per Million ( ppm ) 
2006-01-01,2492,0.357,Burbank-W Palm Avenue,23,Parts Per Million ( ppm ) 
2006-01-01,2899,0.348,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2006-01-01,3683,0.183,Los Angeles-Westchester Parkway,23,Parts Per Million ( ppm ) 
2006-01-01,2583,0.470,Lynwood,23,Parts Per Million ( ppm ) 
2006-01-01,2429,0.239,North Long Beach,23,Parts Per Million ( ppm ) 
2006-01-01,2160,0.670,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2006-01-01,3693,0.805,Pico Rivera-4144 San Gabriel,22,Parts Per Million ( ppm ) 
2006-01-01,2898,0.609,Pomona,23,Parts Per Million ( ppm ) 
2006-01-01,2420,0.461,Reseda,23,Parts Per Million ( ppm ) 
2006-01-01,3502,0.200,Santa Clarita,23,Parts Per Million ( ppm ) 
2006-01-01,2494,0.391,West Los Angeles-VA Hospital,23,Parts Per Million ( ppm ) 
2006-01-01,3674,0.426,Anaheim-Pampas Lane,23,Parts Per Million ( ppm ) 
2006-01-01,2937,0.287,Costa Mesa-Mesa Verde Drive,23,Parts Per Million ( ppm ) 
2006-01-01,2249,0.387,La Habra,23,Parts Per Million ( ppm ) 
2006-01-01,3265,0.141,Mission Viejo-26081 Via Pera,22,Parts Per Million ( ppm ) 
2006-01-01,2943,0.222,Lake Elsinore-W Flint Street,23,Parts Per Million ( ppm ) 
2006-01-01,2333,0.613,Riverside-Magnolia,23,Parts Per Million ( ppm ) 
2006-01-01,2596,0.222,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2006-01-01,2221,0.326,San Bernardino-4th Street,23,Parts Per Million ( ppm ) 
2006-01-01,2485,0.383,Upland,23,Parts Per Million ( ppm ) 
2006-01-01,3688,0.126,San Luis Obispo-3220 South Higuera St,23,Parts Per Million ( ppm ) 
2006-01-01,3153,0.000,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2006-01-01,3101,0.265,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2006-01-01,2360,0.209,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2006-01-01,3665,0.274,Santa Barbara-700 East Canon Perdido,23,Parts Per Million ( ppm ) 
2006-01-01,3486,0.283,Santa Maria-906 S Broadway,23,Parts Per Million ( ppm ) 
2006-01-01,3023,0.000,Vandenberg Air Force Base-STS Power,23,Parts Per Million ( ppm ) 
2006-01-01,2589,0.504,Chula Vista,23,Parts Per Million ( ppm ) 
2006-01-01,2263,0.646,Escondido-E Valley Parkway,24,Parts Per Million ( ppm ) 
2006-01-01,2933,0.787,Otay Mesa-Paseo International,23,Parts Per Million ( ppm ) 
2006-01-01,3690,0.496,San Diego-1110 Beardsley Street,23,Parts Per Million ( ppm ) 
2006-01-01,2921,0.613,San Diego-Union Street,24,Parts Per Million ( ppm ) 
2006-01-01,2293,0.413,Fremont-Chapel Way,23,Parts Per Million ( ppm ) 
2006-01-01,3490,0.417,Livermore-793 Rincon Avenue,23,Parts Per Million ( ppm ) 
2006-01-01,2804,0.305,Bethel Island Road,22,Parts Per Million ( ppm ) 
2006-01-01,2831,0.396,Concord-2956-A Treat Blvd,23,Parts Per Million ( ppm ) 
2006-01-01,2102,0.635,Pittsburg-10th Street,23,Parts Per Million ( ppm ) 
2006-01-01,3668,0.335,San Pablo-Rumrill Blvd,23,Parts Per Million ( ppm ) 
