summary_date,site,no_davg,name,obs_count,units 
2016-02-08,3658,0.007,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ) 
2016-02-08,2923,0.014,Barstow,23,Parts Per Million ( ppm ) 
2016-02-08,3215,-0.001,Trona-Athol and Telegraph,22,Parts Per Million ( ppm ) 
2016-02-08,3500,0.012,Victorville-14306 Park Avenue,22,Parts Per Million ( ppm ) 
2016-02-08,3489,0.003,Salinas-High School,24,Parts Per Million ( ppm ) 
2016-02-08,2484,0.000,Azusa,23,Parts Per Million ( ppm ) 
2016-02-08,3743,0.108,Compton-700 North Bullis Road,22,Parts Per Million ( ppm ) 
2016-02-08,2849,0.000,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2016-02-08,3774,0.082,Long Beach-2425 Webster Street          ,23,Parts Per Million ( ppm ) 
2016-02-08,3818,0.127,Long Beach-Route 710 Near Road          ,24,Parts Per Million ( ppm ) 
2016-02-08,2899,0.060,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2016-02-08,3683,0.013,Los Angeles-Westchester Parkway,23,Parts Per Million ( ppm ) 
2016-02-08,2160,0.010,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2016-02-08,3693,0.048,Pico Rivera-4144 San Gabriel,23,Parts Per Million ( ppm ) 
2016-02-08,2898,0.030,Pomona,23,Parts Per Million ( ppm ) 
2016-02-08,2420,0.001,Reseda,23,Parts Per Million ( ppm ) 
2016-02-08,3502,0.000,Santa Clarita,21,Parts Per Million ( ppm ) 
2016-02-08,2494,0.004,West Los Angeles-VA Hospital,22,Parts Per Million ( ppm ) 
2016-02-08,3809,0.006,Anaheim-812 W Vermont Street            ,24,Parts Per Million ( ppm ) 
2016-02-08,3674,0.001,Anaheim-Pampas Lane,22,Parts Per Million ( ppm ) 
2016-02-08,2937,0.001,Costa Mesa-Mesa Verde Drive,23,Parts Per Million ( ppm ) 
2016-02-08,2249,0.008,La Habra,23,Parts Per Million ( ppm ) 
2016-02-08,3168,0.000,Banning Airport,23,Parts Per Million ( ppm ) 
2016-02-08,2943,0.001,Lake Elsinore-W Flint Street,23,Parts Per Million ( ppm ) 
2016-02-08,3702,0.001,Mira Loma Van Buren,22,Parts Per Million ( ppm ) 
2016-02-08,2596,0.001,Riverside-Rubidoux,24,Parts Per Million ( ppm ) 
2016-02-08,2266,0.000,Fontana-Arrow Highway,23,Parts Per Million ( ppm ) 
2016-02-08,3820,0.002,Ontario-NW Corner I-10 and Etiwanda Ave ,24,Parts Per Million ( ppm ) 
2016-02-08,3819,0.012,Ontario-Route 60 Near Road              ,24,Parts Per Million ( ppm ) 
2016-02-08,2221,0.004,San Bernardino-4th Street,23,Parts Per Million ( ppm ) 
2016-02-08,2485,0.004,Upland,23,Parts Per Million ( ppm ) 
2016-02-08,3812,0.006,Atascadero-Lift Station #5              ,23,Parts Per Million ( ppm ) 
2016-02-08,2321,0.002,Morro Bay,23,Parts Per Million ( ppm ) 
2016-02-08,3251,0.000,Nipomo-Regional Park,22,Parts Per Million ( ppm ) 
2016-02-08,3003,0.000,Carpinteria-Gobernador Road,18,Parts Per Million ( ppm ) 
2016-02-08,2008,0.001,El Capitan Beach,20,Parts Per Million ( ppm ) 
2016-02-08,2954,0.000,Gaviota-GTC Site B,21,Parts Per Million ( ppm ) 
2016-02-08,3153,0.003,Goleta-Fairview,21,Parts Per Million ( ppm ) 
2016-02-08,3101,0.000,Las Flores Canyon #1,21,Parts Per Million ( ppm ) 
2016-02-08,2992,0.000,Lompoc-HSandP,23,Parts Per Million ( ppm ) 
2016-02-08,2360,0.006,Lompoc-S H Street,21,Parts Per Million ( ppm ) 
2016-02-08,2957,0.000,Paradise Road-Los Padres National Forest,22,Parts Per Million ( ppm ) 
2016-02-08,3665,0.013,Santa Barbara-700 East Canon Perdido,23,Parts Per Million ( ppm ) 
2016-02-08,3486,0.003,Santa Maria-906 S Broadway,23,Parts Per Million ( ppm ) 
2016-02-08,3023,0.000,Vandenberg Air Force Base-STS Power,21,Parts Per Million ( ppm ) 
2016-02-08,2991,0.000,El Rio-Rio Mesa School #2,23,Parts Per Million ( ppm ) 
2016-02-08,2880,0.001,Simi Valley-Cochran Street,23,Parts Per Million ( ppm ) 
2016-02-08,2460,0.000,Alpine-Victoria Drive,22,Parts Per Million ( ppm ) 
2016-02-08,3198,0.005,Camp Pendleton,22,Parts Per Million ( ppm ) 
2016-02-08,2589,0.007,Chula Vista,22,Parts Per Million ( ppm ) 
2016-02-08,3739,0.001,Otay Mesa-Donovan,22,Parts Per Million ( ppm ) 
2016-02-08,3821,0.004,San Diego-11403 Rancho Carmel Dr        ,18,Parts Per Million ( ppm ) 
2016-02-08,3766,0.004,San Diego-Kearny Villa Road,22,Parts Per Million ( ppm ) 
2016-02-08,3490,0.014,Livermore-793 Rincon Avenue,23,Parts Per Million ( ppm ) 
2016-02-08,3247,0.005,Oakland-9925 International Blvd,23,Parts Per Million ( ppm ) 
2016-02-08,3803,0.020,Oakland-Laney College                   ,23,Parts Per Million ( ppm ) 
2016-02-08,3742,0.010,Oakland-West,22,Parts Per Million ( ppm ) 
2016-02-08,2804,0.002,Bethel Island Road,23,Parts Per Million ( ppm ) 
2016-02-08,2831,0.003,Concord-2956-A Treat Blvd,23,Parts Per Million ( ppm ) 
2016-02-08,3668,0.003,San Pablo-Rumrill Blvd,23,Parts Per Million ( ppm ) 
2016-02-08,2622,0.017,San Rafael,23,Parts Per Million ( ppm ) 
2016-02-08,2655,0.011,Napa-Jefferson Avenue,23,Parts Per Million ( ppm ) 
2016-02-08,2373,0.014,San Francisco-Arkansas Street,23,Parts Per Million ( ppm ) 
2016-02-08,2125,0.010,Redwood City,23,Parts Per Million ( ppm ) 
2016-02-08,3661,0.030,San Jose-Jackson Street,22,Parts Per Million ( ppm ) 
2016-02-08,3810,0.037,San Jose-Knox Avenue                    ,23,Parts Per Million ( ppm ) 
2016-02-08,2410,0.004,Vallejo-304 Tuolumne Street,22,Parts Per Million ( ppm ) 
2016-02-08,3804,0.007,Sebastopol-103 Morris Street            ,23,Parts Per Million ( ppm ) 
2016-02-08,3026,0.014,Clovis-N Villa Avenue,21,Parts Per Million ( ppm ) 
2016-02-08,2013,0.021,Fresno-Drummond Street,23,Parts Per Million ( ppm ) 
2016-02-08,3781,0.017,Fresno-Garland                          ,24,Parts Per Million ( ppm ) 
2016-02-08,2844,0.002,Fresno-Sierra Skypark #2,23,Parts Per Million ( ppm ) 
2016-02-08,2114,0.001,Parlier,23,Parts Per Million ( ppm ) 
